time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457385e-07,5.00000000e-03
0.02000000,3.4405632078e-07,5.00000000e-03
0.02500000,4.5000545614e-07,5.00000000e-03
0.03000000,7.2901760796e-07,5.00000000e-03
0.03500000,2.5857313021e-06,5.00000000e-03
0.04000000,1.2367907720e-05,5.00000000e-03
0.04500000,4.2324862629e-05,5.00000000e-03
0.05000000,8.6482683809e-05,5.00000000e-03
0.05500000,9.0867855101e-05,5.00000000e-03
0.06000000,3.7564964004e-05,5.00000000e-03
0.06500000,4.0638779650e-05,5.00000000e-03
0.07000000,1.1902253431e-04,5.00000000e-03
0.07500000,8.1544217260e-05,5.00000000e-03
0.08000000,1.2185978367e-05,5.00000000e-03
0.08500000,1.2933394813e-04,5.00000000e-03
0.09000000,1.2258422700e-04,5.00000000e-03
0.09500000,-1.7231965963e-05,5.00000000e-03
0.10000000,1.5614318288e-04,5.00000000e-03
0.10500000,1.5304545737e-04,5.00000000e-03
0.11000000,-7.0862354712e-05,5.00000000e-03
0.11500000,2.2181212125e-04,5.00000000e-03
0.12000000,1.4878973564e-04,5.00000000e-03
0.12500000,-1.6569629871e-04,5.00000000e-03
0.13000000,3.1670757792e-04,5.00000000e-03
0.13500000,-1.4028061245e-05,5.00000000e-03
0.14000000,-3.0829727051e-04,5.00000000e-03
0.14500000,5.3859406488e-04,5.00000000e-03
0.15000000,-1.8593622084e-04,5.00000000e-03
0.15500000,-1.2000132967e-04,5.00000000e-03
0.16000000,6.8749246685e-04,5.00000000e-03
0.16500000,-8.9810477509e-04,5.00000000e-03
0.17000000,3.8602035340e-04,5.00000000e-03
0.17500000,9.2500340971e-04,5.00000000e-03
0.18000000,-1.4638862493e-03,5.00000000e-03
0.18500000,1.0388732182e-03,5.00000000e-03
0.19000000,2.6594826186e-04,5.00000000e-03
0.19500000,-8.6648046650e-04,5.00000000e-03
0.20000000,1.5549943281e-03,5.00000000e-03
0.20500000,-1.5861858247e-03,5.00000000e-03
0.21000000,8.6156533008e-04,5.00000000e-03
0.21500000,1.3466819288e-03,5.00000000e-03
0.22000000,-2.9497701210e-03,5.00000000e-03
0.22500000,4.1179514468e-03,5.00000000e-03
0.23000000,-1.1351847968e-03,5.00000000e-03
0.23500000,-2.8595483394e-03,5.00000000e-03
0.24000000,4.8384026769e-03,5.00000000e-03
0.24500000,-3.4049824354e-03,5.00000000e-03
0.25000000,-6.4247613161e-06,5.00000000e-03
0.25500000,2.9992716080e-03,5.00000000e-03
0.26000000,-3.4038834470e-03,5.00000000e-03
0.26500000,1.8389877257e-03,5.00000000e-03
0.27000000,8.4122676169e-04,5.00000000e-03
0.27500000,-8.2530140638e-04,5.00000000e-03
0.28000000,9.2291684062e-04,5.00000000e-03
0.28500000,-1.0155646990e-03,5.00000000e-03
0.29000000,2.2940235598e-03,5.00000000e-03
0.29500000,-1.9965783929e-03,5.00000000e-03
0.30000000,3.8962792776e-05,5.00000000e-03
0.30500000,2.5839143996e-03,5.00000000e-03
0.31000000,-4.7913990566e-03,5.00000000e-03
0.31500000,5.0829799597e-03,5.00000000e-03
0.32000000,-1.7336895988e-03,5.00000000e-03
0.32500000,-3.8522380229e-03,5.00000000e-03
0.33000000,7.6387386397e-03,5.00000000e-03
0.33500000,-7.5144516188e-03,5.00000000e-03
0.34000000,2.2240398437e-03,5.00000000e-03
0.34500000,6.8958769119e-03,5.00000000e-03
0.35000000,-9.7040893608e-03,5.00000000e-03
0.35500000,6.9819474130e-03,5.00000000e-03
0.36000000,4.9638259953e-04,5.00000000e-03
0.36500000,-6.9324596318e-03,5.00000000e-03
0.37000000,8.6053035880e-03,5.00000000e-03
0.37500000,-4.0111462077e-03,5.00000000e-03
0.38000000,-2.2462583942e-03,5.00000000e-03
0.38500000,5.5383502480e-03,5.00000000e-03
0.39000000,-5.1525781379e-03,5.00000000e-03
0.39500000,3.4898661588e-03,5.00000000e-03
0.40000000,5.7757434997e-04,5.00000000e-03
0.40500000,-3.5937418077e-03,5.00000000e-03
0.41000000,5.8920680955e-03,5.00000000e-03
0.41500000,-3.8373028730e-03,5.00000000e-03
0.42000000,-3.7264265644e-04,5.00000000e-03
0.42500000,4.4139223163e-03,5.00000000e-03
0.43000000,-5.5362651007e-03,5.00000000e-03
0.43500000,3.1963077447e-03,5.00000000e-03
0.44000000,2.1634905362e-03,5.00000000e-03
0.44500000,-3.7247890806e-03,5.00000000e-03
0.45000000,4.5802031613e-03,5.00000000e-03
0.45500000,-1.6014119652e-03,5.00000000e-03
0.46000000,-2.1518793470e-03,5.00000000e-03
0.46500000,4.5023549367e-03,5.00000000e-03
0.47000000,-3.4829023213e-03,5.00000000e-03
0.47500000,-2.5014530660e-04,5.00000000e-03
0.48000000,4.1921642851e-03,5.00000000e-03
0.48500000,-4.4398420751e-03,5.00000000e-03
0.49000000,1.0470678699e-03,5.00000000e-03
0.49500000,3.8484821553e-03,5.00000000e-03
0.50000000,-4.9997087609e-03,5.00000000e-03
0.50500000,2.4893897930e-03,5.00000000e-03
0.51000000,4.1774832217e-03,5.00000000e-03
0.51500000,-5.6476012360e-03,5.00000000e-03
0.52000000,3.5044462037e-03,5.00000000e-03
0.52500000,2.2513581934e-03,5.00000000e-03
0.53000000,-4.5147708062e-03,5.00000000e-03
0.53500000,4.7964040151e-03,5.00000000e-03
0.54000000,-6.8670953157e-04,5.00000000e-03
0.54500000,-2.2637945087e-03,5.00000000e-03
0.55000000,3.8080111843e-03,5.00000000e-03
0.55500000,-3.2069748787e-03,5.00000000e-03
0.56000000,1.6646603248e-03,5.00000000e-03
0.56500000,1.6550887748e-03,5.00000000e-03
0.57000000,-2.8102914846e-03,5.00000000e-03
0.57500000,3.7602772361e-03,5.00000000e-03
0.58000000,-1.8466106034e-03,5.00000000e-03
0.58500000,-1.6259007903e-04,5.00000000e-03
0.59000000,2.3615964635e-03,5.00000000e-03
0.59500000,-3.1479731567e-03,5.00000000e-03
0.60000000,3.8742601221e-03,5.00000000e-03
0.60500000,-1.9787553887e-03,5.00000000e-03
0.61000000,-1.1520854043e-04,5.00000000e-03
0.61500000,2.8556489024e-03,5.00000000e-03
0.62000000,-5.0526115788e-03,5.00000000e-03
0.62500000,4.6354432766e-03,5.00000000e-03
0.63000000,-1.1443741395e-03,5.00000000e-03
0.63500000,-2.6306768861e-03,5.00000000e-03
0.64000000,5.3180876824e-03,5.00000000e-03
0.64500000,-5.3292858785e-03,5.00000000e-03
0.65000000,4.2935218324e-03,5.00000000e-03
0.65500000,1.3589350674e-04,5.00000000e-03
0.66000000,-3.4611442501e-03,5.00000000e-03
0.66500000,7.5944065981e-03,5.00000000e-03
0.67000000,-7.3460739582e-03,5.00000000e-03
0.67500000,4.1973393165e-03,5.00000000e-03
0.68000000,4.6216364608e-03,5.00000000e-03
0.68500000,-9.3291840637e-03,5.00000000e-03
0.69000000,1.1157625262e-02,5.00000000e-03
0.69500000,-4.8167318001e-03,5.00000000e-03
0.70000000,-4.2468508457e-03,5.00000000e-03
0.70500000,1.1135524756e-02,5.00000000e-03
0.71000000,-1.1266121596e-02,5.00000000e-03
0.71500000,5.3960481061e-03,5.00000000e-03
0.72000000,4.8847370701e-03,5.00000000e-03
0.72500000,-1.0194418868e-02,5.00000000e-03
0.73000000,1.1860917228e-02,5.00000000e-03
0.73500000,-5.3097320272e-03,5.00000000e-03
0.74000000,-4.5620165190e-03,5.00000000e-03
0.74500000,1.0810610511e-02,5.00000000e-03
0.75000000,-1.1100637501e-02,5.00000000e-03
0.75500000,4.4721989215e-03,5.00000000e-03
0.76000000,5.8010621334e-03,5.00000000e-03
0.76500000,-8.9972260643e-03,5.00000000e-03
0.77000000,9.1547174575e-03,5.00000000e-03
0.77500000,-3.0059482960e-03,5.00000000e-03
0.78000000,-3.4726192413e-03,5.00000000e-03
0.78500000,6.2079213268e-03,5.00000000e-03
0.79000000,-7.2771103171e-03,5.00000000e-03
0.79500000,4.6758808567e-03,5.00000000e-03
0.80000000,1.9105456848e-03,5.00000000e-03
0.80500000,-4.9883502870e-03,5.00000000e-03
0.81000000,7.2704718591e-03,5.00000000e-03
0.81500000,-3.6099006852e-03,5.00000000e-03
0.82000000,-1.5094199331e-04,5.00000000e-03
