time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,1.6020513677e-07,5.00000000e-03
0.01000000,3.2799797739e-07,5.00000000e-03
0.01500000,5.0364918126e-07,5.00000000e-03
0.02000000,6.8811351536e-07,5.00000000e-03
0.02500000,9.0007724233e-07,5.00000000e-03
0.03000000,1.4601359684e-06,5.00000000e-03
0.03500000,5.2075263074e-06,5.00000000e-03
0.04000000,2.5081334674e-05,5.00000000e-03
0.04500000,8.6263321674e-05,5.00000000e-03
0.05000000,1.7500889782e-04,5.00000000e-03
0.05500000,1.7809182033e-04,5.00000000e-03
0.06000000,7.2516439678e-05,5.00000000e-03
0.06500000,9.2181508221e-05,5.00000000e-03
0.07000000,2.3390996062e-04,5.00000000e-03
0.07500000,1.4542910114e-04,5.00000000e-03
0.08000000,5.1557027155e-05,5.00000000e-03
0.08500000,2.5945644062e-04,5.00000000e-03
0.09000000,1.9813148297e-04,5.00000000e-03
0.09500000,2.2851371987e-05,5.00000000e-03
0.10000000,3.1519144931e-04,5.00000000e-03
0.10500000,2.1086236242e-04,5.00000000e-03
0.11000000,-1.8837644213e-05,5.00000000e-03
0.11500000,4.1771424171e-04,5.00000000e-03
0.12000000,1.4062439806e-04,5.00000000e-03
0.12500000,-8.5788442393e-05,5.00000000e-03
0.13000000,4.8011180944e-04,5.00000000e-03
0.13500000,-1.9932347664e-04,5.00000000e-03
0.14000000,-1.3416938677e-04,5.00000000e-03
0.14500000,6.3167319802e-04,5.00000000e-03
0.15000000,-3.9667556339e-04,5.00000000e-03
0.15500000,3.4369093766e-04,5.00000000e-03
0.16000000,4.8685167418e-04,5.00000000e-03
0.16500000,-1.0195756127e-03,5.00000000e-03
0.17000000,1.1933698204e-03,5.00000000e-03
0.17500000,2.5474385544e-04,5.00000000e-03
0.18000000,-1.0226293366e-03,5.00000000e-03
0.18500000,1.4397870994e-03,5.00000000e-03
0.19000000,-6.2605141923e-04,5.00000000e-03
0.19500000,1.9661379661e-04,5.00000000e-03
0.20000000,9.0328449251e-04,5.00000000e-03
0.20500000,-1.6934213715e-03,5.00000000e-03
0.21000000,2.9589565179e-03,5.00000000e-03
0.21500000,-9.9370517838e-04,5.00000000e-03
0.22000000,-1.3986284833e-03,5.00000000e-03
0.22500000,4.0500853117e-03,5.00000000e-03
0.23000000,-3.6336635777e-03,5.00000000e-03
0.23500000,7.9067729190e-04,5.00000000e-03
0.24000000,3.1012306755e-03,5.00000000e-03
0.24500000,-3.5190465435e-03,5.00000000e-03
0.25000000,3.0297131001e-03,5.00000000e-03
0.25500000,3.8300348532e-04,5.00000000e-03
0.26000000,-1.7643987134e-03,5.00000000e-03
0.26500000,2.4098802816e-03,5.00000000e-03
0.27000000,-8.3966540803e-04,5.00000000e-03
0.27500000,1.3760659386e-03,5.00000000e-03
0.28000000,-6.1982324789e-04,5.00000000e-03
0.28500000,-2.7127716456e-04,5.00000000e-03
0.29000000,2.5516031055e-03,5.00000000e-03
0.29500000,-3.8361726825e-03,5.00000000e-03
