step,gamma,tau_ref_kpa,tau_model_kpa,tau_backbone_kpa,tau_error_kpa,kt_exact_kpa,secant_ref_g_over_gmax,secant_model_g_over_gmax,branch_id,reason_code,branch_kind,gamma_m_global,f_mrdf,g_ref_kpa,g_t_ref_kpa,reload_factor,direction
0,0.0,0.0,0.0,0.0,0.0,254818.13267287007,nan,nan,,0,backbone,,,,,,0
1,-1.0096556014339174e-12,-5.146052965774576e-07,-5.146053011030594e-07,-5.146053005345436e-07,-4.525601851852279e-15,254841.94040354647,0.9999999825423735,0.9999999913366899,,1,translated_local_bridge,1.0096556014339174e-12,0.82,509683.9950213705,254843.858118703,1.1,-1
2,-4.435924237346073e-12,-2.260919496954177e-06,-2.2609195199418447e-06,-2.260919514831837e-06,-2.2987667813115925e-14,254922.73199038795,0.9999999504478981,0.9999999606152954,,1,translated_local_bridge,4.435924237346073e-12,0.82,509683.97877428605,254931.1574755498,1.1,-1
3,-3.4084101210225635e-12,-1.7372119768980604e-06,-1.7372120139535458e-06,-1.7372120463753063e-06,-3.7055485345064516e-14,254836.64771542881,0.9999999267647264,0.9999999480951588,,1,translated_local_bridge,4.435924237346073e-12,0.82,509683.97877428605,254844.3131432502,1.5553628368672443,1
4,2.1566437398800098e-11,1.0992065770652751e-05,1.0992065880566287e-05,1.099206585766121e-05,1.0991353633455977e-13,255286.6758777203,0.9999997899833533,0.9999997999827033,,1,translated_local_bridge,2.1566437398800098e-11,0.82,509683.8969923136,255480.65778513614,1.5553628368672443,1
5,1.341447969402254e-10,6.837137022417068e-05,6.837139193481865e-05,6.837137076736256e-05,2.171064796853677e-11,257315.2522009292,0.9999987354443599,0.9999990529840033,,1,translated_local_bridge,1.341447969402254e-10,0.82,509683.35952551826,258349.08545330228,1.5553628368672443,1
6,4.634957153667954e-10,0.0002362353226543138,0.000236235610982968,0.00023623532454789637,2.883286541921666e-10,263249.8869656118,0.9999956503870165,0.9999968708962818,,1,translated_local_bridge,4.634957153667954e-10,0.82,509681.78715729323,266740.710461866,1.5553628368672443,1
7,1.137220676449726e-09,0.0005796170042756678,0.0005796187826462527,0.0005796170089144832,1.7783705849074016e-09,275389.77725903766,0.9999893396604675,0.9999924078099762,,1,translated_local_bridge,1.137220676449726e-09,0.82,509678.5706745869,283906.57766836026,1.5553628368672443,1
8,2.082988434935294e-09,0.001061645154797084,0.0010616511657204042,0.0010616451632875753,6.0109233202855494e-09,292431.433319798,0.999980480982844,0.9999861427672602,,1,translated_local_bridge,2.082988434935294e-09,0.82,509674.0555453705,308003.46957390825,1.5553628368672443,1
9,2.8642875153532095e-09,0.0014598423392046282,0.0014598537325463188,0.0014598423508805636,1.1393341690663777e-08,306509.38436837133,0.9999731630477031,0.9999809673397299,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,327909.59860773623,1.5553628368672443,1
10,2.831088471609802e-09,0.0014429183790997469,0.0014429327152246448,0.0014429222321323558,1.4336124897883912e-08,255476.09234916355,0.9999708117690516,0.9999807469855263,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,255664.02501959557,1.3716295834910737,-1
11,1.64663131748565e-09,0.0008392260239603992,0.000839239356994354,0.0008392486917756915,1.3333033954785085e-08,278950.20252645784,0.9999575669142835,0.9999734535381636,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,285842.9610738003,1.3716295834910737,-1
12,-2.274047689449028e-10,-0.0001159186733802416,-0.00011589686262095724,-0.00011590432536477327,2.1810759284366862e-08,316089.8592289449,1.000121661510443,0.9999334829178296,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,333590.3999416792,1.3716295834910737,-1
13,-1.6704649071802674e-09,-0.0008513974033751386,-0.0008513606597802625,-0.0008513959136757389,3.674359487601964e-08,344687.7291342512,0.999986102598337,0.9999429463893917,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,370356.1198099839,1.3716295834910737,-1
14,-1.7536898416862274e-09,-0.0008938112745881353,-0.0008937762487902565,-0.0008938129706958396,3.502579787881613e-08,346337.0220898414,0.9999816757942005,0.999942489494973,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,372476.4617290563,1.3716295834910737,-1
15,-5.952741430664003e-10,-0.00030339161589945825,-0.0003033551161770553,-0.00030340001457317145,3.649972240296834e-08,276997.7125141112,0.9999667423254839,0.99984644068696,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,284333.58068346884,1.4349341956559976,1
16,6.661685010564386e-10,0.0003395326942461551,0.0003395658230728756,0.0003395333075713042,3.312882672048189e-08,301149.4743125617,0.9999919535751406,1.0000895246212085,,1,translated_local_bridge,2.8642875153532095e-09,0.82,509670.32571118936,316473.33949964354,1.4349341956559976,1
