step,gamma,tau_ref_kpa,tau_model_kpa,tau_backbone_kpa,tau_error_kpa,kt_exact_kpa,secant_ref_g_over_gmax,secant_model_g_over_gmax,branch_id,reason_code,branch_kind,gamma_m_global,f_mrdf,g_ref_kpa,g_t_ref_kpa,reload_factor,direction
0,0.0,0.0,0.0,0.0,0.0,254818.13267287007,nan,nan,,0,backbone,,,,,,0
1,-1.0096556014339174e-12,-5.146052965774576e-07,-5.146053011030594e-07,-5.146053005345436e-07,-4.525601851852279e-15,254841.94040354647,0.9999999825423735,0.9999999913366899,,1,translated_curvature_progressive_bridge,1.0096556014339174e-12,0.82,509683.9950213705,254843.858118703,1.1,-1
2,-4.435924237346073e-12,-2.260919496954177e-06,-2.2609195199418447e-06,-2.260919514831837e-06,-2.2987667813115925e-14,254922.73199038795,0.9999999504478981,0.9999999606152954,,1,translated_curvature_progressive_bridge,4.435924237346073e-12,0.82,509683.97877428605,254931.1574755498,1.1,-1
3,-3.4084101210225635e-12,-1.7372119768980604e-06,-1.7372120175621278e-06,-1.7372120463753063e-06,-4.066406741124178e-14,298246.5912622361,0.9999999267647264,0.9999999501723847,,1,translated_curvature_progressive_bridge,4.435924237346073e-12,0.82,509683.97877428605,496010.66618106846,1.5553628368672443,1
4,2.1566437398800098e-11,1.0992065770652751e-05,1.0992065979897487e-05,1.099206585766121e-05,2.0924473599929962e-13,255286.6758777203,0.9999997899833533,0.9999998090193285,,1,translated_curvature_progressive_bridge,2.1566437398800098e-11,0.82,509683.8969923136,255480.65778513614,1.5553628368672443,1
5,1.341447969402254e-10,6.837137022417068e-05,6.837139246185601e-05,6.837137076736256e-05,2.2237685325977863e-11,257315.2522009292,0.9999987354443599,0.9999990606924445,,1,translated_curvature_progressive_bridge,1.341447969402254e-10,0.82,509683.35952551826,258349.08545330228,1.5553628368672443,1
6,4.634957153667954e-10,0.0002362353226543138,0.00023623561276653625,0.00023623532454789637,2.901122224396868e-10,263249.8869656118,0.9999956503870165,0.9999968784462132,,1,translated_curvature_progressive_bridge,4.634957153667954e-10,0.82,509681.78715729323,266740.710461866,1.5553628368672443,1
7,1.137220676449726e-09,0.0005796170042756678,0.0005796187869991843,0.0005796170089144832,1.7827235165510102e-09,275389.77725903766,0.9999893396604675,0.9999924153199099,,1,translated_curvature_progressive_bridge,1.137220676449726e-09,0.82,509678.5706745869,283906.57766836026,1.5553628368672443,1
8,2.082988434935294e-09,0.001061645154797084,0.0010616511736763674,0.0010616451632875753,6.018879283430784e-09,292431.433319798,0.999980480982844,0.9999861502611086,,1,translated_curvature_progressive_bridge,2.082988434935294e-09,0.82,509674.0555453705,308003.46957390825,1.5553628368672443,1
9,2.8642875153532095e-09,0.0014598423392046282,0.0014598537434813404,0.0014598423508805636,1.1404276712215222e-08,306509.38436837133,0.9999731630477031,0.9999809748300785,,1,translated_curvature_progressive_bridge,2.8642875153532095e-09,0.82,509670.32571118936,327909.59860773623,1.5553628368672443,1
10,2.831088471609802e-09,0.0014429183790997469,0.0014429328069302048,0.0014429222321323558,1.442783045791339e-08,301193.5451581075,0.9999708117690516,0.9999808105392828,,1,translated_curvature_progressive_bridge,2.8642875153532095e-09,0.82,509670.32571118936,509649.873967659,1.3716295886281633,-1
