time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2073537245e-07,5.00000000e-03
0.01000000,-6.3711090325e-07,5.00000000e-03
0.01500000,-9.4889544451e-07,5.00000000e-03
0.02000000,-1.2581551339e-06,5.00000000e-03
0.02500000,-1.6617471753e-06,5.00000000e-03
0.03000000,-3.7040012154e-06,5.00000000e-03
0.03500000,-1.8026193118e-05,5.00000000e-03
0.04000000,-7.5807519922e-05,5.00000000e-03
0.04500000,-1.9317104413e-04,5.00000000e-03
0.05000000,-2.7899281247e-04,5.00000000e-03
0.05500000,-2.3055578108e-04,5.00000000e-03
0.06000000,-1.7042138062e-04,5.00000000e-03
0.06500000,-2.2004056930e-04,5.00000000e-03
0.07000000,-2.2889246364e-04,5.00000000e-03
0.07500000,-1.7865840088e-04,5.00000000e-03
0.08000000,-2.0688206313e-04,5.00000000e-03
0.08500000,-2.1112864388e-04,5.00000000e-03
0.09000000,-1.7499199280e-04,5.00000000e-03
0.09500000,-2.0254786386e-04,5.00000000e-03
0.10000000,-1.9457362475e-04,5.00000000e-03
0.10500000,-1.7298080835e-04,5.00000000e-03
0.11000000,-1.8958251804e-04,5.00000000e-03
0.11500000,-1.4791647461e-04,5.00000000e-03
0.12000000,-1.0095549558e-04,5.00000000e-03
0.12500000,-3.7189411567e-05,5.00000000e-03
0.13000000,7.1353410984e-05,5.00000000e-03
0.13500000,9.5438947791e-05,5.00000000e-03
0.14000000,5.9243655875e-05,5.00000000e-03
0.14500000,6.7352488376e-06,5.00000000e-03
0.15000000,-9.3110440141e-06,5.00000000e-03
0.15500000,6.8149251890e-05,5.00000000e-03
0.16000000,6.6458234227e-05,5.00000000e-03
0.16500000,3.6296309432e-08,5.00000000e-03
0.17000000,2.6812462926e-05,5.00000000e-03
0.17500000,6.4755335228e-05,5.00000000e-03
0.18000000,4.2803550856e-05,5.00000000e-03
0.18500000,1.0448146671e-05,5.00000000e-03
0.19000000,3.6241033059e-05,5.00000000e-03
0.19500000,3.0231737409e-05,5.00000000e-03
0.20000000,-6.4278430663e-05,5.00000000e-03
0.20500000,-9.3714242486e-05,5.00000000e-03
0.21000000,-1.4433109748e-04,5.00000000e-03
0.21500000,-2.3963434094e-04,5.00000000e-03
0.22000000,-2.0324898427e-04,5.00000000e-03
0.22500000,-1.5106391401e-04,5.00000000e-03
0.23000000,-1.2593589246e-04,5.00000000e-03
0.23500000,-1.0093322383e-04,5.00000000e-03
0.24000000,-1.7019940598e-04,5.00000000e-03
0.24500000,-2.0372891677e-04,5.00000000e-03
0.25000000,-1.2351606015e-04,5.00000000e-03
0.25500000,-7.8016681588e-05,5.00000000e-03
0.26000000,-1.1856125533e-04,5.00000000e-03
0.26500000,-1.2467067551e-04,5.00000000e-03
0.27000000,-7.3290967086e-05,5.00000000e-03
0.27500000,-7.8393958654e-05,5.00000000e-03
0.28000000,-7.8710722647e-05,5.00000000e-03
0.28500000,-1.6669158211e-05,5.00000000e-03
0.29000000,8.3766560485e-05,5.00000000e-03
0.29500000,1.4807722350e-04,5.00000000e-03
0.30000000,8.0965287668e-05,5.00000000e-03
0.30500000,9.2512104308e-05,5.00000000e-03
0.31000000,1.1780608694e-04,5.00000000e-03
0.31500000,8.0625313816e-06,5.00000000e-03
0.32000000,8.1885981215e-05,5.00000000e-03
0.32500000,1.6196574138e-04,5.00000000e-03
0.33000000,7.5581564128e-05,5.00000000e-03
0.33500000,8.5259155466e-05,5.00000000e-03
0.34000000,7.3544040036e-05,5.00000000e-03
0.34500000,5.4017034317e-05,5.00000000e-03
0.35000000,6.2234979680e-05,5.00000000e-03
0.35500000,-1.5708788399e-05,5.00000000e-03
0.36000000,-4.7069272102e-05,5.00000000e-03
0.36500000,-5.0886722283e-05,5.00000000e-03
0.37000000,-4.0277396417e-05,5.00000000e-03
0.37500000,-9.3817132555e-05,5.00000000e-03
0.38000000,-1.7701795865e-04,5.00000000e-03
0.38500000,-3.8019765937e-05,5.00000000e-03
0.39000000,-2.2554934916e-05,5.00000000e-03
0.39500000,-1.5421386867e-04,5.00000000e-03
0.40000000,-8.6266900749e-05,5.00000000e-03
0.40500000,-7.8698643880e-05,5.00000000e-03
0.41000000,-1.5457616423e-04,5.00000000e-03
0.41500000,-1.9687308964e-04,5.00000000e-03
0.42000000,-1.7673579157e-04,5.00000000e-03
0.42500000,-4.8849616729e-05,5.00000000e-03
0.43000000,-6.4532339744e-05,5.00000000e-03
0.43500000,-5.5046902780e-05,5.00000000e-03
0.44000000,1.3493331147e-04,5.00000000e-03
0.44500000,1.6722622617e-04,5.00000000e-03
0.45000000,7.6427826468e-05,5.00000000e-03
0.45500000,8.4615278209e-05,5.00000000e-03
0.46000000,1.7438513211e-04,5.00000000e-03
0.46500000,2.3114720821e-04,5.00000000e-03
0.47000000,2.2477375433e-04,5.00000000e-03
0.47500000,1.4581685695e-04,5.00000000e-03
0.48000000,9.5367917395e-05,5.00000000e-03
0.48500000,2.5203483420e-04,5.00000000e-03
0.49000000,2.7831458078e-04,5.00000000e-03
0.49500000,1.7398995513e-04,5.00000000e-03
0.50000000,3.1373570247e-04,5.00000000e-03
0.50500000,3.1868551640e-04,5.00000000e-03
0.51000000,1.3657730601e-04,5.00000000e-03
0.51500000,3.7343625743e-05,5.00000000e-03
0.52000000,9.5974300110e-06,5.00000000e-03
0.52500000,8.7385971524e-05,5.00000000e-03
0.53000000,-6.9498962434e-07,5.00000000e-03
0.53500000,-8.6681538857e-05,5.00000000e-03
0.54000000,2.6037554841e-05,5.00000000e-03
0.54500000,-8.6833670428e-08,5.00000000e-03
0.55000000,-3.6141737970e-05,5.00000000e-03
0.55500000,-7.9057272279e-05,5.00000000e-03
0.56000000,-1.0466543522e-04,5.00000000e-03
0.56500000,7.6399217122e-06,5.00000000e-03
0.57000000,-2.9192953878e-05,5.00000000e-03
0.57500000,-7.2191108214e-05,5.00000000e-03
0.58000000,-1.2162097519e-04,5.00000000e-03
0.58500000,-1.8660870623e-04,5.00000000e-03
0.59000000,-6.6752113893e-05,5.00000000e-03
0.59500000,-5.8630279259e-05,5.00000000e-03
0.60000000,8.2806144264e-06,5.00000000e-03
0.60500000,1.2953880743e-04,5.00000000e-03
0.61000000,-3.1125048902e-05,5.00000000e-03
0.61500000,-6.6144152382e-05,5.00000000e-03
0.62000000,1.4551297029e-04,5.00000000e-03
0.62500000,2.9987618359e-04,5.00000000e-03
0.63000000,2.9017743066e-04,5.00000000e-03
0.63500000,3.2212336328e-04,5.00000000e-03
0.64000000,3.5632015034e-04,5.00000000e-03
0.64500000,2.1299442988e-04,5.00000000e-03
0.65000000,2.4764064103e-04,5.00000000e-03
0.65500000,3.0909878023e-04,5.00000000e-03
0.66000000,3.2899731821e-04,5.00000000e-03
0.66500000,3.8379497979e-04,5.00000000e-03
0.67000000,1.5933086524e-04,5.00000000e-03
0.67500000,1.9682318365e-04,5.00000000e-03
0.68000000,2.5332987385e-04,5.00000000e-03
0.68500000,4.1284991093e-05,5.00000000e-03
0.69000000,2.1333357868e-04,5.00000000e-03
0.69500000,2.3151667084e-04,5.00000000e-03
0.70000000,1.5083451830e-04,5.00000000e-03
0.70500000,4.7010458089e-05,5.00000000e-03
0.71000000,-2.6448809743e-04,5.00000000e-03
0.71500000,-2.0970424411e-05,5.00000000e-03
0.72000000,5.9208808344e-06,5.00000000e-03
0.72500000,-2.0395399375e-04,5.00000000e-03
0.73000000,-4.0825783974e-05,5.00000000e-03
0.73500000,-1.1498189714e-04,5.00000000e-03
0.74000000,-6.3567584281e-05,5.00000000e-03
0.74500000,-1.6125224919e-04,5.00000000e-03
0.75000000,-1.4808760003e-04,5.00000000e-03
0.75500000,3.6066986689e-04,5.00000000e-03
0.76000000,1.3857881171e-04,5.00000000e-03
0.76500000,2.0870716548e-05,5.00000000e-03
0.77000000,1.8733111760e-04,5.00000000e-03
0.77500000,-3.0437648328e-05,5.00000000e-03
0.78000000,-2.9215796477e-05,5.00000000e-03
0.78500000,-9.0521837928e-05,5.00000000e-03
0.79000000,2.8946163253e-04,5.00000000e-03
0.79500000,6.0138044127e-04,5.00000000e-03
0.80000000,1.9317537068e-04,5.00000000e-03
0.80500000,3.3466069879e-04,5.00000000e-03
0.81000000,5.8114948439e-04,5.00000000e-03
0.81500000,6.7472401402e-04,5.00000000e-03
0.82000000,5.7561312680e-04,5.00000000e-03
0.82500000,3.4452243539e-04,5.00000000e-03
0.83000000,6.2794514588e-04,5.00000000e-03
0.83500000,3.8558162930e-04,5.00000000e-03
0.84000000,1.5068198628e-04,5.00000000e-03
0.84500000,1.3750999170e-04,5.00000000e-03
0.85000000,-1.4848009709e-04,5.00000000e-03
0.85500000,1.7415263881e-04,5.00000000e-03
0.86000000,3.9897380266e-05,5.00000000e-03
0.86500000,5.4179459691e-05,5.00000000e-03
0.87000000,4.3310217780e-04,5.00000000e-03
0.87500000,-1.3978742252e-04,5.00000000e-03
0.88000000,7.1157871599e-06,5.00000000e-03
0.88500000,1.6833416015e-04,5.00000000e-03
0.89000000,-6.9571821999e-05,5.00000000e-03
0.89500000,-8.2852327120e-05,5.00000000e-03
0.90000000,-7.4786846818e-04,5.00000000e-03
0.90500000,-2.6131293440e-04,5.00000000e-03
0.91000000,1.2734164542e-04,5.00000000e-03
0.91500000,-4.9403272413e-04,5.00000000e-03
0.92000000,-2.3737301341e-04,5.00000000e-03
0.92500000,-1.7622678472e-04,5.00000000e-03
0.93000000,3.3272247438e-04,5.00000000e-03
0.93500000,5.7619980176e-04,5.00000000e-03
0.94000000,-1.0826732005e-04,5.00000000e-03
0.94500000,9.5236306639e-05,5.00000000e-03
0.95000000,-9.6370258207e-05,5.00000000e-03
0.95500000,8.4157001627e-05,5.00000000e-03
0.96000000,4.6422801162e-04,5.00000000e-03
0.96500000,-8.1037407418e-05,5.00000000e-03
0.97000000,3.1794415104e-04,5.00000000e-03
0.97500000,2.9247110932e-04,5.00000000e-03
0.98000000,3.4157194886e-04,5.00000000e-03
0.98500000,9.0139604872e-04,5.00000000e-03
0.99000000,2.6107850672e-04,5.00000000e-03
0.99500000,1.9355809166e-04,5.00000000e-03
1.00000000,2.9844548398e-04,5.00000000e-03
1.00500000,5.7369293703e-04,5.00000000e-03
1.01000000,6.5357686131e-04,5.00000000e-03
1.01500000,-3.4374641337e-04,5.00000000e-03
1.02000000,2.3546186873e-04,5.00000000e-03
1.02500000,5.8393277098e-04,5.00000000e-03
1.03000000,3.2027686955e-04,5.00000000e-03
1.03500000,4.8828595400e-04,5.00000000e-03
1.04000000,-3.2195024502e-04,5.00000000e-03
1.04500000,5.3078885758e-06,5.00000000e-03
1.05000000,2.0702288247e-04,5.00000000e-03
1.05500000,1.0117783417e-04,5.00000000e-03
1.06000000,6.6198715383e-04,5.00000000e-03
1.06500000,-2.2797477547e-04,5.00000000e-03
1.07000000,-9.6012959651e-05,5.00000000e-03
1.07500000,4.3593532301e-05,5.00000000e-03
1.08000000,-2.7096416138e-04,5.00000000e-03
1.08500000,5.6876355580e-04,5.00000000e-03
1.09000000,-2.9566831474e-04,5.00000000e-03
1.09500000,-4.1103709723e-04,5.00000000e-03
1.10000000,2.2604989507e-04,5.00000000e-03
1.10500000,1.1286661730e-04,5.00000000e-03
1.11000000,2.4985076384e-04,5.00000000e-03
1.11500000,-8.0624158409e-04,5.00000000e-03
1.12000000,2.3190198621e-04,5.00000000e-03
1.12500000,1.2478414562e-03,5.00000000e-03
1.13000000,1.4979379268e-04,5.00000000e-03
1.13500000,4.0743423726e-04,5.00000000e-03
1.14000000,-1.1563831199e-04,5.00000000e-03
1.14500000,1.0056131081e-04,5.00000000e-03
1.15000000,1.0579374946e-03,5.00000000e-03
1.15500000,6.7132300085e-04,5.00000000e-03
1.16000000,6.1137841912e-04,5.00000000e-03
1.16500000,-1.2630431899e-04,5.00000000e-03
1.17000000,4.8414460629e-04,5.00000000e-03
1.17500000,1.1175250665e-03,5.00000000e-03
1.18000000,6.2749519871e-04,5.00000000e-03
1.18500000,9.6324920420e-04,5.00000000e-03
1.19000000,-1.9345899669e-04,5.00000000e-03
1.19500000,3.2027522250e-04,5.00000000e-03
1.20000000,8.2907665463e-04,5.00000000e-03
1.20500000,-5.2105949851e-04,5.00000000e-03
1.21000000,-2.5729374568e-04,5.00000000e-03
1.21500000,-9.1700597880e-04,5.00000000e-03
1.22000000,5.8471021961e-04,5.00000000e-03
1.22500000,1.2015774849e-03,5.00000000e-03
1.23000000,-7.9402970464e-04,5.00000000e-03
1.23500000,2.7753022096e-04,5.00000000e-03
1.24000000,-4.2112615822e-04,5.00000000e-03
1.24500000,-2.5303860656e-05,5.00000000e-03
1.25000000,1.0381446238e-03,5.00000000e-03
1.25500000,-7.6218970456e-04,5.00000000e-03
1.26000000,9.8065784890e-05,5.00000000e-03
1.26500000,-5.6564450657e-04,5.00000000e-03
1.27000000,-3.6348094621e-05,5.00000000e-03
1.27500000,1.2710688884e-03,5.00000000e-03
1.28000000,-7.3333995214e-04,5.00000000e-03
1.28500000,7.4905488555e-04,5.00000000e-03
1.29000000,3.8962634502e-04,5.00000000e-03
1.29500000,3.6465649489e-04,5.00000000e-03
1.30000000,1.6224382493e-03,5.00000000e-03
1.30500000,-1.3605562556e-03,5.00000000e-03
1.31000000,5.7314428337e-05,5.00000000e-03
1.31500000,7.2994828631e-04,5.00000000e-03
1.32000000,2.4780747503e-04,5.00000000e-03
1.32500000,1.1771778953e-03,5.00000000e-03
1.33000000,-9.4472222851e-04,5.00000000e-03
1.33500000,8.5100258089e-04,5.00000000e-03
1.34000000,1.0989022528e-03,5.00000000e-03
1.34500000,2.8963452871e-04,5.00000000e-03
1.35000000,1.7149893251e-03,5.00000000e-03
1.35500000,-7.9205822266e-04,5.00000000e-03
1.36000000,1.0185782632e-04,5.00000000e-03
1.36500000,-3.0080798942e-05,5.00000000e-03
1.37000000,-1.1006003412e-03,5.00000000e-03
1.37500000,3.5069046378e-04,5.00000000e-03
1.38000000,-1.7361479538e-03,5.00000000e-03
1.38500000,9.5664774989e-04,5.00000000e-03
1.39000000,1.7127945043e-03,5.00000000e-03
1.39500000,-1.4436360384e-04,5.00000000e-03
1.40000000,1.3327431483e-03,5.00000000e-03
1.40500000,-1.3243009084e-03,5.00000000e-03
1.41000000,2.4817948372e-04,5.00000000e-03
1.41500000,1.2464487272e-03,5.00000000e-03
1.42000000,-1.1939457706e-03,5.00000000e-03
1.42500000,5.0488225705e-04,5.00000000e-03
1.43000000,-9.7448817886e-04,5.00000000e-03
1.43500000,3.6911743778e-04,5.00000000e-03
1.44000000,1.4524153458e-03,5.00000000e-03
1.44500000,-3.2124824935e-04,5.00000000e-03
1.45000000,2.1865360210e-03,5.00000000e-03
1.45500000,1.5025211099e-04,5.00000000e-03
1.46000000,2.5962399125e-04,5.00000000e-03
1.46500000,1.3181055483e-03,5.00000000e-03
1.47000000,-1.6435229948e-03,5.00000000e-03
1.47500000,1.5148470223e-04,5.00000000e-03
1.48000000,-3.7249247988e-04,5.00000000e-03
1.48500000,3.0157762785e-04,5.00000000e-03
1.49000000,1.4293994783e-03,5.00000000e-03
1.49500000,-1.3342382226e-03,5.00000000e-03
1.50000000,6.2314518293e-04,5.00000000e-03
1.50500000,2.9332521286e-04,5.00000000e-03
1.51000000,3.0635445476e-04,5.00000000e-03
1.51500000,1.1840048608e-03,5.00000000e-03
1.52000000,-1.9993409822e-03,5.00000000e-03
1.52500000,-1.0022390733e-03,5.00000000e-03
1.53000000,-1.1168056630e-03,5.00000000e-03
1.53500000,-9.6606780656e-04,5.00000000e-03
1.54000000,3.6980131386e-04,5.00000000e-03
1.54500000,-5.1708185685e-04,5.00000000e-03
1.55000000,1.9401566165e-03,5.00000000e-03
1.55500000,9.1309437156e-04,5.00000000e-03
1.56000000,1.5718538419e-05,5.00000000e-03
1.56500000,1.1795497373e-03,5.00000000e-03
1.57000000,-8.4691002866e-04,5.00000000e-03
1.57500000,7.3705653743e-04,5.00000000e-03
1.58000000,4.5654121806e-04,5.00000000e-03
1.58500000,-2.2285812152e-04,5.00000000e-03
1.59000000,1.2191761286e-03,5.00000000e-03
1.59500000,-6.3695488772e-04,5.00000000e-03
1.60000000,1.2131645715e-03,5.00000000e-03
1.60500000,1.7845737424e-03,5.00000000e-03
1.61000000,1.2880913948e-03,5.00000000e-03
1.61500000,2.1791500226e-03,5.00000000e-03
1.62000000,-6.8154593290e-04,5.00000000e-03
1.62500000,2.7310008516e-04,5.00000000e-03
1.63000000,2.1334524067e-04,5.00000000e-03
1.63500000,-1.1908604861e-03,5.00000000e-03
1.64000000,5.5240730517e-04,5.00000000e-03
1.64500000,-9.0156638030e-05,5.00000000e-03
1.65000000,8.1715595316e-04,5.00000000e-03
1.65500000,1.3295861489e-04,5.00000000e-03
1.66000000,-1.1903722867e-03,5.00000000e-03
1.66500000,8.0690898554e-04,5.00000000e-03
1.67000000,-2.2958455211e-04,5.00000000e-03
1.67500000,4.6464691427e-04,5.00000000e-03
