time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2080308562e-07,5.00000000e-03
0.01000000,-6.3725010988e-07,5.00000000e-03
0.01500000,-9.4910763016e-07,5.00000000e-03
0.02000000,-1.2577409860e-06,5.00000000e-03
0.02500000,-1.6324202697e-06,5.00000000e-03
0.03000000,-3.2717946742e-06,5.00000000e-03
0.03500000,-1.5396141757e-05,5.00000000e-03
0.04000000,-6.9498275323e-05,5.00000000e-03
0.04500000,-1.9264996045e-04,5.00000000e-03
0.05000000,-2.9523056718e-04,5.00000000e-03
0.05500000,-2.3762086346e-04,5.00000000e-03
0.06000000,-1.5093283127e-04,5.00000000e-03
0.06500000,-2.2190360341e-04,5.00000000e-03
0.07000000,-2.4664751019e-04,5.00000000e-03
0.07500000,-1.6152446377e-04,5.00000000e-03
0.08000000,-2.0583990557e-04,5.00000000e-03
0.08500000,-2.2879329483e-04,5.00000000e-03
0.09000000,-1.5524420926e-04,5.00000000e-03
0.09500000,-2.0747467410e-04,5.00000000e-03
0.10000000,-2.0787077917e-04,5.00000000e-03
0.10500000,-1.5180629764e-04,5.00000000e-03
0.11000000,-2.0730176723e-04,5.00000000e-03
0.11500000,-1.5262723065e-04,5.00000000e-03
0.12000000,-9.0214059857e-05,5.00000000e-03
0.12500000,-6.7061277984e-05,5.00000000e-03
0.13000000,9.5762842680e-05,5.00000000e-03
0.13500000,1.1933726627e-04,5.00000000e-03
0.14000000,5.4546421801e-05,5.00000000e-03
0.14500000,1.8287359214e-05,5.00000000e-03
0.15000000,-6.2451165461e-05,5.00000000e-03
0.15500000,8.1501772945e-05,5.00000000e-03
0.16000000,1.2786738403e-04,5.00000000e-03
0.16500000,-5.4899158340e-05,5.00000000e-03
0.17000000,1.5237724616e-05,5.00000000e-03
0.17500000,9.3880878812e-05,5.00000000e-03
0.18000000,4.9780294983e-05,5.00000000e-03
0.18500000,-5.6836198451e-06,5.00000000e-03
0.19000000,7.0346019728e-06,5.00000000e-03
0.19500000,1.1121677279e-04,5.00000000e-03
0.20000000,-9.7726329924e-05,5.00000000e-03
0.20500000,-1.4279003375e-04,5.00000000e-03
0.21000000,-2.7932970744e-05,5.00000000e-03
0.21500000,-3.4379481537e-04,5.00000000e-03
0.22000000,-2.5251308230e-04,5.00000000e-03
0.22500000,-5.8613984612e-05,5.00000000e-03
0.23000000,-1.9653204719e-04,5.00000000e-03
0.23500000,-1.9064844501e-05,5.00000000e-03
0.24000000,-1.4178699040e-04,5.00000000e-03
0.24500000,-3.4224387448e-04,5.00000000e-03
0.25000000,-9.7372222717e-05,5.00000000e-03
0.25500000,1.6528232852e-05,5.00000000e-03
0.26000000,-1.0130232499e-04,5.00000000e-03
0.26500000,-2.7527392592e-04,5.00000000e-03
0.27000000,-1.2613111709e-05,5.00000000e-03
0.27500000,1.7975295455e-05,5.00000000e-03
0.28000000,-2.2255716579e-04,5.00000000e-03
0.28500000,6.7484481982e-05,5.00000000e-03
0.29000000,-4.4851577806e-05,5.00000000e-03
0.29500000,2.8025712739e-04,5.00000000e-03
0.30000000,2.7522163042e-04,5.00000000e-03
0.30500000,-3.9695378227e-04,5.00000000e-03
0.31000000,6.1715276783e-04,5.00000000e-03
0.31500000,-1.1732638091e-05,5.00000000e-03
0.32000000,-6.1537880952e-04,5.00000000e-03
0.32500000,9.9436666670e-04,5.00000000e-03
0.33000000,-1.9293915989e-04,5.00000000e-03
0.33500000,-2.4010091541e-04,5.00000000e-03
0.34000000,6.8382781015e-04,5.00000000e-03
0.34500000,-5.9724468578e-04,5.00000000e-03
0.35000000,3.5629153623e-04,5.00000000e-03
0.35500000,2.9065211086e-04,5.00000000e-03
0.36000000,-5.3065427099e-04,5.00000000e-03
0.36500000,2.7803958315e-04,5.00000000e-03
0.37000000,-3.3063195229e-04,5.00000000e-03
0.37500000,2.7276094126e-04,5.00000000e-03
0.38000000,-2.0878531161e-04,5.00000000e-03
0.38500000,-8.7690066046e-04,5.00000000e-03
0.39000000,1.0960527791e-03,5.00000000e-03
0.39500000,-5.6448609102e-04,5.00000000e-03
0.40000000,-6.6910092059e-04,5.00000000e-03
0.40500000,9.7610549148e-04,5.00000000e-03
0.41000000,-9.5400563586e-04,5.00000000e-03
0.41500000,-1.6975942976e-04,5.00000000e-03
0.42000000,3.3805422164e-04,5.00000000e-03
0.42500000,-8.5885050896e-04,5.00000000e-03
0.43000000,8.5583479170e-04,5.00000000e-03
0.43500000,-2.6364175860e-04,5.00000000e-03
0.44000000,-9.9885040019e-04,5.00000000e-03
0.44500000,1.7470631877e-03,5.00000000e-03
0.45000000,-5.5071877449e-04,5.00000000e-03
0.45500000,-8.3038806265e-04,5.00000000e-03
0.46000000,1.8915614741e-03,5.00000000e-03
0.46500000,-1.1798006007e-03,5.00000000e-03
0.47000000,2.1707955857e-04,5.00000000e-03
0.47500000,1.7943088125e-03,5.00000000e-03
0.48000000,-2.0996786395e-03,5.00000000e-03
0.48500000,1.2158297427e-03,5.00000000e-03
0.49000000,1.2270921042e-03,5.00000000e-03
0.49500000,-1.3739344483e-03,5.00000000e-03
0.50000000,1.4557641114e-03,5.00000000e-03
0.50500000,7.8766080830e-05,5.00000000e-03
0.51000000,-7.3815750372e-05,5.00000000e-03
0.51500000,3.0248004261e-04,5.00000000e-03
0.52000000,-5.9055074736e-04,5.00000000e-03
0.52500000,1.2934577433e-03,5.00000000e-03
0.53000000,-1.1100638958e-03,5.00000000e-03
0.53500000,2.0329792933e-05,5.00000000e-03
0.54000000,7.8682647292e-04,5.00000000e-03
0.54500000,-1.1633861231e-03,5.00000000e-03
0.55000000,1.3586148396e-03,5.00000000e-03
0.55500000,-1.3736927774e-03,5.00000000e-03
0.56000000,2.8748443336e-04,5.00000000e-03
0.56500000,1.0877406262e-03,5.00000000e-03
