time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0300491513e-04,5.00000000e-03
0.06000000,-8.2794140235e-05,5.00000000e-03
0.06500000,-1.5415660762e-04,5.00000000e-03
0.07000000,-3.7029273823e-04,5.00000000e-03
0.07500000,-1.5339052441e-04,5.00000000e-03
0.08000000,-5.9298572366e-05,5.00000000e-03
0.08500000,-3.8086470504e-04,5.00000000e-03
0.09000000,-1.7008362674e-04,5.00000000e-03
0.09500000,-4.1974007195e-06,5.00000000e-03
0.10000000,-4.3621964569e-04,5.00000000e-03
0.10500000,-1.2519376571e-04,5.00000000e-03
0.11000000,3.9823806040e-05,5.00000000e-03
0.11500000,-5.2820610778e-04,5.00000000e-03
0.12000000,8.2770457172e-05,5.00000000e-03
0.12500000,1.1321427047e-04,5.00000000e-03
0.13000000,-4.3903261686e-04,5.00000000e-03
0.13500000,6.9752824179e-04,5.00000000e-03
0.14000000,1.3187236300e-04,5.00000000e-03
0.14500000,-5.1478532409e-04,5.00000000e-03
0.15000000,5.9732280432e-04,5.00000000e-03
0.15500000,-7.2890897961e-04,5.00000000e-03
0.16000000,2.6300800792e-04,5.00000000e-03
0.16500000,1.2194918304e-03,5.00000000e-03
0.17000000,-1.9100415789e-03,5.00000000e-03
0.17500000,5.5399487760e-04,5.00000000e-03
0.18000000,1.2606365307e-03,5.00000000e-03
0.18500000,-1.1919052162e-03,5.00000000e-03
0.19000000,7.2248237720e-04,5.00000000e-03
0.19500000,-7.7914335019e-04,5.00000000e-03
0.20000000,7.6749049499e-04,5.00000000e-03
0.20500000,8.8035387510e-04,5.00000000e-03
0.21000000,-3.2762152068e-03,5.00000000e-03
0.21500000,4.1674502131e-03,5.00000000e-03
0.22000000,-1.6114330546e-03,5.00000000e-03
0.22500000,-4.2247238933e-03,5.00000000e-03
0.23000000,5.3704441191e-03,5.00000000e-03
0.23500000,-3.1394156426e-03,5.00000000e-03
0.24000000,-1.7759539193e-03,5.00000000e-03
0.24500000,3.5739206424e-03,5.00000000e-03
0.25000000,-4.0516268282e-03,5.00000000e-03
0.25500000,3.5372565690e-04,5.00000000e-03
0.26000000,2.4349100284e-03,5.00000000e-03
0.26500000,-2.1637372846e-03,5.00000000e-03
0.27000000,-1.0489653826e-03,5.00000000e-03
0.27500000,1.2280041541e-03,5.00000000e-03
0.28000000,9.0921760880e-04,5.00000000e-03
0.28500000,-2.2885135693e-03,5.00000000e-03
0.29000000,1.3063751019e-03,5.00000000e-03
0.29500000,1.3949203669e-03,5.00000000e-03
0.30000000,-3.0668697924e-03,5.00000000e-03
0.30500000,4.7873859307e-03,5.00000000e-03
0.31000000,-2.8671449743e-03,5.00000000e-03
0.31500000,-2.6646323436e-03,5.00000000e-03
0.32000000,6.4531615018e-03,5.00000000e-03
0.32500000,-7.2842296619e-03,5.00000000e-03
0.33000000,2.6426685685e-03,5.00000000e-03
