time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0289394937e-04,5.00000000e-03
0.06000000,-8.2539535132e-05,5.00000000e-03
0.06500000,-1.5526646449e-04,5.00000000e-03
0.07000000,-3.6860821671e-04,5.00000000e-03
0.07500000,-1.5243464583e-04,5.00000000e-03
0.08000000,-6.3087997607e-05,5.00000000e-03
0.08500000,-3.7766627586e-04,5.00000000e-03
0.09000000,-1.6749518594e-04,5.00000000e-03
0.09500000,-8.7504225010e-06,5.00000000e-03
0.10000000,-4.3121020821e-04,5.00000000e-03
0.10500000,-1.1899279076e-04,5.00000000e-03
0.11000000,2.3614561043e-05,5.00000000e-03
0.11500000,-5.1065485822e-04,5.00000000e-03
0.12000000,8.5131226289e-05,5.00000000e-03
0.12500000,8.6608635851e-05,5.00000000e-03
0.13000000,-3.9634024637e-04,5.00000000e-03
0.13500000,6.7201707243e-04,5.00000000e-03
0.14000000,1.0410691861e-04,5.00000000e-03
0.14500000,-4.4879179127e-04,5.00000000e-03
0.15000000,5.0697122921e-04,5.00000000e-03
0.15500000,-6.8542454286e-04,5.00000000e-03
0.16000000,3.4940763768e-04,5.00000000e-03
0.16500000,1.2130743827e-03,5.00000000e-03
0.17000000,-1.8085705832e-03,5.00000000e-03
0.17500000,6.6666522480e-04,5.00000000e-03
0.18000000,1.0553671026e-03,5.00000000e-03
0.18500000,-9.7165935212e-04,5.00000000e-03
0.19000000,6.2723200258e-04,5.00000000e-03
0.19500000,-7.7878479378e-04,5.00000000e-03
0.20000000,1.1040687064e-03,5.00000000e-03
0.20500000,4.4499061872e-04,5.00000000e-03
0.21000000,-2.7954743382e-03,5.00000000e-03
0.21500000,3.6691809595e-03,5.00000000e-03
0.22000000,-1.6288047057e-03,5.00000000e-03
0.22500000,-3.7643658842e-03,5.00000000e-03
0.23000000,4.8990660582e-03,5.00000000e-03
0.23500000,-2.7078982515e-03,5.00000000e-03
0.24000000,-1.9418709935e-03,5.00000000e-03
0.24500000,3.4831339897e-03,5.00000000e-03
0.25000000,-3.4501352726e-03,5.00000000e-03
0.25500000,-8.2557845923e-05,5.00000000e-03
0.26000000,2.4786648138e-03,5.00000000e-03
0.26500000,-1.8048788232e-03,5.00000000e-03
0.27000000,-1.5246085214e-03,5.00000000e-03
0.27500000,1.2080947081e-03,5.00000000e-03
0.28000000,1.3203831172e-03,5.00000000e-03
0.28500000,-2.6756482345e-03,5.00000000e-03
0.29000000,1.1260095695e-03,5.00000000e-03
0.29500000,1.4891662614e-03,5.00000000e-03
0.30000000,-2.6103204897e-03,5.00000000e-03
0.30500000,4.5030995156e-03,5.00000000e-03
0.31000000,-3.6182459172e-03,5.00000000e-03
0.31500000,-1.2231606657e-03,5.00000000e-03
0.32000000,5.9222402102e-03,5.00000000e-03
0.32500000,-7.9068548970e-03,5.00000000e-03
0.33000000,3.5442500799e-03,5.00000000e-03
