time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0272856087e-04,5.00000000e-03
0.06000000,-8.2676804285e-05,5.00000000e-03
0.06500000,-1.5581626521e-04,5.00000000e-03
0.07000000,-3.6759945724e-04,5.00000000e-03
0.07500000,-1.5235930126e-04,5.00000000e-03
0.08000000,-6.4796645894e-05,5.00000000e-03
0.08500000,-3.7555512155e-04,5.00000000e-03
0.09000000,-1.6690436488e-04,5.00000000e-03
0.09500000,-1.2372597283e-05,5.00000000e-03
0.10000000,-4.2708320270e-04,5.00000000e-03
0.10500000,-1.1853896868e-04,5.00000000e-03
0.11000000,1.7635518280e-05,5.00000000e-03
0.11500000,-5.0205409307e-04,5.00000000e-03
0.12000000,8.1485205102e-05,5.00000000e-03
0.12500000,7.9206994681e-05,5.00000000e-03
0.13000000,-3.8114609537e-04,5.00000000e-03
0.13500000,6.5760922234e-04,5.00000000e-03
0.14000000,9.9653904695e-05,5.00000000e-03
0.14500000,-4.3175837631e-04,5.00000000e-03
0.15000000,4.8468816713e-04,5.00000000e-03
0.15500000,-6.6562070277e-04,5.00000000e-03
0.16000000,3.5469757523e-04,5.00000000e-03
0.16500000,1.1732859518e-03,5.00000000e-03
0.17000000,-1.7568205781e-03,5.00000000e-03
0.17500000,6.4182493402e-04,5.00000000e-03
0.18000000,1.0332512596e-03,5.00000000e-03
0.18500000,-9.5056775132e-04,5.00000000e-03
0.19000000,6.0408204783e-04,5.00000000e-03
0.19500000,-7.4501488061e-04,5.00000000e-03
0.20000000,1.0595586777e-03,5.00000000e-03
0.20500000,4.4602183498e-04,5.00000000e-03
0.21000000,-2.7475828906e-03,5.00000000e-03
0.21500000,3.5732687589e-03,5.00000000e-03
0.22000000,-1.5773216900e-03,5.00000000e-03
0.22500000,-3.7274980184e-03,5.00000000e-03
0.23000000,4.8408515328e-03,5.00000000e-03
0.23500000,-2.6648711025e-03,5.00000000e-03
0.24000000,-1.9806903031e-03,5.00000000e-03
0.24500000,3.5175885405e-03,5.00000000e-03
0.25000000,-3.4280012551e-03,5.00000000e-03
0.25500000,-1.3647163130e-04,5.00000000e-03
0.26000000,2.5043049778e-03,5.00000000e-03
0.26500000,-1.8456302201e-03,5.00000000e-03
0.27000000,-1.4511934574e-03,5.00000000e-03
0.27500000,1.3090139293e-03,5.00000000e-03
0.28000000,1.2267698560e-03,5.00000000e-03
0.28500000,-3.0452360871e-03,5.00000000e-03
0.29000000,1.9639183003e-03,5.00000000e-03
0.29500000,1.5873654362e-03,5.00000000e-03
0.30000000,-3.1641046625e-03,5.00000000e-03
0.30500000,4.6274300020e-03,5.00000000e-03
0.31000000,-1.9106152311e-03,5.00000000e-03
0.31500000,-2.3174450846e-03,5.00000000e-03
0.32000000,6.6904661012e-03,5.00000000e-03
0.32500000,-8.6998422335e-03,5.00000000e-03
0.33000000,2.9529210220e-03,5.00000000e-03
