time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0286788027e-04,5.00000000e-03
0.06000000,-8.2515029315e-05,5.00000000e-03
0.06500000,-1.5548016908e-04,5.00000000e-03
0.07000000,-3.6819642074e-04,5.00000000e-03
0.07500000,-1.5236431454e-04,5.00000000e-03
0.08000000,-6.3791791378e-05,5.00000000e-03
0.08500000,-3.7688157584e-04,5.00000000e-03
0.09000000,-1.6727487009e-04,5.00000000e-03
0.09500000,-1.0181647756e-05,5.00000000e-03
0.10000000,-4.2970299958e-04,5.00000000e-03
0.10500000,-1.1883046552e-04,5.00000000e-03
0.11000000,2.1513875219e-05,5.00000000e-03
0.11500000,-5.0717599352e-04,5.00000000e-03
0.12000000,8.3510149197e-05,5.00000000e-03
0.12500000,8.3760690632e-05,5.00000000e-03
0.13000000,-3.8968726331e-04,5.00000000e-03
0.13500000,6.6587654506e-04,5.00000000e-03
0.14000000,1.0222116143e-04,5.00000000e-03
0.14500000,-4.4120794782e-04,5.00000000e-03
0.15000000,4.9676063366e-04,5.00000000e-03
0.15500000,-6.7880261153e-04,5.00000000e-03
0.16000000,3.5478809656e-04,5.00000000e-03
0.16500000,1.1988012485e-03,5.00000000e-03
0.17000000,-1.7914168834e-03,5.00000000e-03
0.17500000,6.5767620526e-04,5.00000000e-03
0.18000000,1.0502631397e-03,5.00000000e-03
0.18500000,-9.6531773816e-04,5.00000000e-03
0.19000000,6.1764415565e-04,5.00000000e-03
0.19500000,-7.6586766047e-04,5.00000000e-03
0.20000000,1.0891855739e-03,5.00000000e-03
0.20500000,4.4752424298e-04,5.00000000e-03
0.21000000,-2.7846006445e-03,5.00000000e-03
0.21500000,3.6434607807e-03,5.00000000e-03
0.22000000,-1.6134499481e-03,5.00000000e-03
0.22500000,-3.7588200030e-03,5.00000000e-03
0.23000000,4.8956487796e-03,5.00000000e-03
0.23500000,-2.7145818609e-03,5.00000000e-03
0.24000000,-1.9724069995e-03,5.00000000e-03
0.24500000,3.5481072016e-03,5.00000000e-03
0.25000000,-3.4736833510e-03,5.00000000e-03
0.25500000,-1.0902171948e-04,5.00000000e-03
0.26000000,2.5231781275e-03,5.00000000e-03
0.26500000,-1.8732377431e-03,5.00000000e-03
0.27000000,-1.4493632231e-03,5.00000000e-03
0.27500000,1.3260651606e-03,5.00000000e-03
0.28000000,1.2329651060e-03,5.00000000e-03
0.28500000,-2.8708170954e-03,5.00000000e-03
0.29000000,1.0520254502e-03,5.00000000e-03
0.29500000,1.6596517823e-03,5.00000000e-03
0.30000000,-2.7816681862e-03,5.00000000e-03
0.30500000,4.6435633397e-03,5.00000000e-03
0.31000000,-3.6498971872e-03,5.00000000e-03
0.31500000,-1.1639791931e-03,5.00000000e-03
0.32000000,5.8085442725e-03,5.00000000e-03
0.32500000,-7.8623039896e-03,5.00000000e-03
0.33000000,3.5763630248e-03,5.00000000e-03
