time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-3.2100627858e-07,5.00000000e-03
0.01000000,-6.3766785047e-07,5.00000000e-03
0.01500000,-9.4975612587e-07,5.00000000e-03
0.02000000,-1.2581007069e-06,5.00000000e-03
0.02500000,-1.6003196073e-06,5.00000000e-03
0.03000000,-2.6302000141e-06,5.00000000e-03
0.03500000,-1.0147499342e-05,5.00000000e-03
0.04000000,-5.0731075796e-05,5.00000000e-03
0.04500000,-1.7514701029e-04,5.00000000e-03
0.05000000,-3.4044204598e-04,5.00000000e-03
0.05500000,-3.0284181273e-04,5.00000000e-03
0.06000000,-8.2490961456e-05,5.00000000e-03
0.06500000,-1.5569288926e-04,5.00000000e-03
0.07000000,-3.6778570173e-04,5.00000000e-03
0.07500000,-1.5229659614e-04,5.00000000e-03
0.08000000,-6.4488978671e-05,5.00000000e-03
0.08500000,-3.7610116085e-04,5.00000000e-03
0.09000000,-1.6706208684e-04,5.00000000e-03
0.09500000,-1.1593131998e-05,5.00000000e-03
0.10000000,-4.2819422779e-04,5.00000000e-03
0.10500000,-1.1863835717e-04,5.00000000e-03
0.11000000,1.9298810938e-05,5.00000000e-03
0.11500000,-5.0397134674e-04,5.00000000e-03
0.12000000,8.2539759435e-05,5.00000000e-03
0.12500000,8.1247936720e-05,5.00000000e-03
0.13000000,-3.8445635289e-04,5.00000000e-03
0.13500000,6.6058370211e-04,5.00000000e-03
0.14000000,1.0165574334e-04,5.00000000e-03
0.14500000,-4.3532060128e-04,5.00000000e-03
0.15000000,4.8839082586e-04,5.00000000e-03
0.15500000,-6.7319349431e-04,5.00000000e-03
0.16000000,3.5473930890e-04,5.00000000e-03
0.16500000,1.1949300919e-03,5.00000000e-03
0.17000000,-1.7741696019e-03,5.00000000e-03
0.17500000,6.3589134017e-04,5.00000000e-03
0.18000000,1.0544837624e-03,5.00000000e-03
0.18500000,-9.7810972211e-04,5.00000000e-03
0.19000000,6.0132088964e-04,5.00000000e-03
0.19500000,-7.0071206815e-04,5.00000000e-03
0.20000000,1.0386655989e-03,5.00000000e-03
0.20500000,4.0956212970e-04,5.00000000e-03
0.21000000,-2.7376454416e-03,5.00000000e-03
0.21500000,3.6317660865e-03,5.00000000e-03
0.22000000,-1.5949537223e-03,5.00000000e-03
0.22500000,-3.8106641179e-03,5.00000000e-03
0.23000000,4.8902218877e-03,5.00000000e-03
0.23500000,-2.5353347037e-03,5.00000000e-03
0.24000000,-2.0476210817e-03,5.00000000e-03
0.24500000,3.2973041494e-03,5.00000000e-03
0.25000000,-3.1882140430e-03,5.00000000e-03
0.25500000,-9.5186609667e-05,5.00000000e-03
0.26000000,2.2836321909e-03,5.00000000e-03
0.26500000,-1.6667273562e-03,5.00000000e-03
0.27000000,-1.4613366438e-03,5.00000000e-03
0.27500000,1.0077686741e-03,5.00000000e-03
0.28000000,1.4260094212e-03,5.00000000e-03
0.28500000,-2.8330489932e-03,5.00000000e-03
0.29000000,1.0904351443e-03,5.00000000e-03
0.29500000,2.0340095567e-03,5.00000000e-03
0.30000000,-3.3191743344e-03,5.00000000e-03
0.30500000,4.9660769938e-03,5.00000000e-03
0.31000000,-2.7553444744e-03,5.00000000e-03
0.31500000,-2.4613055450e-03,5.00000000e-03
0.32000000,6.4172537437e-03,5.00000000e-03
0.32500000,-8.2494996576e-03,5.00000000e-03
0.33000000,2.8759793932e-03,5.00000000e-03
