time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,7.8553785225e-07,5.00000000e-03
0.01000000,1.6082806899e-06,5.00000000e-03
0.01500000,2.4695557345e-06,5.00000000e-03
0.02000000,3.3740826619e-06,5.00000000e-03
0.02500000,4.4159857454e-06,5.00000000e-03
0.03000000,7.2435884557e-06,5.00000000e-03
0.03500000,2.7015980081e-05,5.00000000e-03
0.04000000,1.3756122178e-04,5.00000000e-03
0.04500000,4.8918319286e-04,5.00000000e-03
0.05000000,9.1268566780e-04,5.00000000e-03
0.05500000,7.1093948416e-04,5.00000000e-03
0.06000000,3.0814022540e-04,5.00000000e-03
0.06500000,6.9716334789e-04,5.00000000e-03
0.07000000,9.0735452946e-04,5.00000000e-03
0.07500000,5.5585118321e-04,5.00000000e-03
0.08000000,7.6549962893e-04,5.00000000e-03
0.08500000,9.2481215149e-04,5.00000000e-03
0.09000000,6.7192782166e-04,5.00000000e-03
0.09500000,9.1137535883e-04,5.00000000e-03
0.10000000,9.4744347470e-04,5.00000000e-03
0.10500000,7.5668164152e-04,5.00000000e-03
0.11000000,1.0289115707e-03,5.00000000e-03
0.11500000,8.9974841848e-04,5.00000000e-03
0.12000000,7.3061958984e-04,5.00000000e-03
0.12500000,8.1132329315e-04,5.00000000e-03
0.13000000,3.7031865268e-04,5.00000000e-03
0.13500000,2.4387474799e-04,5.00000000e-03
0.14000000,3.7428883850e-04,5.00000000e-03
0.14500000,4.9767400529e-04,5.00000000e-03
0.15000000,1.0129006911e-03,5.00000000e-03
0.15500000,4.6403972802e-04,5.00000000e-03
0.16000000,-1.1768288059e-04,5.00000000e-03
0.16500000,5.8212045477e-04,5.00000000e-03
0.17000000,9.1596712891e-04,5.00000000e-03
0.17500000,7.6072183750e-04,5.00000000e-03
0.18000000,-2.2665294725e-04,5.00000000e-03
0.18500000,2.7535496992e-04,5.00000000e-03
0.19000000,2.1063699847e-03,5.00000000e-03
0.19500000,-4.1920617204e-04,5.00000000e-03
0.20000000,-3.8851936009e-04,5.00000000e-03
0.20500000,2.9041321496e-03,5.00000000e-03
0.21000000,1.8745221363e-04,5.00000000e-03
0.21500000,1.3711379781e-05,5.00000000e-03
0.22000000,3.1958725246e-03,5.00000000e-03
0.22500000,1.0047612329e-03,5.00000000e-03
0.23000000,-1.1056865359e-04,5.00000000e-03
0.23500000,2.0713400017e-03,5.00000000e-03
0.24000000,1.8364625974e-03,5.00000000e-03
0.24500000,-5.4865469306e-05,5.00000000e-03
0.25000000,2.7836848892e-03,5.00000000e-03
0.25500000,2.2342613226e-03,5.00000000e-03
0.26000000,-1.8440183249e-03,5.00000000e-03
0.26500000,4.7858430206e-03,5.00000000e-03
0.27000000,2.9404712890e-03,5.00000000e-03
0.27500000,-1.9487707950e-03,5.00000000e-03
0.28000000,5.0800167749e-03,5.00000000e-03
0.28500000,-2.5765100657e-04,5.00000000e-03
0.29000000,-4.5318889038e-04,5.00000000e-03
0.29500000,4.7745060651e-03,5.00000000e-03
0.30000000,-4.4881900499e-03,5.00000000e-03
0.30500000,2.9907666839e-03,5.00000000e-03
0.31000000,4.6359075825e-03,5.00000000e-03
0.31500000,-5.1995556117e-03,5.00000000e-03
0.32000000,5.9739917378e-03,5.00000000e-03
0.32500000,2.7525783725e-03,5.00000000e-03
0.33000000,-3.6344367722e-03,5.00000000e-03
0.33500000,4.6292103504e-03,5.00000000e-03
0.34000000,7.4746766474e-04,5.00000000e-03
0.34500000,5.1047790711e-04,5.00000000e-03
0.35000000,2.0147375119e-03,5.00000000e-03
0.35500000,-1.2827539999e-03,5.00000000e-03
0.36000000,3.2001421956e-03,5.00000000e-03
0.36500000,-4.1859579457e-04,5.00000000e-03
0.37000000,4.9483453993e-04,5.00000000e-03
0.37500000,4.9993026081e-03,5.00000000e-03
0.38000000,-3.0743925202e-03,5.00000000e-03
0.38500000,5.8050142444e-03,5.00000000e-03
0.39000000,5.8172197516e-03,5.00000000e-03
0.39500000,-4.2640311986e-03,5.00000000e-03
0.40000000,5.7309298091e-03,5.00000000e-03
0.40500000,2.5640869667e-03,5.00000000e-03
0.41000000,-2.4406909504e-03,5.00000000e-03
0.41500000,6.0017127019e-03,5.00000000e-03
0.42000000,4.1779587981e-04,5.00000000e-03
0.42500000,-1.4320632681e-03,5.00000000e-03
0.43000000,4.3528005405e-03,5.00000000e-03
0.43500000,-4.2284071221e-04,5.00000000e-03
0.44000000,2.0610946442e-03,5.00000000e-03
0.44500000,5.9291283124e-03,5.00000000e-03
0.45000000,-1.1010855497e-03,5.00000000e-03
0.45500000,1.2933422704e-03,5.00000000e-03
0.46000000,4.7799802562e-03,5.00000000e-03
0.46500000,-2.2039739230e-03,5.00000000e-03
0.47000000,1.3635988942e-03,5.00000000e-03
0.47500000,5.6696550957e-03,5.00000000e-03
0.48000000,-1.3818744198e-03,5.00000000e-03
0.48500000,2.7008183804e-03,5.00000000e-03
0.49000000,5.7678349154e-03,5.00000000e-03
0.49500000,-1.8932798807e-03,5.00000000e-03
0.50000000,3.3566861303e-03,5.00000000e-03
0.50500000,6.0212047641e-03,5.00000000e-03
0.51000000,-1.8425831107e-04,5.00000000e-03
0.51500000,3.8412839828e-03,5.00000000e-03
0.52000000,3.8035807422e-03,5.00000000e-03
0.52500000,-1.4419900747e-03,5.00000000e-03
0.53000000,2.7133761144e-03,5.00000000e-03
0.53500000,3.7693890402e-03,5.00000000e-03
0.54000000,2.3786950751e-03,5.00000000e-03
0.54500000,2.8885566386e-03,5.00000000e-03
0.55000000,2.0369846712e-03,5.00000000e-03
0.55500000,4.4279209910e-03,5.00000000e-03
0.56000000,2.9826632708e-03,5.00000000e-03
0.56500000,-1.1739992306e-03,5.00000000e-03
0.57000000,3.6253657206e-03,5.00000000e-03
0.57500000,3.1173206483e-03,5.00000000e-03
0.58000000,1.2530692059e-03,5.00000000e-03
0.58500000,4.2184856347e-03,5.00000000e-03
0.59000000,-1.2013218165e-03,5.00000000e-03
0.59500000,5.8083562096e-04,5.00000000e-03
0.60000000,4.5862800302e-03,5.00000000e-03
0.60500000,-2.4946247231e-03,5.00000000e-03
0.61000000,5.6270318570e-03,5.00000000e-03
0.61500000,3.0849663939e-03,5.00000000e-03
0.62000000,-5.5860862001e-03,5.00000000e-03
0.62500000,7.5276311823e-03,5.00000000e-03
0.63000000,-3.6914931449e-04,5.00000000e-03
0.63500000,-1.4176398163e-03,5.00000000e-03
0.64000000,1.2508283351e-02,5.00000000e-03
0.64500000,-3.4237879807e-03,5.00000000e-03
0.65000000,2.1946605282e-03,5.00000000e-03
0.65500000,1.1754027217e-02,5.00000000e-03
0.66000000,-4.9804401568e-03,5.00000000e-03
0.66500000,4.8605418879e-03,5.00000000e-03
0.67000000,8.5453610742e-03,5.00000000e-03
0.67500000,-2.5264404774e-03,5.00000000e-03
0.68000000,7.6917516318e-03,5.00000000e-03
0.68500000,2.4195208812e-03,5.00000000e-03
0.69000000,-1.2171326516e-04,5.00000000e-03
0.69500000,8.2572352814e-03,5.00000000e-03
0.70000000,9.8850682813e-04,5.00000000e-03
0.70500000,5.7822642752e-03,5.00000000e-03
0.71000000,5.8564808023e-03,5.00000000e-03
0.71500000,-1.4191600422e-03,5.00000000e-03
0.72000000,5.1071502940e-03,5.00000000e-03
0.72500000,9.0856464563e-04,5.00000000e-03
0.73000000,7.3313221322e-05,5.00000000e-03
0.73500000,4.0359736146e-03,5.00000000e-03
0.74000000,-1.1435561176e-03,5.00000000e-03
0.74500000,3.5076492759e-03,5.00000000e-03
0.75000000,1.8812378239e-03,5.00000000e-03
0.75500000,1.6603449944e-04,5.00000000e-03
0.76000000,6.5898499848e-03,5.00000000e-03
0.76500000,9.2740440014e-05,5.00000000e-03
0.77000000,3.4061685595e-03,5.00000000e-03
0.77500000,4.4602703268e-03,5.00000000e-03
0.78000000,-1.9005439660e-03,5.00000000e-03
0.78500000,1.4288410608e-03,5.00000000e-03
0.79000000,-3.6557470719e-04,5.00000000e-03
0.79500000,2.6844792435e-03,5.00000000e-03
0.80000000,4.1194387866e-03,5.00000000e-03
0.80500000,2.5198260767e-03,5.00000000e-03
0.81000000,8.3383760639e-03,5.00000000e-03
0.81500000,1.0084343022e-03,5.00000000e-03
0.82000000,9.4572393338e-03,5.00000000e-03
0.82500000,9.4322994926e-03,5.00000000e-03
0.83000000,-1.3553963120e-03,5.00000000e-03
0.83500000,1.2363329535e-02,5.00000000e-03
0.84000000,2.5936139343e-03,5.00000000e-03
0.84500000,-5.0970713335e-04,5.00000000e-03
0.85000000,1.0963045248e-02,5.00000000e-03
0.85500000,-5.4987932452e-03,5.00000000e-03
0.86000000,4.4209902402e-03,5.00000000e-03
0.86500000,8.4404162321e-03,5.00000000e-03
0.87000000,-3.0327944358e-03,5.00000000e-03
0.87500000,1.3074325531e-02,5.00000000e-03
0.88000000,1.1191864982e-03,5.00000000e-03
0.88500000,-2.3288782596e-03,5.00000000e-03
0.89000000,1.1667078338e-02,5.00000000e-03
0.89500000,-3.8080613000e-03,5.00000000e-03
0.90000000,-1.3383447533e-05,5.00000000e-03
0.90500000,3.9066162282e-03,5.00000000e-03
0.91000000,-6.3782828077e-03,5.00000000e-03
0.91500000,5.0817636839e-03,5.00000000e-03
0.92000000,-4.5420218510e-04,5.00000000e-03
0.92500000,-4.0212336924e-03,5.00000000e-03
0.93000000,4.0373244505e-03,5.00000000e-03
0.93500000,-5.9372890040e-04,5.00000000e-03
0.94000000,6.7960329630e-03,5.00000000e-03
0.94500000,5.5819659024e-03,5.00000000e-03
0.95000000,-4.1506781500e-03,5.00000000e-03
0.95500000,2.8838548211e-03,5.00000000e-03
0.96000000,9.9166570746e-04,5.00000000e-03
0.96500000,2.7735469934e-04,5.00000000e-03
0.97000000,5.8113746381e-03,5.00000000e-03
0.97500000,4.2441955901e-05,5.00000000e-03
0.98000000,3.6613234713e-03,5.00000000e-03
0.98500000,7.7982613281e-03,5.00000000e-03
0.99000000,4.2956936460e-03,5.00000000e-03
0.99500000,4.8754682957e-03,5.00000000e-03
1.00000000,4.3538855264e-03,5.00000000e-03
1.00500000,4.2104506458e-03,5.00000000e-03
1.01000000,7.4658980523e-03,5.00000000e-03
1.01500000,6.9972772417e-03,5.00000000e-03
1.02000000,2.7371470161e-03,5.00000000e-03
1.02500000,3.9069254358e-03,5.00000000e-03
1.03000000,7.7520531956e-03,5.00000000e-03
1.03500000,4.9450316260e-03,5.00000000e-03
1.04000000,6.7234675647e-03,5.00000000e-03
1.04500000,6.0393248327e-03,5.00000000e-03
1.05000000,-1.8786410431e-03,5.00000000e-03
1.05500000,5.6459509433e-03,5.00000000e-03
1.06000000,6.1643491865e-03,5.00000000e-03
1.06500000,2.6601319955e-03,5.00000000e-03
1.07000000,7.3077748925e-03,5.00000000e-03
1.07500000,-1.9188852172e-04,5.00000000e-03
1.08000000,-2.0416500948e-04,5.00000000e-03
1.08500000,4.7161727675e-03,5.00000000e-03
1.09000000,-8.9561469028e-04,5.00000000e-03
1.09500000,2.0137300536e-03,5.00000000e-03
1.10000000,3.1774474144e-04,5.00000000e-03
1.10500000,-2.9972198208e-03,5.00000000e-03
1.11000000,4.8733376208e-03,5.00000000e-03
1.11500000,5.5777053004e-04,5.00000000e-03
1.12000000,-2.1481889326e-03,5.00000000e-03
1.12500000,2.2930781925e-03,5.00000000e-03
1.13000000,5.0142518344e-03,5.00000000e-03
1.13500000,8.1000431309e-03,5.00000000e-03
1.14000000,4.1272044195e-03,5.00000000e-03
1.14500000,5.9167152628e-04,5.00000000e-03
1.15000000,3.1420478696e-03,5.00000000e-03
1.15500000,7.2225704238e-03,5.00000000e-03
1.16000000,9.2803706035e-03,5.00000000e-03
1.16500000,6.5513120477e-03,5.00000000e-03
1.17000000,3.6998870060e-03,5.00000000e-03
1.17500000,5.8875242153e-03,5.00000000e-03
1.18000000,1.1862300189e-02,5.00000000e-03
1.18500000,1.1260200818e-02,5.00000000e-03
1.19000000,7.3736785215e-03,5.00000000e-03
1.19500000,8.5091411494e-03,5.00000000e-03
1.20000000,3.1193885089e-03,5.00000000e-03
1.20500000,4.1060825749e-03,5.00000000e-03
1.21000000,6.7118972314e-03,5.00000000e-03
1.21500000,-4.9002421723e-03,5.00000000e-03
1.22000000,-4.5496364791e-04,5.00000000e-03
1.22500000,5.0836007649e-03,5.00000000e-03
1.23000000,2.9737852978e-03,5.00000000e-03
1.23500000,9.5672003046e-03,5.00000000e-03
1.24000000,-5.4775401462e-04,5.00000000e-03
1.24500000,-3.7527684601e-03,5.00000000e-03
1.25000000,6.9271466319e-03,5.00000000e-03
1.25500000,3.9223731657e-04,5.00000000e-03
1.26000000,9.4145323421e-04,5.00000000e-03
1.26500000,6.7796520312e-04,5.00000000e-03
1.27000000,-5.1706920322e-03,5.00000000e-03
1.27500000,4.3197847914e-03,5.00000000e-03
1.28000000,3.5502271072e-03,5.00000000e-03
1.28500000,2.4478304696e-03,5.00000000e-03
1.29000000,5.1542168269e-03,5.00000000e-03
1.29500000,1.9435128931e-03,5.00000000e-03
1.30000000,9.0692741290e-03,5.00000000e-03
1.30500000,6.2631995118e-03,5.00000000e-03
1.31000000,-7.8474487962e-05,5.00000000e-03
1.31500000,2.6973538397e-03,5.00000000e-03
1.32000000,8.9671885603e-04,5.00000000e-03
1.32500000,7.0075089738e-03,5.00000000e-03
1.33000000,7.5472458048e-03,5.00000000e-03
1.33500000,3.1823788539e-03,5.00000000e-03
1.34000000,8.7445665778e-03,5.00000000e-03
1.34500000,7.5632336761e-03,5.00000000e-03
1.35000000,1.1681554494e-02,5.00000000e-03
1.35500000,1.1980379577e-02,5.00000000e-03
1.36000000,2.9368998714e-03,5.00000000e-03
1.36500000,3.4437544566e-03,5.00000000e-03
1.37000000,-1.9158285718e-03,5.00000000e-03
1.37500000,-1.9386256573e-03,5.00000000e-03
1.38000000,-1.1186165696e-03,5.00000000e-03
1.38500000,-5.4923373679e-03,5.00000000e-03
1.39000000,8.8151838333e-03,5.00000000e-03
1.39500000,1.0554693870e-02,5.00000000e-03
1.40000000,8.2336497896e-03,5.00000000e-03
1.40500000,9.8069995451e-03,5.00000000e-03
1.41000000,-1.8481599671e-03,5.00000000e-03
1.41500000,1.7818352648e-03,5.00000000e-03
1.42000000,3.9504069985e-03,5.00000000e-03
1.42500000,-4.1834499272e-03,5.00000000e-03
1.43000000,3.6354899856e-03,5.00000000e-03
1.43500000,-1.6789896971e-03,5.00000000e-03
1.44000000,-1.7375603697e-03,5.00000000e-03
1.44500000,1.0579093381e-02,5.00000000e-03
1.45000000,5.5786558937e-03,5.00000000e-03
1.45500000,1.0828403474e-02,5.00000000e-03
1.46000000,1.2127500679e-02,5.00000000e-03
1.46500000,2.2170733360e-03,5.00000000e-03
1.47000000,5.3798635680e-03,5.00000000e-03
1.47500000,-1.8052664980e-03,5.00000000e-03
1.48000000,-4.3767491855e-03,5.00000000e-03
1.48500000,3.1908502967e-03,5.00000000e-03
1.49000000,2.7300959232e-03,5.00000000e-03
1.49500000,5.1996577182e-03,5.00000000e-03
1.50000000,3.7470413424e-03,5.00000000e-03
1.50500000,2.0969013912e-03,5.00000000e-03
1.51000000,8.8489861932e-03,5.00000000e-03
1.51500000,4.7495913313e-03,5.00000000e-03
1.52000000,3.0911681372e-03,5.00000000e-03
1.52500000,-9.2180462448e-04,5.00000000e-03
1.53000000,-1.1550258919e-02,5.00000000e-03
1.53500000,-7.8703368434e-03,5.00000000e-03
1.54000000,-5.2297211759e-03,5.00000000e-03
1.54500000,-1.0571867282e-03,5.00000000e-03
1.55000000,7.3849886986e-03,5.00000000e-03
1.55500000,1.1006675119e-02,5.00000000e-03
1.56000000,1.2307310093e-02,5.00000000e-03
1.56500000,6.8296568213e-03,5.00000000e-03
1.57000000,3.3139718037e-03,5.00000000e-03
1.57500000,5.9136517174e-03,5.00000000e-03
1.58000000,4.2430490079e-03,5.00000000e-03
1.58500000,2.3714191765e-03,5.00000000e-03
1.59000000,2.0564644005e-03,5.00000000e-03
1.59500000,4.3140009023e-03,5.00000000e-03
1.60000000,8.7548855498e-03,5.00000000e-03
1.60500000,6.7150734808e-03,5.00000000e-03
1.61000000,1.2200953408e-02,5.00000000e-03
1.61500000,1.7462587596e-02,5.00000000e-03
1.62000000,1.3108196464e-02,5.00000000e-03
1.62500000,8.3213675373e-03,5.00000000e-03
1.63000000,-4.6093162511e-04,5.00000000e-03
1.63500000,-2.7695846912e-03,5.00000000e-03
1.64000000,1.2704433953e-03,5.00000000e-03
1.64500000,1.2961240701e-05,5.00000000e-03
1.65000000,4.3286224286e-03,5.00000000e-03
1.65500000,7.2235717377e-03,5.00000000e-03
1.66000000,-1.7245547088e-04,5.00000000e-03
1.66500000,-1.4242793451e-03,5.00000000e-03
1.67000000,2.3248634057e-03,5.00000000e-03
1.67500000,6.9940633890e-03,5.00000000e-03
1.68000000,6.1545627424e-03,5.00000000e-03
1.68500000,-9.3301188874e-04,5.00000000e-03
1.69000000,-5.0629697304e-03,5.00000000e-03
1.69500000,-8.7459643814e-03,5.00000000e-03
1.70000000,-1.0061277287e-02,5.00000000e-03
1.70500000,-8.0332085909e-03,5.00000000e-03
1.71000000,-2.2734659742e-03,5.00000000e-03
1.71500000,6.9027408748e-03,5.00000000e-03
1.72000000,9.4455531377e-03,5.00000000e-03
1.72500000,5.1329075321e-03,5.00000000e-03
1.73000000,2.0539909930e-03,5.00000000e-03
1.73500000,9.1793074898e-04,5.00000000e-03
1.74000000,1.6346992058e-03,5.00000000e-03
1.74500000,6.0738528939e-03,5.00000000e-03
1.75000000,9.9676562366e-03,5.00000000e-03
1.75500000,7.0161249472e-03,5.00000000e-03
1.76000000,-1.3514785768e-03,5.00000000e-03
1.76500000,-2.2150259695e-03,5.00000000e-03
1.77000000,6.3931388608e-03,5.00000000e-03
1.77500000,1.5353869841e-02,5.00000000e-03
1.78000000,1.6836821245e-02,5.00000000e-03
1.78500000,1.0553062694e-02,5.00000000e-03
1.79000000,6.3059085857e-03,5.00000000e-03
1.79500000,2.7626531112e-03,5.00000000e-03
1.80000000,-1.2428447452e-03,5.00000000e-03
1.80500000,2.3897601011e-04,5.00000000e-03
1.81000000,4.8348602330e-03,5.00000000e-03
1.81500000,8.5252298335e-03,5.00000000e-03
1.82000000,1.0167086251e-02,5.00000000e-03
1.82500000,3.1569974890e-03,5.00000000e-03
1.83000000,-4.4096335641e-03,5.00000000e-03
1.83500000,-4.8028580633e-03,5.00000000e-03
1.84000000,-1.2812412142e-03,5.00000000e-03
1.84500000,3.0999198017e-03,5.00000000e-03
1.85000000,3.6083834661e-03,5.00000000e-03
1.85500000,-1.9577304477e-03,5.00000000e-03
1.86000000,-9.1221798237e-03,5.00000000e-03
1.86500000,-1.0355358415e-02,5.00000000e-03
1.87000000,-4.2899908429e-03,5.00000000e-03
1.87500000,3.2290425567e-03,5.00000000e-03
1.88000000,8.5218920851e-03,5.00000000e-03
1.88500000,9.4627700512e-03,5.00000000e-03
1.89000000,6.2907287486e-03,5.00000000e-03
1.89500000,1.6008167382e-03,5.00000000e-03
1.90000000,-2.4867387558e-03,5.00000000e-03
1.90500000,-2.5891342757e-03,5.00000000e-03
1.91000000,4.6161761746e-03,5.00000000e-03
1.91500000,8.8993944672e-03,5.00000000e-03
1.92000000,7.5214829427e-03,5.00000000e-03
1.92500000,4.7023338041e-03,5.00000000e-03
1.93000000,4.3762105479e-03,5.00000000e-03
1.93500000,7.2850349338e-03,5.00000000e-03
1.94000000,1.0069595824e-02,5.00000000e-03
1.94500000,1.1669138799e-02,5.00000000e-03
1.95000000,1.0517731691e-02,5.00000000e-03
1.95500000,3.1519491730e-03,5.00000000e-03
