time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,7.8553785226e-07,5.00000000e-03
0.01000000,1.6082806894e-06,5.00000000e-03
0.01500000,2.4695557326e-06,5.00000000e-03
0.02000000,3.3740827264e-06,5.00000000e-03
0.02500000,4.4159885127e-06,5.00000000e-03
0.03000000,7.2436356119e-06,5.00000000e-03
0.03500000,2.7016431284e-05,5.00000000e-03
0.04000000,1.3756411938e-04,5.00000000e-03
0.04500000,4.8919528595e-04,5.00000000e-03
0.05000000,9.1270696204e-04,5.00000000e-03
0.05500000,7.1094428895e-04,5.00000000e-03
0.06000000,3.0814408658e-04,5.00000000e-03
0.06500000,6.9720334772e-04,5.00000000e-03
0.07000000,9.0737356070e-04,5.00000000e-03
0.07500000,5.5584989172e-04,5.00000000e-03
0.08000000,7.6554353445e-04,5.00000000e-03
0.08500000,9.2483460630e-04,5.00000000e-03
0.09000000,6.7192607323e-04,5.00000000e-03
0.09500000,9.1142328784e-04,5.00000000e-03
0.10000000,9.4745368575e-04,5.00000000e-03
0.10500000,7.5666740589e-04,5.00000000e-03
0.11000000,1.0289544960e-03,5.00000000e-03
0.11500000,8.9972942681e-04,5.00000000e-03
0.12000000,7.3055334685e-04,5.00000000e-03
0.12500000,8.1124431414e-04,5.00000000e-03
0.13000000,3.7014275113e-04,5.00000000e-03
0.13500000,2.4380376661e-04,5.00000000e-03
0.14000000,3.7437232605e-04,5.00000000e-03
0.14500000,4.9767567939e-04,5.00000000e-03
0.15000000,1.0129020558e-03,5.00000000e-03
0.15500000,4.6390960084e-04,5.00000000e-03
0.16000000,-1.1787658459e-04,5.00000000e-03
0.16500000,5.8235285900e-04,5.00000000e-03
0.17000000,9.1600687370e-04,5.00000000e-03
0.17500000,7.6039984641e-04,5.00000000e-03
0.18000000,-2.2656552995e-04,5.00000000e-03
0.18500000,2.7550002263e-04,5.00000000e-03
0.19000000,2.1062906233e-03,5.00000000e-03
0.19500000,-4.1931837303e-04,5.00000000e-03
0.20000000,-3.8840316134e-04,5.00000000e-03
0.20500000,2.9045652723e-03,5.00000000e-03
0.21000000,1.8706392401e-04,5.00000000e-03
0.21500000,1.3937946178e-05,5.00000000e-03
0.22000000,3.1966180178e-03,5.00000000e-03
0.22500000,1.0036343921e-03,5.00000000e-03
0.23000000,-1.1022338079e-04,5.00000000e-03
0.23500000,2.0723210630e-03,5.00000000e-03
0.24000000,1.8354262314e-03,5.00000000e-03
