time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,7.8553785225e-07,5.00000000e-03
0.01000000,1.6082806899e-06,5.00000000e-03
0.01500000,2.4695557317e-06,5.00000000e-03
0.02000000,3.3740826066e-06,5.00000000e-03
0.02500000,4.4159836396e-06,5.00000000e-03
0.03000000,7.2435546060e-06,5.00000000e-03
0.03500000,2.7015663349e-05,5.00000000e-03
0.04000000,1.3755918297e-04,5.00000000e-03
0.04500000,4.8917438491e-04,5.00000000e-03
0.05000000,9.1266998416e-04,5.00000000e-03
0.05500000,7.1093791196e-04,5.00000000e-03
0.06000000,3.0814040162e-04,5.00000000e-03
0.06500000,6.9713427719e-04,5.00000000e-03
0.07000000,9.0734371182e-04,5.00000000e-03
0.07500000,5.5585913038e-04,5.00000000e-03
0.08000000,7.6547054563e-04,5.00000000e-03
0.08500000,9.2480228245e-04,5.00000000e-03
0.09000000,6.7193989149e-04,5.00000000e-03
0.09500000,9.1134104866e-04,5.00000000e-03
0.10000000,9.4743678178e-04,5.00000000e-03
0.10500000,7.5669479157e-04,5.00000000e-03
0.11000000,1.0288732171e-03,5.00000000e-03
0.11500000,8.9976233187e-04,5.00000000e-03
0.12000000,7.3066184928e-04,5.00000000e-03
0.12500000,8.1135532311e-04,5.00000000e-03
0.13000000,3.7044051669e-04,5.00000000e-03
0.13500000,2.4392723714e-04,5.00000000e-03
0.14000000,3.7422173822e-04,5.00000000e-03
0.14500000,4.9768022963e-04,5.00000000e-03
0.15000000,1.0128885363e-03,5.00000000e-03
0.15500000,4.6411778575e-04,5.00000000e-03
0.16000000,-1.1754851966e-04,5.00000000e-03
0.16500000,5.8194192106e-04,5.00000000e-03
0.17000000,9.1595369288e-04,5.00000000e-03
0.17500000,7.6093500010e-04,5.00000000e-03
0.18000000,-2.2673307693e-04,5.00000000e-03
0.18500000,2.7528916724e-04,5.00000000e-03
0.19000000,2.1063883256e-03,5.00000000e-03
0.19500000,-4.1909695109e-04,5.00000000e-03
0.20000000,-3.8856838617e-04,5.00000000e-03
0.20500000,2.9037796022e-03,5.00000000e-03
0.21000000,1.8781205555e-04,5.00000000e-03
0.21500000,1.3547567233e-05,5.00000000e-03
0.22000000,3.1953246949e-03,5.00000000e-03
0.22500000,1.0056137758e-03,5.00000000e-03
0.23000000,-1.1085796416e-04,5.00000000e-03
0.23500000,2.0707117677e-03,5.00000000e-03
0.24000000,1.8372043982e-03,5.00000000e-03
0.24500000,-5.5555883829e-05,5.00000000e-03
0.25000000,2.7834512466e-03,5.00000000e-03
0.25500000,2.2354312175e-03,5.00000000e-03
0.26000000,-1.8450029717e-03,5.00000000e-03
0.26500000,4.7855855434e-03,5.00000000e-03
0.27000000,2.9413782035e-03,5.00000000e-03
0.27500000,-1.9493532763e-03,5.00000000e-03
0.28000000,5.0802577621e-03,5.00000000e-03
0.28500000,-2.5730677373e-04,5.00000000e-03
0.29000000,-4.5373369710e-04,5.00000000e-03
0.29500000,4.7755190952e-03,5.00000000e-03
0.30000000,-4.4879926783e-03,5.00000000e-03
0.30500000,2.9897027936e-03,5.00000000e-03
0.31000000,4.6370763670e-03,5.00000000e-03
0.31500000,-5.1994488299e-03,5.00000000e-03
0.32000000,5.9722205709e-03,5.00000000e-03
0.32500000,2.7548416423e-03,5.00000000e-03
0.33000000,-3.6340533780e-03,5.00000000e-03
0.33500000,4.6275486300e-03,5.00000000e-03
0.34000000,7.4863220996e-04,5.00000000e-03
0.34500000,5.1069598802e-04,5.00000000e-03
0.35000000,2.0147236626e-03,5.00000000e-03
0.35500000,-1.2826138783e-03,5.00000000e-03
0.36000000,3.1997513212e-03,5.00000000e-03
0.36500000,-4.1834202707e-04,5.00000000e-03
0.37000000,4.9381829247e-04,5.00000000e-03
0.37500000,5.0000431504e-03,5.00000000e-03
0.38000000,-3.0743971407e-03,5.00000000e-03
0.38500000,5.8025463575e-03,5.00000000e-03
0.39000000,5.8195765667e-03,5.00000000e-03
0.39500000,-4.2642189689e-03,5.00000000e-03
0.40000000,5.7286243644e-03,5.00000000e-03
0.40500000,2.5631665682e-03,5.00000000e-03
0.41000000,-2.4543757631e-03,5.00000000e-03
0.41500000,6.0123456285e-03,5.00000000e-03
0.42000000,4.6555882002e-04,5.00000000e-03
0.42500000,-1.4574456367e-03,5.00000000e-03
0.43000000,4.3174479918e-03,5.00000000e-03
0.43500000,-3.5684253127e-04,5.00000000e-03
0.44000000,2.0307082756e-03,5.00000000e-03
0.44500000,5.9092603431e-03,5.00000000e-03
0.45000000,-1.0605657101e-03,5.00000000e-03
0.45500000,1.2587238230e-03,5.00000000e-03
0.46000000,4.8174218458e-03,5.00000000e-03
0.46500000,-2.2038049857e-03,5.00000000e-03
0.47000000,1.2917328472e-03,5.00000000e-03
0.47500000,5.7372108586e-03,5.00000000e-03
0.48000000,-1.3826752730e-03,5.00000000e-03
0.48500000,2.6384829820e-03,5.00000000e-03
0.49000000,5.8220353633e-03,5.00000000e-03
0.49500000,-1.9172767149e-03,5.00000000e-03
0.50000000,3.3345708474e-03,5.00000000e-03
0.50500000,6.0387808934e-03,5.00000000e-03
0.51000000,-2.0034510598e-04,5.00000000e-03
0.51500000,3.8829837100e-03,5.00000000e-03
0.52000000,3.7919237995e-03,5.00000000e-03
0.52500000,-1.4458506279e-03,5.00000000e-03
0.53000000,2.7327981500e-03,5.00000000e-03
0.53500000,3.7399608789e-03,5.00000000e-03
0.54000000,2.4092667823e-03,5.00000000e-03
0.54500000,2.8596788565e-03,5.00000000e-03
0.55000000,2.0216293680e-03,5.00000000e-03
0.55500000,4.5371464165e-03,5.00000000e-03
0.56000000,2.8823540628e-03,5.00000000e-03
0.56500000,-1.1359673654e-03,5.00000000e-03
0.57000000,3.6874444130e-03,5.00000000e-03
0.57500000,3.0248190070e-03,5.00000000e-03
0.58000000,1.2955391430e-03,5.00000000e-03
0.58500000,4.1992852533e-03,5.00000000e-03
0.59000000,-1.1511342567e-03,5.00000000e-03
0.59500000,5.9374331302e-04,5.00000000e-03
0.60000000,4.4559647416e-03,5.00000000e-03
0.60500000,-2.3839304494e-03,5.00000000e-03
0.61000000,5.6398454865e-03,5.00000000e-03
0.61500000,3.0171883227e-03,5.00000000e-03
0.62000000,-5.5475753756e-03,5.00000000e-03
0.62500000,7.5090490391e-03,5.00000000e-03
0.63000000,-2.9759864484e-04,5.00000000e-03
0.63500000,-1.4859764393e-03,5.00000000e-03
0.64000000,1.2479343288e-02,5.00000000e-03
0.64500000,-3.3411733630e-03,5.00000000e-03
0.65000000,2.0422336606e-03,5.00000000e-03
0.65500000,1.1812127307e-02,5.00000000e-03
0.66000000,-4.9242033806e-03,5.00000000e-03
0.66500000,4.7408502866e-03,5.00000000e-03
0.67000000,8.6327088249e-03,5.00000000e-03
0.67500000,-2.5630821374e-03,5.00000000e-03
0.68000000,7.6460415871e-03,5.00000000e-03
0.68500000,2.6172294966e-03,5.00000000e-03
0.69000000,-2.4420593032e-04,5.00000000e-03
0.69500000,8.2433240421e-03,5.00000000e-03
0.70000000,1.1056454308e-03,5.00000000e-03
0.70500000,5.6335169427e-03,5.00000000e-03
0.71000000,5.8982095954e-03,5.00000000e-03
0.71500000,-1.4344661478e-03,5.00000000e-03
0.72000000,5.1078979697e-03,5.00000000e-03
0.72500000,9.7625443071e-04,5.00000000e-03
0.73000000,1.7584953735e-05,5.00000000e-03
0.73500000,4.0702891149e-03,5.00000000e-03
0.74000000,-1.1609687206e-03,5.00000000e-03
0.74500000,3.5060227414e-03,5.00000000e-03
0.75000000,1.9278829524e-03,5.00000000e-03
0.75500000,1.2703876286e-04,5.00000000e-03
0.76000000,6.6070013217e-03,5.00000000e-03
0.76500000,-1.8240984383e-06,5.00000000e-03
0.77000000,3.4168568572e-03,5.00000000e-03
0.77500000,4.6466723487e-03,5.00000000e-03
0.78000000,-2.0249132817e-03,5.00000000e-03
0.78500000,1.3937374330e-03,5.00000000e-03
0.79000000,-2.6647574981e-04,5.00000000e-03
0.79500000,2.5639730987e-03,5.00000000e-03
0.80000000,4.1734947376e-03,5.00000000e-03
0.80500000,2.8290616098e-03,5.00000000e-03
0.81000000,8.1387409918e-03,5.00000000e-03
0.81500000,1.2827498565e-03,5.00000000e-03
0.82000000,9.2836842101e-03,5.00000000e-03
0.82500000,9.4648296462e-03,5.00000000e-03
0.83000000,-1.3282102081e-03,5.00000000e-03
0.83500000,1.2186141171e-02,5.00000000e-03
0.84000000,2.8394130574e-03,5.00000000e-03
0.84500000,-6.6240703922e-04,5.00000000e-03
0.85000000,1.1062990666e-02,5.00000000e-03
0.85500000,-4.7733388467e-03,5.00000000e-03
0.86000000,3.8421255434e-03,5.00000000e-03
0.86500000,8.5287802867e-03,5.00000000e-03
0.87000000,-2.8485456462e-03,5.00000000e-03
0.87500000,1.2327220771e-02,5.00000000e-03
0.88000000,1.6234627342e-03,5.00000000e-03
0.88500000,-2.4291333766e-03,5.00000000e-03
0.89000000,1.1682037582e-02,5.00000000e-03
0.89500000,-3.6800055023e-03,5.00000000e-03
0.90000000,-7.5445402448e-04,5.00000000e-03
0.90500000,3.2996142974e-03,5.00000000e-03
0.91000000,-5.7933642264e-03,5.00000000e-03
0.91500000,4.4771284012e-03,5.00000000e-03
0.92000000,-2.7003016732e-05,5.00000000e-03
0.92500000,-4.1652961151e-03,5.00000000e-03
0.93000000,4.0245568936e-03,5.00000000e-03
0.93500000,-3.8688969461e-04,5.00000000e-03
0.94000000,6.5408323307e-03,5.00000000e-03
0.94500000,5.8357755714e-03,5.00000000e-03
0.95000000,-4.3255880119e-03,5.00000000e-03
0.95500000,2.8665968389e-03,5.00000000e-03
0.96000000,1.1876818117e-03,5.00000000e-03
0.96500000,-9.5199008551e-06,5.00000000e-03
0.97000000,6.1183051266e-03,5.00000000e-03
0.97500000,-3.3557224958e-05,5.00000000e-03
0.98000000,3.3423869582e-03,5.00000000e-03
0.98500000,8.1029117241e-03,5.00000000e-03
0.99000000,4.1534272274e-03,5.00000000e-03
0.99500000,4.8984228131e-03,5.00000000e-03
1.00000000,4.2787953391e-03,5.00000000e-03
1.00500000,4.0678038964e-03,5.00000000e-03
1.01000000,7.8994864560e-03,5.00000000e-03
1.01500000,6.6302402963e-03,5.00000000e-03
1.02000000,2.8873681108e-03,5.00000000e-03
1.02500000,4.0771500894e-03,5.00000000e-03
1.03000000,7.3627862866e-03,5.00000000e-03
1.03500000,5.6334341333e-03,5.00000000e-03
1.04000000,6.3345602878e-03,5.00000000e-03
1.04500000,5.7831880026e-03,5.00000000e-03
1.05000000,-1.3357445536e-03,5.00000000e-03
1.05500000,4.9930043700e-03,5.00000000e-03
1.06000000,6.5425875373e-03,5.00000000e-03
1.06500000,2.7153185068e-03,5.00000000e-03
1.07000000,6.7022195935e-03,5.00000000e-03
1.07500000,4.5085435118e-04,5.00000000e-03
1.08000000,-4.9676933949e-04,5.00000000e-03
1.08500000,4.8201178734e-03,5.00000000e-03
1.09000000,-4.0711534918e-04,5.00000000e-03
1.09500000,1.2727886224e-03,5.00000000e-03
1.10000000,7.9467988799e-04,5.00000000e-03
1.10500000,-3.0353096622e-03,5.00000000e-03
1.11000000,4.5664506210e-03,5.00000000e-03
1.11500000,1.2512054916e-03,5.00000000e-03
1.12000000,-2.7972397024e-03,5.00000000e-03
1.12500000,2.5902904360e-03,5.00000000e-03
1.13000000,5.2564139455e-03,5.00000000e-03
1.13500000,7.6756299081e-03,5.00000000e-03
1.14000000,4.5670008900e-03,5.00000000e-03
1.14500000,1.7946859813e-04,5.00000000e-03
1.15000000,3.2900962630e-03,5.00000000e-03
1.15500000,7.5339951437e-03,5.00000000e-03
1.16000000,8.8266590440e-03,5.00000000e-03
1.16500000,6.8217286569e-03,5.00000000e-03
1.17000000,3.6659322046e-03,5.00000000e-03
1.17500000,5.6947377012e-03,5.00000000e-03
1.18000000,1.1996024397e-02,5.00000000e-03
1.18500000,1.1260390194e-02,5.00000000e-03
1.19000000,7.3466122376e-03,5.00000000e-03
1.19500000,8.2349382970e-03,5.00000000e-03
1.20000000,3.5490716021e-03,5.00000000e-03
1.20500000,4.0807831251e-03,5.00000000e-03
1.21000000,6.5153786697e-03,5.00000000e-03
1.21500000,-4.5146953719e-03,5.00000000e-03
1.22000000,-9.5311472012e-04,5.00000000e-03
1.22500000,5.2761616564e-03,5.00000000e-03
1.23000000,3.2864759744e-03,5.00000000e-03
1.23500000,9.1340625525e-03,5.00000000e-03
1.24000000,-3.0394608703e-04,5.00000000e-03
1.24500000,-3.1956749937e-03,5.00000000e-03
1.25000000,6.5578203616e-03,5.00000000e-03
1.25500000,1.0038347769e-03,5.00000000e-03
1.26000000,6.4505098536e-04,5.00000000e-03
1.26500000,7.8278043975e-04,5.00000000e-03
1.27000000,-4.9943130917e-03,5.00000000e-03
1.27500000,3.6999933352e-03,5.00000000e-03
1.28000000,3.9192265572e-03,5.00000000e-03
1.28500000,2.4623699429e-03,5.00000000e-03
1.29000000,5.0041976767e-03,5.00000000e-03
1.29500000,2.0350457246e-03,5.00000000e-03
1.30000000,8.9560406764e-03,5.00000000e-03
1.30500000,6.5685466068e-03,5.00000000e-03
1.31000000,-4.3303481320e-04,5.00000000e-03
1.31500000,2.8923661572e-03,5.00000000e-03
1.32000000,1.3364873867e-03,5.00000000e-03
1.32500000,6.0532309420e-03,5.00000000e-03
1.33000000,8.1179071515e-03,5.00000000e-03
1.33500000,2.9318020247e-03,5.00000000e-03
1.34000000,8.3555268037e-03,5.00000000e-03
1.34500000,8.2366026399e-03,5.00000000e-03
1.35000000,1.0894091495e-02,5.00000000e-03
1.35500000,1.2134119596e-02,5.00000000e-03
1.36000000,3.1892677071e-03,5.00000000e-03
1.36500000,2.9153493741e-03,5.00000000e-03
1.37000000,-1.3372909157e-03,5.00000000e-03
1.37500000,-2.1206306234e-03,5.00000000e-03
1.38000000,-1.1548782990e-03,5.00000000e-03
1.38500000,-5.2958244940e-03,5.00000000e-03
1.39000000,8.3848583197e-03,5.00000000e-03
1.39500000,1.0971455206e-02,5.00000000e-03
1.40000000,7.9931566927e-03,5.00000000e-03
1.40500000,9.7559252379e-03,5.00000000e-03
1.41000000,-1.6293110939e-03,5.00000000e-03
1.41500000,1.3174585797e-03,5.00000000e-03
1.42000000,4.3017978514e-03,5.00000000e-03
1.42500000,-4.2699288351e-03,5.00000000e-03
1.43000000,3.3035653353e-03,5.00000000e-03
1.43500000,-9.4555943823e-04,5.00000000e-03
1.44000000,-2.1907878939e-03,5.00000000e-03
1.44500000,1.0581729646e-02,5.00000000e-03
1.45000000,6.1375217745e-03,5.00000000e-03
1.45500000,1.0296273604e-02,5.00000000e-03
1.46000000,1.2266248173e-02,5.00000000e-03
1.46500000,2.2223755916e-03,5.00000000e-03
1.47000000,5.1996850459e-03,5.00000000e-03
1.47500000,-1.5386630272e-03,5.00000000e-03
1.48000000,-4.5660642280e-03,5.00000000e-03
1.48500000,3.3212821490e-03,5.00000000e-03
1.49000000,2.7112906853e-03,5.00000000e-03
1.49500000,4.9849757407e-03,5.00000000e-03
1.50000000,4.1864139829e-03,5.00000000e-03
1.50500000,1.7669850048e-03,5.00000000e-03
1.51000000,8.8442053523e-03,5.00000000e-03
1.51500000,5.1032044139e-03,5.00000000e-03
1.52000000,2.8257215887e-03,5.00000000e-03
1.52500000,-6.4538397615e-04,5.00000000e-03
1.53000000,-1.1448136368e-02,5.00000000e-03
1.53500000,-8.0672155031e-03,5.00000000e-03
1.54000000,-4.9610555662e-03,5.00000000e-03
1.54500000,-1.3854277144e-03,5.00000000e-03
1.55000000,7.5133497378e-03,5.00000000e-03
1.55500000,1.1177467491e-02,5.00000000e-03
1.56000000,1.2002215065e-02,5.00000000e-03
1.56500000,7.0689517243e-03,5.00000000e-03
1.57000000,3.3107730698e-03,5.00000000e-03
1.57500000,5.7372030686e-03,5.00000000e-03
1.58000000,4.4275177212e-03,5.00000000e-03
1.58500000,2.2609458989e-03,5.00000000e-03
1.59000000,2.1222936618e-03,5.00000000e-03
1.59500000,4.3358384456e-03,5.00000000e-03
1.60000000,8.6819361946e-03,5.00000000e-03
1.60500000,6.8716028027e-03,5.00000000e-03
1.61000000,1.1959904866e-02,5.00000000e-03
1.61500000,1.7468090537e-02,5.00000000e-03
1.62000000,1.3170062394e-02,5.00000000e-03
1.62500000,8.2226993950e-03,5.00000000e-03
1.63000000,-3.1528587222e-04,5.00000000e-03
1.63500000,-2.7847105322e-03,5.00000000e-03
1.64000000,1.1770677301e-03,5.00000000e-03
1.64500000,8.2379784831e-05,5.00000000e-03
1.65000000,4.3279135039e-03,5.00000000e-03
1.65500000,7.2035048988e-03,5.00000000e-03
1.66000000,-2.5007572434e-04,5.00000000e-03
1.66500000,-1.5696837060e-03,5.00000000e-03
1.67000000,2.4815796617e-03,5.00000000e-03
1.67500000,6.8190666155e-03,5.00000000e-03
1.68000000,6.2216353788e-03,5.00000000e-03
1.68500000,-9.3495718907e-04,5.00000000e-03
1.69000000,-5.0803037783e-03,5.00000000e-03
1.69500000,-8.6270703015e-03,5.00000000e-03
1.70000000,-1.0120186788e-02,5.00000000e-03
1.70500000,-7.9958544938e-03,5.00000000e-03
1.71000000,-2.2987026723e-03,5.00000000e-03
1.71500000,6.7902160552e-03,5.00000000e-03
1.72000000,9.5232182464e-03,5.00000000e-03
1.72500000,5.1100774395e-03,5.00000000e-03
1.73000000,2.0499723700e-03,5.00000000e-03
1.73500000,9.5310011127e-04,5.00000000e-03
1.74000000,1.5927044188e-03,5.00000000e-03
1.74500000,6.1397704593e-03,5.00000000e-03
1.75000000,9.9946512739e-03,5.00000000e-03
1.75500000,6.9679209964e-03,5.00000000e-03
1.76000000,-1.3774671824e-03,5.00000000e-03
1.76500000,-2.2127510686e-03,5.00000000e-03
1.77000000,6.4338128421e-03,5.00000000e-03
1.77500000,1.5284648589e-02,5.00000000e-03
1.78000000,1.6789969938e-02,5.00000000e-03
1.78500000,1.0546266171e-02,5.00000000e-03
1.79000000,6.3010360650e-03,5.00000000e-03
1.79500000,2.8993572165e-03,5.00000000e-03
1.80000000,-1.2532314253e-03,5.00000000e-03
1.80500000,1.7016318400e-04,5.00000000e-03
1.81000000,4.9079052302e-03,5.00000000e-03
1.81500000,8.4229914098e-03,5.00000000e-03
1.82000000,1.0196248061e-02,5.00000000e-03
1.82500000,3.1980497289e-03,5.00000000e-03
1.83000000,-4.5093597669e-03,5.00000000e-03
1.83500000,-4.7443161694e-03,5.00000000e-03
1.84000000,-1.2975516512e-03,5.00000000e-03
1.84500000,3.0826439000e-03,5.00000000e-03
1.85000000,3.7037770626e-03,5.00000000e-03
1.85500000,-2.0331182768e-03,5.00000000e-03
1.86000000,-9.0558546080e-03,5.00000000e-03
1.86500000,-1.0298628600e-02,5.00000000e-03
1.87000000,-4.3499121928e-03,5.00000000e-03
1.87500000,3.2198389173e-03,5.00000000e-03
1.88000000,8.4360475651e-03,5.00000000e-03
1.88500000,9.4819040291e-03,5.00000000e-03
1.89000000,6.3423647534e-03,5.00000000e-03
1.89500000,1.5677206056e-03,5.00000000e-03
1.90000000,-2.4045606727e-03,5.00000000e-03
1.90500000,-2.6102084948e-03,5.00000000e-03
1.91000000,4.5782411639e-03,5.00000000e-03
1.91500000,8.9745726531e-03,5.00000000e-03
1.92000000,7.4129030667e-03,5.00000000e-03
1.92500000,4.7077249942e-03,5.00000000e-03
1.93000000,4.4315144779e-03,5.00000000e-03
1.93500000,7.1484630259e-03,5.00000000e-03
1.94000000,1.0131462481e-02,5.00000000e-03
1.94500000,1.1625694620e-02,5.00000000e-03
1.95000000,1.0493078133e-02,5.00000000e-03
1.95500000,3.2189192346e-03,5.00000000e-03
