time_s,acc_m_s2
0.000000000000000000e+00,5.211110269602931477e-04
4.999999999999893419e-03,5.495193616825605780e-04
9.999999999999786837e-03,5.768093337805156639e-04
1.499999999999968026e-02,6.053791937368666835e-04
1.999999999999957367e-02,6.356953348421656366e-04
2.499999999999946709e-02,6.670241112148637096e-04
2.999999999999936051e-02,6.967296503780971793e-04
3.499999999999925393e-02,7.256842270772116211e-04
3.999999999999914735e-02,7.562229824717716601e-04
4.499999999999904077e-02,7.865399894061990589e-04
4.999999999999893419e-02,8.205931452333406484e-04
5.499999999999882760e-02,8.544809276969387093e-04
5.999999999999872102e-02,8.777597058490260208e-04
6.499999999999861444e-02,8.990602568489641094e-04
6.999999999999850786e-02,9.281515383471452890e-04
7.499999999999840128e-02,9.604758258111452916e-04
7.999999999999829470e-02,9.958930473286200548e-04
8.499999999999818812e-02,1.048065986547299950e-03
8.999999999999808153e-02,1.092122258702475299e-03
9.499999999999797495e-02,1.100377458426540257e-03
9.999999999999786837e-02,1.104862453312170211e-03
1.049999999999977618e-01,1.133886969764220281e-03
1.099999999999976552e-01,1.172011350356805129e-03
1.149999999999975486e-01,1.203997964460689967e-03
1.199999999999974420e-01,1.231342772403450081e-03
1.249999999999973355e-01,1.261700665713390160e-03
1.299999999999972289e-01,1.292072989508805201e-03
1.349999999999971223e-01,1.339446349258500155e-03
1.399999999999970157e-01,1.416073189163115191e-03
1.449999999999969091e-01,1.433832306621015155e-03
1.499999999999968026e-01,1.434658692422550183e-03
1.549999999999966960e-01,1.506698562010845089e-03
1.599999999999965894e-01,1.536055941661185155e-03
1.649999999999964828e-01,1.512698757871350349e-03
1.699999999999963762e-01,1.518143861057250034e-03
1.749999999999962697e-01,1.590546416847150304e-03
1.799999999999961631e-01,1.708771536214365215e-03
1.849999999999960565e-01,1.714197398752965312e-03
1.899999999999959499e-01,1.689227848719390083e-03
1.949999999999958433e-01,1.786080457065765013e-03
1.999999999999957367e-01,1.817629346443575076e-03
2.049999999999956302e-01,1.762716539049375124e-03
2.099999999999955236e-01,1.752462236070840163e-03
2.149999999999954170e-01,1.846505709911415265e-03
2.199999999999953104e-01,2.046507428433090147e-03
2.249999999999952038e-01,2.250824824144155491e-03
2.299999999999950973e-01,2.416501227882630019e-03
2.349999999999949907e-01,2.348040118692135136e-03
2.399999999999948841e-01,2.061573817301355204e-03
2.449999999999947775e-01,1.970408744296860571e-03
2.499999999999946709e-01,2.185319078378940728e-03
2.549999999999945643e-01,2.236676214152100075e-03
2.599999999999944578e-01,2.096671644073650354e-03
2.649999999999943512e-01,2.057087860383360455e-03
2.699999999999942446e-01,2.130997920889215504e-03
2.749999999999941380e-01,2.255704252299435119e-03
2.799999999999940314e-01,2.528679973835820400e-03
2.849999999999939249e-01,2.693770499864010272e-03
2.899999999999938183e-01,2.473186098893160201e-03
2.949999999999937117e-01,2.308236029590260332e-03
2.999999999999936051e-01,2.617888273009905120e-03
3.049999999999934985e-01,2.975992314460410189e-03
3.099999999999933920e-01,2.964164126532735279e-03
3.149999999999932854e-01,2.504794634277600351e-03
3.199999999999931788e-01,2.029001325487185276e-03
3.249999999999930722e-01,2.148355870850910277e-03
3.299999999999929656e-01,2.534792727483030101e-03
3.349999999999928590e-01,2.630706392241165346e-03
3.399999999999927525e-01,2.759467690069860452e-03
3.449999999999926459e-01,3.414352943928674645e-03
3.499999999999925393e-01,3.631409572217070107e-03
3.549999999999924327e-01,2.980890983262990054e-03
3.599999999999923261e-01,2.613275327819730535e-03
3.649999999999922196e-01,3.009768308763195038e-03
3.699999999999921130e-01,3.145571683503690062e-03
3.749999999999920064e-01,2.699027044706370226e-03
3.799999999999918998e-01,2.233561153354230583e-03
3.849999999999917932e-01,2.308801704620880389e-03
3.899999999999916866e-01,2.428896052873290214e-03
3.949999999999915801e-01,2.632714153786920239e-03
3.999999999999914735e-01,3.053729339714235727e-03
4.049999999999913669e-01,3.683443978775190024e-03
4.099999999999912603e-01,3.949557523452030226e-03
4.149999999999911537e-01,3.424201269249180658e-03
4.199999999999910472e-01,3.058988770653690500e-03
4.249999999999909406e-01,3.652140407650454959e-03
4.299999999999908340e-01,4.313992699896599878e-03
4.349999999999907274e-01,4.397022827222654522e-03
4.399999999999906208e-01,4.085074212547754741e-03
4.449999999999905143e-01,3.648810813635190199e-03
4.499999999999904077e-01,3.888706090268684908e-03
4.549999999999903011e-01,4.283166296824905510e-03
4.599999999999901945e-01,3.957193174333034462e-03
4.649999999999900879e-01,4.178193173285564901e-03
4.699999999999899813e-01,5.026838479681934417e-03
4.749999999999898748e-01,4.453586482155194939e-03
4.799999999999897682e-01,3.435598466677335441e-03
4.849999999999896616e-01,3.922316615004689880e-03
4.899999999999895550e-01,4.903815704910465673e-03
4.949999999999894484e-01,4.905852327427170055e-03
4.999999999999893419e-01,3.872858531120040599e-03
5.049999999999892353e-01,3.624055796819010238e-03
5.099999999999891287e-01,5.129867335811610050e-03
5.149999999999890221e-01,5.686210652491109456e-03
5.199999999999889155e-01,4.246382989349130332e-03
5.249999999999888090e-01,3.365586561314460462e-03
5.299999999999887024e-01,4.376434372579289696e-03
5.349999999999885958e-01,5.514086707842404990e-03
5.399999999999884892e-01,5.304503146965330006e-03
5.449999999999883826e-01,4.355095532691225131e-03
5.499999999999882760e-01,4.306801507968225501e-03
5.549999999999881695e-01,4.278864088088625214e-03
5.599999999999880629e-01,3.808221500580420086e-03
5.649999999999879563e-01,3.578825845178535553e-03
5.699999999999878497e-01,3.734195034158400116e-03
5.749999999999877431e-01,3.601768393019055218e-03
5.799999999999876366e-01,2.850632763074355518e-03
5.849999999999875300e-01,3.287269430544540339e-03
5.899999999999874234e-01,5.169452081534264311e-03
5.949999999999873168e-01,6.304896552519704406e-03
5.999999999999872102e-01,6.164528334207285826e-03
6.049999999999871036e-01,5.550792090696614854e-03
6.099999999999869971e-01,4.833371847015705339e-03
6.149999999999868905e-01,5.215612318471694875e-03
6.199999999999867839e-01,6.149589895643564966e-03
6.249999999999866773e-01,6.128470399134719644e-03
6.299999999999865707e-01,4.756289003770080084e-03
6.349999999999864642e-01,4.063413091817414877e-03
6.399999999999863576e-01,5.040167438099009238e-03
6.449999999999862510e-01,5.152602084661290181e-03
6.499999999999861444e-01,4.530597172973444518e-03
6.549999999999860378e-01,5.389528529416395472e-03
6.599999999999859313e-01,6.362417429655419301e-03
6.649999999999858247e-01,5.314000330472609494e-03
6.699999999999857181e-01,4.270382810758785279e-03
6.749999999999856115e-01,5.489134474391399975e-03
6.799999999999855049e-01,6.684783892810903898e-03
6.849999999999853983e-01,5.467851432380504799e-03
6.899999999999852918e-01,4.317308825458754905e-03
6.949999999999851852e-01,5.262658587217290337e-03
6.999999999999850786e-01,5.516826576017925046e-03
7.049999999999849720e-01,4.505507368894244753e-03
7.099999999999848654e-01,4.366349387296995094e-03
7.149999999999847589e-01,6.103996295769120554e-03
7.199999999999846523e-01,7.114688257790820029e-03
7.249999999999845457e-01,6.022239899294324315e-03
7.299999999999844391e-01,5.901083467310955233e-03
7.349999999999843325e-01,6.770239303729125128e-03
7.399999999999842260e-01,5.376955728438209160e-03
7.449999999999841194e-01,3.172219017981825224e-03
7.499999999999840128e-01,4.379650446775484353e-03
7.549999999999839062e-01,5.818712332154924415e-03
7.599999999999837996e-01,5.076234993495225105e-03
7.649999999999836930e-01,4.645878473303759887e-03
7.699999999999835865e-01,6.374176351252815523e-03
7.749999999999834799e-01,8.053004600928838699e-03
7.799999999999833733e-01,8.088784508647920563e-03
7.849999999999832667e-01,7.623136793178795188e-03
7.899999999999831601e-01,7.596179684279129665e-03
7.949999999999830536e-01,7.830517299940019382e-03
7.999999999999829470e-01,7.866769565550315799e-03
8.049999999999828404e-01,7.894312552160264243e-03
8.099999999999827338e-01,6.982554074490434845e-03
8.149999999999826272e-01,3.999259001525024698e-03
8.199999999999825206e-01,2.926978689528390333e-03
8.249999999999824141e-01,4.360225089261405250e-03
8.299999999999823075e-01,5.213337111928469277e-03
8.349999999999822009e-01,5.372761267326810197e-03
8.399999999999820943e-01,6.883118409244035063e-03
8.449999999999819877e-01,8.496921929337344220e-03
