time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,7.8553785225e-07,5.00000000e-03
0.01000000,1.6082806898e-06,5.00000000e-03
0.01500000,2.4695557422e-06,5.00000000e-03
0.02000000,3.3740827398e-06,5.00000000e-03
0.02500000,4.4159877417e-06,5.00000000e-03
0.03000000,7.2437292521e-06,5.00000000e-03
0.03500000,2.7023803888e-05,5.00000000e-03
0.04000000,1.3778201960e-04,5.00000000e-03
0.04500000,4.9064404218e-04,5.00000000e-03
0.05000000,9.0927311273e-04,5.00000000e-03
0.05500000,7.1217969415e-04,5.00000000e-03
0.06000000,3.1368753416e-04,5.00000000e-03
0.06500000,6.8887057534e-04,5.00000000e-03
0.07000000,9.1282974118e-04,5.00000000e-03
0.07500000,5.5771140872e-04,5.00000000e-03
0.08000000,7.5516464904e-04,5.00000000e-03
0.08500000,9.3643660657e-04,5.00000000e-03
0.09000000,6.6703982421e-04,5.00000000e-03
0.09500000,9.0413964544e-04,5.00000000e-03
0.10000000,9.6474510652e-04,5.00000000e-03
0.10500000,7.3885350408e-04,5.00000000e-03
0.11000000,1.0348917266e-03,5.00000000e-03
0.11500000,9.1498581549e-04,5.00000000e-03
0.12000000,6.9846841471e-04,5.00000000e-03
0.12500000,8.4104919809e-04,5.00000000e-03
0.13000000,3.6652585459e-04,5.00000000e-03
0.13500000,2.0858339085e-04,5.00000000e-03
0.14000000,4.3247137604e-04,5.00000000e-03
0.14500000,4.5553347761e-04,5.00000000e-03
0.15000000,1.0070525208e-03,5.00000000e-03
0.15500000,5.3241948878e-04,5.00000000e-03
0.16000000,-2.1555944593e-04,5.00000000e-03
0.16500000,6.5750460596e-04,5.00000000e-03
0.17000000,9.3524718667e-04,5.00000000e-03
0.17500000,6.2676928832e-04,5.00000000e-03
0.18000000,-4.4222266825e-05,5.00000000e-03
0.18500000,1.7016213929e-04,5.00000000e-03
0.19000000,2.0705777671e-03,5.00000000e-03
0.19500000,-2.0936042461e-04,5.00000000e-03
0.20000000,-6.3132193489e-04,5.00000000e-03
0.20500000,3.1310661940e-03,5.00000000e-03
0.21000000,1.4454931535e-04,5.00000000e-03
0.21500000,-1.8046591523e-04,5.00000000e-03
0.22000000,3.5057531523e-03,5.00000000e-03
0.22500000,6.7414354449e-04,5.00000000e-03
0.23000000,-4.8847824595e-05,5.00000000e-03
0.23500000,2.2266348282e-03,5.00000000e-03
0.24000000,1.3182573101e-03,5.00000000e-03
0.24500000,4.8953684932e-04,5.00000000e-03
0.25000000,2.5347345687e-03,5.00000000e-03
0.25500000,1.9450006462e-03,5.00000000e-03
0.26000000,-1.2882006579e-03,5.00000000e-03
0.26500000,4.0505570264e-03,5.00000000e-03
0.27000000,3.5066988862e-03,5.00000000e-03
0.27500000,-1.9134746742e-03,5.00000000e-03
0.28000000,4.2549606980e-03,5.00000000e-03
0.28500000,9.1536006854e-04,5.00000000e-03
0.29000000,-1.0901621821e-03,5.00000000e-03
0.29500000,5.0088679628e-03,5.00000000e-03
0.30000000,-3.6701499091e-03,5.00000000e-03
0.30500000,1.7911030124e-03,5.00000000e-03
0.31000000,4.7522598863e-03,5.00000000e-03
0.31500000,-5.3050737003e-03,5.00000000e-03
0.32000000,5.3039051500e-03,5.00000000e-03
0.32500000,4.1101616374e-03,5.00000000e-03
0.33000000,-4.5001297141e-03,5.00000000e-03
0.33500000,4.5603891557e-03,5.00000000e-03
0.34000000,1.4129883419e-03,5.00000000e-03
0.34500000,-3.5569861862e-04,5.00000000e-03
0.35000000,2.9215362641e-03,5.00000000e-03
0.35500000,-1.7572001874e-03,5.00000000e-03
0.36000000,2.6557583142e-03,5.00000000e-03
0.36500000,8.5039824316e-04,5.00000000e-03
0.37000000,-5.9726968275e-04,5.00000000e-03
0.37500000,5.5432772403e-03,5.00000000e-03
0.38000000,-2.3901282995e-03,5.00000000e-03
0.38500000,4.1653551062e-03,5.00000000e-03
0.39000000,6.7198265661e-03,5.00000000e-03
0.39500000,-4.4161385761e-03,5.00000000e-03
0.40000000,5.3834372090e-03,5.00000000e-03
0.40500000,3.3891448643e-03,5.00000000e-03
0.41000000,-3.0407417719e-03,5.00000000e-03
0.41500000,6.1855746157e-03,5.00000000e-03
0.42000000,6.7647909965e-04,5.00000000e-03
0.42500000,-1.7778310593e-03,5.00000000e-03
0.43000000,4.7094293027e-03,5.00000000e-03
0.43500000,-7.7008420893e-04,5.00000000e-03
0.44000000,2.1447160635e-03,5.00000000e-03
0.44500000,6.1010524649e-03,5.00000000e-03
0.45000000,-1.4741230488e-03,5.00000000e-03
0.45500000,1.5687547689e-03,5.00000000e-03
0.46000000,4.8166256721e-03,5.00000000e-03
0.46500000,-2.2456607331e-03,5.00000000e-03
0.47000000,1.2457844789e-03,5.00000000e-03
0.47500000,5.4476846602e-03,5.00000000e-03
0.48000000,-9.5092149283e-04,5.00000000e-03
0.48500000,2.5993533896e-03,5.00000000e-03
0.49000000,5.5003066656e-03,5.00000000e-03
0.49500000,-1.5408546197e-03,5.00000000e-03
0.50000000,3.3147566999e-03,5.00000000e-03
0.50500000,5.7132866376e-03,5.00000000e-03
0.51000000,-6.5695280227e-06,5.00000000e-03
0.51500000,3.9549066352e-03,5.00000000e-03
0.52000000,3.5151313597e-03,5.00000000e-03
0.52500000,-1.1316091600e-03,5.00000000e-03
0.53000000,2.6118317700e-03,5.00000000e-03
0.53500000,3.5188938783e-03,5.00000000e-03
0.54000000,2.7177874362e-03,5.00000000e-03
0.54500000,2.6941136741e-03,5.00000000e-03
0.55000000,2.1804001608e-03,5.00000000e-03
0.55500000,4.3613368136e-03,5.00000000e-03
0.56000000,2.7437435483e-03,5.00000000e-03
0.56500000,-3.7960079492e-04,5.00000000e-03
0.57000000,2.1776737899e-03,5.00000000e-03
0.57500000,3.4186121260e-03,5.00000000e-03
0.58000000,2.2466525552e-03,5.00000000e-03
0.58500000,1.9910280715e-03,5.00000000e-03
0.59000000,6.7434719637e-04,5.00000000e-03
0.59500000,7.6312446158e-04,5.00000000e-03
0.60000000,2.8658365733e-03,5.00000000e-03
0.60500000,6.8091502117e-04,5.00000000e-03
0.61000000,2.3130126853e-03,5.00000000e-03
0.61500000,3.6898368578e-03,5.00000000e-03
0.62000000,-4.0553618836e-03,5.00000000e-03
0.62500000,3.9564927073e-03,5.00000000e-03
0.63000000,3.5094682433e-03,5.00000000e-03
0.63500000,-1.4151991073e-03,5.00000000e-03
0.64000000,1.0922224815e-02,5.00000000e-03
0.64500000,-9.5834054516e-04,5.00000000e-03
0.65000000,-1.0395952355e-03,5.00000000e-03
0.65500000,1.2983645099e-02,5.00000000e-03
0.66000000,-3.9011510628e-03,5.00000000e-03
0.66500000,2.8444819977e-03,5.00000000e-03
0.67000000,9.9783463628e-03,5.00000000e-03
0.67500000,-3.6905485260e-03,5.00000000e-03
0.68000000,7.7715820123e-03,5.00000000e-03
0.68500000,4.4326641223e-03,5.00000000e-03
0.69000000,-1.8767509167e-03,5.00000000e-03
0.69500000,9.9346497581e-03,5.00000000e-03
0.70000000,9.3782735016e-04,5.00000000e-03
0.70500000,3.3828333138e-03,5.00000000e-03
0.71000000,7.5149387046e-03,5.00000000e-03
0.71500000,-2.6879910985e-03,5.00000000e-03
0.72000000,5.0449073737e-03,5.00000000e-03
0.72500000,2.2911876906e-03,5.00000000e-03
0.73000000,-9.7176522976e-04,5.00000000e-03
0.73500000,5.3477322101e-03,5.00000000e-03
0.74000000,-1.4864388510e-03,5.00000000e-03
0.74500000,2.5954850864e-03,5.00000000e-03
0.75000000,3.2834721260e-03,5.00000000e-03
0.75500000,-5.4089213446e-04,5.00000000e-03
0.76000000,7.4082071809e-03,5.00000000e-03
0.76500000,-2.8953499813e-04,5.00000000e-03
0.77000000,2.2586659256e-03,5.00000000e-03
0.77500000,5.8858355844e-03,5.00000000e-03
0.78000000,-3.8102721420e-03,5.00000000e-03
0.78500000,2.1972380001e-03,5.00000000e-03
0.79000000,6.0246517630e-04,5.00000000e-03
0.79500000,1.4771925162e-04,5.00000000e-03
0.80000000,6.6360968272e-03,5.00000000e-03
0.80500000,1.4095683349e-03,5.00000000e-03
0.81000000,7.1419167497e-03,5.00000000e-03
0.81500000,4.7331690378e-03,5.00000000e-03
0.82000000,5.3795058527e-03,5.00000000e-03
0.82500000,1.0287068096e-02,5.00000000e-03
0.83000000,-6.4307407150e-04,5.00000000e-03
0.83500000,9.9098461749e-03,5.00000000e-03
0.84000000,6.6393481117e-03,5.00000000e-03
0.84500000,-1.7873240648e-03,5.00000000e-03
0.85000000,1.0939901261e-02,5.00000000e-03
0.85500000,-2.8095591978e-03,5.00000000e-03
0.86000000,2.4701347207e-04,5.00000000e-03
0.86500000,9.6847179782e-03,5.00000000e-03
0.87000000,-2.7130953954e-03,5.00000000e-03
0.87500000,1.0392510280e-02,5.00000000e-03
0.88000000,4.7989964481e-03,5.00000000e-03
0.88500000,-3.8328520573e-03,5.00000000e-03
0.89000000,1.2169655742e-02,5.00000000e-03
0.89500000,-2.1727235987e-03,5.00000000e-03
0.90000000,-3.7467999607e-03,5.00000000e-03
0.90500000,5.1874026783e-03,5.00000000e-03
0.91000000,-6.3489945015e-03,5.00000000e-03
0.91500000,3.5456686753e-03,5.00000000e-03
0.92000000,2.6429959608e-03,5.00000000e-03
0.92500000,-6.2064779114e-03,5.00000000e-03
0.93000000,4.7480933381e-03,5.00000000e-03
0.93500000,8.3129066012e-04,5.00000000e-03
0.94000000,3.9439149639e-03,5.00000000e-03
0.94500000,7.0672638979e-03,5.00000000e-03
0.95000000,-4.5561846334e-03,5.00000000e-03
0.95500000,2.3412071394e-03,5.00000000e-03
0.96000000,1.9636168466e-03,5.00000000e-03
0.96500000,-3.3380769941e-04,5.00000000e-03
0.97000000,6.5354331547e-03,5.00000000e-03
0.97500000,-3.4224947795e-04,5.00000000e-03
0.98000000,3.3733501413e-03,5.00000000e-03
0.98500000,8.2390768919e-03,5.00000000e-03
0.99000000,3.4683759472e-03,5.00000000e-03
0.99500000,5.9690273426e-03,5.00000000e-03
1.00000000,3.9415874290e-03,5.00000000e-03
1.00500000,3.4052888540e-03,5.00000000e-03
1.01000000,8.7630494074e-03,5.00000000e-03
1.01500000,5.7229968552e-03,5.00000000e-03
1.02000000,3.5044463425e-03,5.00000000e-03
1.02500000,4.2833798062e-03,5.00000000e-03
1.03000000,6.5132745184e-03,5.00000000e-03
1.03500000,6.6601229350e-03,5.00000000e-03
1.04000000,5.9458180126e-03,5.00000000e-03
1.04500000,5.2710945768e-03,5.00000000e-03
1.05000000,-7.1459374494e-04,5.00000000e-03
1.05500000,4.0321792456e-03,5.00000000e-03
1.06000000,6.5114279929e-03,5.00000000e-03
1.06500000,2.6233380136e-03,5.00000000e-03
1.07000000,6.6351008566e-03,5.00000000e-03
1.07500000,8.6873560157e-04,5.00000000e-03
1.08000000,-1.3417136293e-03,5.00000000e-03
1.08500000,5.6432729048e-03,5.00000000e-03
1.09000000,-6.3162308526e-04,5.00000000e-03
1.09500000,7.7246245750e-04,5.00000000e-03
1.10000000,1.5886090458e-03,5.00000000e-03
1.10500000,-3.8990844012e-03,5.00000000e-03
1.11000000,4.9305510835e-03,5.00000000e-03
1.11500000,1.7391451889e-03,5.00000000e-03
1.12000000,-3.2125680993e-03,5.00000000e-03
1.12500000,2.7712395204e-03,5.00000000e-03
1.13000000,4.9410916126e-03,5.00000000e-03
1.13500000,8.1055384102e-03,5.00000000e-03
1.14000000,4.3891976315e-03,5.00000000e-03
1.14500000,1.2598493117e-04,5.00000000e-03
1.15000000,3.6279689036e-03,5.00000000e-03
1.15500000,7.0149108699e-03,5.00000000e-03
1.16000000,9.5641777390e-03,5.00000000e-03
1.16500000,6.2170967953e-03,5.00000000e-03
1.17000000,3.6060024754e-03,5.00000000e-03
1.17500000,7.2645316451e-03,5.00000000e-03
1.18000000,1.0075956631e-02,5.00000000e-03
1.18500000,1.1897842174e-02,5.00000000e-03
1.19000000,8.4027857062e-03,5.00000000e-03
1.19500000,6.0773913808e-03,5.00000000e-03
1.20000000,5.6272942983e-03,5.00000000e-03
1.20500000,3.7021055376e-03,5.00000000e-03
1.21000000,5.7130904377e-03,5.00000000e-03
1.21500000,-2.5281630880e-03,5.00000000e-03
1.22000000,-3.0866991672e-03,5.00000000e-03
1.22500000,6.2245315128e-03,5.00000000e-03
1.23000000,3.8106139574e-03,5.00000000e-03
1.23500000,7.5143017895e-03,5.00000000e-03
1.24000000,2.0956867723e-03,5.00000000e-03
1.24500000,-4.7831562280e-03,5.00000000e-03
1.25000000,7.0416093952e-03,5.00000000e-03
1.25500000,2.4680607285e-03,5.00000000e-03
1.26000000,-8.4527969644e-04,5.00000000e-03
1.26500000,1.7413360731e-03,5.00000000e-03
1.27000000,-5.4093641358e-03,5.00000000e-03
1.27500000,2.8925288078e-03,5.00000000e-03
1.28000000,5.4903024738e-03,5.00000000e-03
1.28500000,1.0842330327e-03,5.00000000e-03
1.29000000,6.3159456163e-03,5.00000000e-03
1.29500000,2.1986681344e-03,5.00000000e-03
1.30000000,7.0477496854e-03,5.00000000e-03
1.30500000,8.7952203224e-03,5.00000000e-03
1.31000000,-1.7071768992e-03,5.00000000e-03
1.31500000,2.5020817398e-03,5.00000000e-03
1.32000000,2.6444314394e-03,5.00000000e-03
1.32500000,4.5613063268e-03,5.00000000e-03
1.33000000,8.8471241690e-03,5.00000000e-03
1.33500000,2.0033041705e-03,5.00000000e-03
1.34000000,8.5741634542e-03,5.00000000e-03
1.34500000,9.4304180170e-03,5.00000000e-03
1.35000000,8.5170936498e-03,5.00000000e-03
1.35500000,1.3843039318e-02,5.00000000e-03
1.36000000,2.2670452441e-03,5.00000000e-03
1.36500000,1.4403773418e-03,5.00000000e-03
1.37000000,1.7372490900e-03,5.00000000e-03
1.37500000,-4.6826991482e-03,5.00000000e-03
1.38000000,-7.0548165492e-04,5.00000000e-03
1.38500000,-3.6809039321e-03,5.00000000e-03
1.39000000,5.1087775460e-03,5.00000000e-03
1.39500000,1.3484740022e-02,5.00000000e-03
1.40000000,6.5883797558e-03,5.00000000e-03
1.40500000,8.4714142864e-03,5.00000000e-03
1.41000000,6.4168130954e-04,5.00000000e-03
1.41500000,-1.4320474969e-03,5.00000000e-03
1.42000000,5.4573833075e-03,5.00000000e-03
1.42500000,-3.5991752592e-03,5.00000000e-03
1.43000000,6.5703666510e-04,5.00000000e-03
1.43500000,1.7805339280e-03,5.00000000e-03
1.44000000,-2.9434456223e-03,5.00000000e-03
1.44500000,1.0690207928e-02,5.00000000e-03
1.45000000,7.6999522713e-03,5.00000000e-03
1.45500000,7.9531844523e-03,5.00000000e-03
1.46000000,1.3423960518e-02,5.00000000e-03
1.46500000,1.5547982708e-03,5.00000000e-03
1.47000000,4.1013518800e-03,5.00000000e-03
1.47500000,8.9832282947e-04,5.00000000e-03
1.48000000,-6.2911514942e-03,5.00000000e-03
1.48500000,4.1055681580e-03,5.00000000e-03
1.49000000,3.2478284325e-03,5.00000000e-03
1.49500000,3.3250923995e-03,5.00000000e-03
1.50000000,5.3091804378e-03,5.00000000e-03
1.50500000,1.3007361343e-03,5.00000000e-03
1.51000000,8.3151903854e-03,5.00000000e-03
1.51500000,6.2220938930e-03,5.00000000e-03
1.52000000,1.6916235986e-03,5.00000000e-03
1.52500000,4.5063682110e-04,5.00000000e-03
1.53000000,-1.2044181581e-02,5.00000000e-03
1.53500000,-8.7264370382e-03,5.00000000e-03
1.54000000,-3.9198841720e-03,5.00000000e-03
1.54500000,-2.6405157014e-03,5.00000000e-03
1.55000000,8.3814546293e-03,5.00000000e-03
1.55500000,1.0601577513e-02,5.00000000e-03
1.56000000,1.1915261839e-02,5.00000000e-03
1.56500000,8.3942496360e-03,5.00000000e-03
1.57000000,1.8184921736e-03,5.00000000e-03
1.57500000,6.9046757841e-03,5.00000000e-03
1.58000000,4.6671182615e-03,5.00000000e-03
1.58500000,1.0366265892e-03,5.00000000e-03
1.59000000,3.7533203122e-03,5.00000000e-03
1.59500000,3.6237706455e-03,5.00000000e-03
1.60000000,8.4847481469e-03,5.00000000e-03
1.60500000,8.4197297385e-03,5.00000000e-03
1.61000000,1.0142730333e-02,5.00000000e-03
1.61500000,1.8278385955e-02,5.00000000e-03
1.62000000,1.3490406750e-02,5.00000000e-03
1.62500000,7.5278928328e-03,5.00000000e-03
1.63000000,2.9295450501e-04,5.00000000e-03
1.63500000,-3.3458348011e-03,5.00000000e-03
1.64000000,1.4285592539e-03,5.00000000e-03
1.64500000,4.5658802986e-04,5.00000000e-03
1.65000000,3.4064385748e-03,5.00000000e-03
1.65500000,7.7930428839e-03,5.00000000e-03
1.66000000,-6.5493133039e-04,5.00000000e-03
1.66500000,-1.5847356061e-03,5.00000000e-03
1.67000000,2.9301289889e-03,5.00000000e-03
1.67500000,6.1445702851e-03,5.00000000e-03
1.68000000,6.8263465938e-03,5.00000000e-03
1.68500000,-1.4009903682e-03,5.00000000e-03
1.69000000,-5.3080289876e-03,5.00000000e-03
1.69500000,-8.1086799217e-03,5.00000000e-03
1.70000000,-1.0703539379e-02,5.00000000e-03
1.70500000,-7.7484679715e-03,5.00000000e-03
1.71000000,-2.2536125141e-03,5.00000000e-03
1.71500000,6.6194074999e-03,5.00000000e-03
1.72000000,9.7983826148e-03,5.00000000e-03
1.72500000,4.7324909619e-03,5.00000000e-03
1.73000000,2.2820803738e-03,5.00000000e-03
1.73500000,7.7066793583e-04,5.00000000e-03
1.74000000,1.5499800287e-03,5.00000000e-03
1.74500000,6.6822849832e-03,5.00000000e-03
1.75000000,9.1575065530e-03,5.00000000e-03
1.75500000,7.4137130240e-03,5.00000000e-03
1.76000000,-1.3001757190e-03,5.00000000e-03
1.76500000,-2.8395416420e-03,5.00000000e-03
1.77000000,7.3165545831e-03,5.00000000e-03
1.77500000,1.4862018254e-02,5.00000000e-03
1.78000000,1.6665035707e-02,5.00000000e-03
1.78500000,1.1229693100e-02,5.00000000e-03
1.79000000,5.6575458348e-03,5.00000000e-03
1.79500000,3.0984866038e-03,5.00000000e-03
1.80000000,-1.1596981066e-03,5.00000000e-03
1.80500000,-2.0000866909e-04,5.00000000e-03
1.81000000,5.3539793212e-03,5.00000000e-03
1.81500000,8.2919614989e-03,5.00000000e-03
1.82000000,1.0113164785e-02,5.00000000e-03
1.82500000,3.1986042431e-03,5.00000000e-03
1.83000000,-4.6344828882e-03,5.00000000e-03
1.83500000,-4.5325877477e-03,5.00000000e-03
1.84000000,-1.4738619109e-03,5.00000000e-03
1.84500000,3.1360939386e-03,5.00000000e-03
1.85000000,3.7392464059e-03,5.00000000e-03
1.85500000,-2.4057185939e-03,5.00000000e-03
1.86000000,-8.7474584484e-03,5.00000000e-03
1.86500000,-1.0415201133e-02,5.00000000e-03
1.87000000,-4.4891427090e-03,5.00000000e-03
1.87500000,3.5161760771e-03,5.00000000e-03
1.88000000,8.3258945292e-03,5.00000000e-03
1.88500000,9.5804989864e-03,5.00000000e-03
1.89000000,6.3462865775e-03,5.00000000e-03
1.89500000,1.4256394637e-03,5.00000000e-03
1.90000000,-2.3460753218e-03,5.00000000e-03
1.90500000,-2.6188212390e-03,5.00000000e-03
1.91000000,4.8164824269e-03,5.00000000e-03
1.91500000,8.8415723157e-03,5.00000000e-03
1.92000000,7.3107381423e-03,5.00000000e-03
1.92500000,4.9357143321e-03,5.00000000e-03
1.93000000,4.3111750024e-03,5.00000000e-03
1.93500000,7.3955808547e-03,5.00000000e-03
1.94000000,1.0276720328e-02,5.00000000e-03
1.94500000,1.1347002936e-02,5.00000000e-03
1.95000000,1.0777001801e-02,5.00000000e-03
1.95500000,3.0171764945e-03,5.00000000e-03
