time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,7.8553785225e-07,5.00000000e-03
0.01000000,1.6082806898e-06,5.00000000e-03
0.01500000,2.4695557323e-06,5.00000000e-03
0.02000000,3.3740826803e-06,5.00000000e-03
0.02500000,4.4159863970e-06,5.00000000e-03
0.03000000,7.2437074398e-06,5.00000000e-03
0.03500000,2.7023591692e-05,5.00000000e-03
0.04000000,1.3778062245e-04,5.00000000e-03
0.04500000,4.9063812839e-04,5.00000000e-03
0.05000000,9.0926284732e-04,5.00000000e-03
0.05500000,7.1217701171e-04,5.00000000e-03
0.06000000,3.1368575557e-04,5.00000000e-03
0.06500000,6.8885175609e-04,5.00000000e-03
0.07000000,9.1282004587e-04,5.00000000e-03
0.07500000,5.5771478547e-04,5.00000000e-03
0.08000000,7.5514537521e-04,5.00000000e-03
0.08500000,9.3642571191e-04,5.00000000e-03
0.09000000,6.6704805296e-04,5.00000000e-03
0.09500000,9.0411755873e-04,5.00000000e-03
0.10000000,9.6473824592e-04,5.00000000e-03
0.10500000,7.3886949408e-04,5.00000000e-03
0.11000000,1.0348644192e-03,5.00000000e-03
0.11500000,9.1498989848e-04,5.00000000e-03
0.12000000,6.9850479471e-04,5.00000000e-03
0.12500000,8.4106785796e-04,5.00000000e-03
0.13000000,3.6661490652e-04,5.00000000e-03
0.13500000,2.0862705943e-04,5.00000000e-03
0.14000000,4.3241087812e-04,5.00000000e-03
0.14500000,4.5555128240e-04,5.00000000e-03
0.15000000,1.0070454150e-03,5.00000000e-03
0.15500000,5.3246249631e-04,5.00000000e-03
0.16000000,-2.1543397881e-04,5.00000000e-03
0.16500000,6.5735412596e-04,5.00000000e-03
0.17000000,9.3522643599e-04,5.00000000e-03
0.17500000,6.2695818537e-04,5.00000000e-03
0.18000000,-4.4331836321e-05,5.00000000e-03
0.18500000,1.7014050025e-04,5.00000000e-03
0.19000000,2.0706087654e-03,5.00000000e-03
0.19500000,-2.0936488100e-04,5.00000000e-03
0.20000000,-6.3128126997e-04,5.00000000e-03
0.20500000,3.1307868159e-03,5.00000000e-03
0.21000000,1.4478017186e-04,5.00000000e-03
0.21500000,-1.8054387789e-04,5.00000000e-03
0.22000000,3.5053462206e-03,5.00000000e-03
0.22500000,6.7480004125e-04,5.00000000e-03
0.23000000,-4.8959776007e-05,5.00000000e-03
0.23500000,2.2261979137e-03,5.00000000e-03
0.24000000,1.3188327070e-03,5.00000000e-03
0.24500000,4.8898328181e-04,5.00000000e-03
0.25000000,2.5345973541e-03,5.00000000e-03
0.25500000,1.9459006887e-03,5.00000000e-03
0.26000000,-1.2889845333e-03,5.00000000e-03
0.26500000,4.0505378098e-03,5.00000000e-03
0.27000000,3.5071420045e-03,5.00000000e-03
0.27500000,-1.9138189136e-03,5.00000000e-03
0.28000000,4.2552900884e-03,5.00000000e-03
0.28500000,9.1532584163e-04,5.00000000e-03
0.29000000,-1.0903864559e-03,5.00000000e-03
0.29500000,5.0095390683e-03,5.00000000e-03
0.30000000,-3.6701189798e-03,5.00000000e-03
0.30500000,1.7904908951e-03,5.00000000e-03
0.31000000,4.7529888222e-03,5.00000000e-03
0.31500000,-5.3049848081e-03,5.00000000e-03
0.32000000,5.3027895493e-03,5.00000000e-03
0.32500000,4.1113801659e-03,5.00000000e-03
0.33000000,-4.4997483090e-03,5.00000000e-03
0.33500000,4.5590625262e-03,5.00000000e-03
0.34000000,1.4137998651e-03,5.00000000e-03
0.34500000,-3.5538926534e-04,5.00000000e-03
0.35000000,2.9211205853e-03,5.00000000e-03
0.35500000,-1.7566051900e-03,5.00000000e-03
0.36000000,2.6551697424e-03,5.00000000e-03
0.36500000,8.5029845445e-04,5.00000000e-03
0.37000000,-5.9731552557e-04,5.00000000e-03
0.37500000,5.5432014445e-03,5.00000000e-03
0.38000000,-2.3899545602e-03,5.00000000e-03
0.38500000,4.1636963091e-03,5.00000000e-03
0.39000000,6.7206835548e-03,5.00000000e-03
0.39500000,-4.4157153026e-03,5.00000000e-03
0.40000000,5.3816729621e-03,5.00000000e-03
0.40500000,3.3906606457e-03,5.00000000e-03
0.41000000,-3.0410143754e-03,5.00000000e-03
0.41500000,6.1842795624e-03,5.00000000e-03
0.42000000,6.7855794427e-04,5.00000000e-03
0.42500000,-1.7784050573e-03,5.00000000e-03
0.43000000,4.7094290660e-03,5.00000000e-03
0.43500000,-7.6899235355e-04,5.00000000e-03
0.44000000,2.1421398779e-03,5.00000000e-03
0.44500000,6.1027694902e-03,5.00000000e-03
0.45000000,-1.4730373649e-03,5.00000000e-03
0.45500000,1.5663943121e-03,5.00000000e-03
0.46000000,4.8186086523e-03,5.00000000e-03
0.46500000,-2.2449493284e-03,5.00000000e-03
0.47000000,1.2437823800e-03,5.00000000e-03
0.47500000,5.4493133432e-03,5.00000000e-03
0.48000000,-9.5142654589e-04,5.00000000e-03
0.48500000,2.5975689841e-03,5.00000000e-03
0.49000000,5.5020606546e-03,5.00000000e-03
0.49500000,-1.5409153688e-03,5.00000000e-03
0.50000000,3.3134807688e-03,5.00000000e-03
0.50500000,5.7136753600e-03,5.00000000e-03
0.51000000,-6.3555172012e-06,5.00000000e-03
0.51500000,3.9545154288e-03,5.00000000e-03
0.52000000,3.5152053408e-03,5.00000000e-03
0.52500000,-1.1304428670e-03,5.00000000e-03
0.53000000,2.6105638587e-03,5.00000000e-03
0.53500000,3.5176636606e-03,5.00000000e-03
0.54000000,2.7187449641e-03,5.00000000e-03
0.54500000,2.6934448923e-03,5.00000000e-03
0.55000000,2.1802291367e-03,5.00000000e-03
0.55500000,4.3616757929e-03,5.00000000e-03
0.56000000,2.7431547998e-03,5.00000000e-03
0.56500000,-3.7729852922e-04,5.00000000e-03
0.57000000,2.1758904258e-03,5.00000000e-03
0.57500000,3.4184095277e-03,5.00000000e-03
0.58000000,2.2486079388e-03,5.00000000e-03
0.58500000,1.9889173157e-03,5.00000000e-03
0.59000000,6.7649102522e-04,5.00000000e-03
0.59500000,7.6357067758e-04,5.00000000e-03
0.60000000,2.8635272843e-03,5.00000000e-03
0.60500000,6.8364099987e-04,5.00000000e-03
0.61000000,2.3098131123e-03,5.00000000e-03
0.61500000,3.6926244286e-03,5.00000000e-03
0.62000000,-4.0553897017e-03,5.00000000e-03
0.62500000,3.9531010771e-03,5.00000000e-03
0.63000000,3.5153032057e-03,5.00000000e-03
0.63500000,-1.4211423287e-03,5.00000000e-03
0.64000000,1.0924305192e-02,5.00000000e-03
0.64500000,-9.5522823527e-04,5.00000000e-03
0.65000000,-1.0491628836e-03,5.00000000e-03
0.65500000,1.2988958445e-02,5.00000000e-03
0.66000000,-3.9012061267e-03,5.00000000e-03
0.66500000,2.8400607487e-03,5.00000000e-03
0.67000000,9.9825654917e-03,5.00000000e-03
0.67500000,-3.6941375013e-03,5.00000000e-03
0.68000000,7.7725306651e-03,5.00000000e-03
0.68500000,4.4351985988e-03,5.00000000e-03
0.69000000,-1.8802026090e-03,5.00000000e-03
0.69500000,9.9367446728e-03,5.00000000e-03
0.70000000,9.3634752972e-04,5.00000000e-03
0.70500000,3.3799604622e-03,5.00000000e-03
0.71000000,7.5179161349e-03,5.00000000e-03
0.71500000,-2.6884069535e-03,5.00000000e-03
0.72000000,5.0457896991e-03,5.00000000e-03
0.72500000,2.2922659527e-03,5.00000000e-03
0.73000000,-9.7209327730e-04,5.00000000e-03
0.73500000,5.3488565230e-03,5.00000000e-03
0.74000000,-1.4868627328e-03,5.00000000e-03
0.74500000,2.5964102504e-03,5.00000000e-03
0.75000000,3.2834575586e-03,5.00000000e-03
0.75500000,-5.4156905219e-04,5.00000000e-03
0.76000000,7.4102120405e-03,5.00000000e-03
0.76500000,-2.9071999860e-04,5.00000000e-03
0.77000000,2.2571173475e-03,5.00000000e-03
0.77500000,5.8878030479e-03,5.00000000e-03
0.78000000,-3.8096835115e-03,5.00000000e-03
0.78500000,2.1977151901e-03,5.00000000e-03
0.79000000,6.0209459349e-04,5.00000000e-03
0.79500000,1.4688225293e-04,5.00000000e-03
0.80000000,6.6349428371e-03,5.00000000e-03
0.80500000,1.4076159155e-03,5.00000000e-03
0.81000000,7.1433749761e-03,5.00000000e-03
0.81500000,4.7314869071e-03,5.00000000e-03
0.82000000,5.3779327444e-03,5.00000000e-03
0.82500000,1.0289108250e-02,5.00000000e-03
0.83000000,-6.4575696091e-04,5.00000000e-03
0.83500000,9.9102369353e-03,5.00000000e-03
0.84000000,6.6420751849e-03,5.00000000e-03
0.84500000,-1.7914264046e-03,5.00000000e-03
0.85000000,1.0942342156e-02,5.00000000e-03
0.85500000,-2.8089916410e-03,5.00000000e-03
0.86000000,2.4298794579e-04,5.00000000e-03
0.86500000,9.6877835957e-03,5.00000000e-03
0.87000000,-2.7156205585e-03,5.00000000e-03
0.87500000,1.0392412213e-02,5.00000000e-03
0.88000000,4.8074300595e-03,5.00000000e-03
0.88500000,-3.8359620048e-03,5.00000000e-03
0.89000000,1.2171308799e-02,5.00000000e-03
0.89500000,-2.1689655012e-03,5.00000000e-03
0.90000000,-3.7495032491e-03,5.00000000e-03
0.90500000,5.1903946399e-03,5.00000000e-03
0.91000000,-6.3491638607e-03,5.00000000e-03
0.91500000,3.5442260182e-03,5.00000000e-03
0.92000000,2.6460732648e-03,5.00000000e-03
0.92500000,-6.2080702150e-03,5.00000000e-03
0.93000000,4.7478608808e-03,5.00000000e-03
0.93500000,8.3321111539e-04,5.00000000e-03
0.94000000,3.9405069240e-03,5.00000000e-03
0.94500000,7.0676748920e-03,5.00000000e-03
0.95000000,-4.5548298174e-03,5.00000000e-03
0.95500000,2.3397128196e-03,5.00000000e-03
0.96000000,1.9629205524e-03,5.00000000e-03
0.96500000,-3.3676717479e-04,5.00000000e-03
0.97000000,6.5333784615e-03,5.00000000e-03
0.97500000,-3.4153603799e-04,5.00000000e-03
0.98000000,3.3696824745e-03,5.00000000e-03
0.98500000,8.2374548969e-03,5.00000000e-03
0.99000000,3.4685124934e-03,5.00000000e-03
0.99500000,5.9676416793e-03,5.00000000e-03
1.00000000,3.9435393187e-03,5.00000000e-03
1.00500000,3.4042545757e-03,5.00000000e-03
1.01000000,8.7607320352e-03,5.00000000e-03
1.01500000,5.7269947642e-03,5.00000000e-03
1.02000000,3.5034868554e-03,5.00000000e-03
1.02500000,4.2822704109e-03,5.00000000e-03
1.03000000,6.5156566963e-03,5.00000000e-03
1.03500000,6.6575269107e-03,5.00000000e-03
1.04000000,5.9469845457e-03,5.00000000e-03
1.04500000,5.2772813076e-03,5.00000000e-03
1.05000000,-7.1406809706e-04,5.00000000e-03
1.05500000,4.0346691561e-03,5.00000000e-03
1.06000000,6.5125776016e-03,5.00000000e-03
1.06500000,2.6238339518e-03,5.00000000e-03
1.07000000,6.6393547043e-03,5.00000000e-03
1.07500000,8.6860678754e-04,5.00000000e-03
1.08000000,-1.3418179256e-03,5.00000000e-03
1.08500000,5.6426535113e-03,5.00000000e-03
1.09000000,-6.3018578449e-04,5.00000000e-03
1.09500000,7.7471287257e-04,5.00000000e-03
1.10000000,1.5862288609e-03,5.00000000e-03
1.10500000,-3.8983676541e-03,5.00000000e-03
1.11000000,4.9291774565e-03,5.00000000e-03
1.11500000,1.7392508740e-03,5.00000000e-03
1.12000000,-3.2094928794e-03,5.00000000e-03
1.12500000,2.7644557867e-03,5.00000000e-03
1.13000000,4.9381640532e-03,5.00000000e-03
1.13500000,8.1031783024e-03,5.00000000e-03
1.14000000,4.3845444171e-03,5.00000000e-03
1.14500000,1.2984484465e-04,5.00000000e-03
1.15000000,3.6238106007e-03,5.00000000e-03
1.15500000,7.0099639534e-03,5.00000000e-03
1.16000000,9.5651049675e-03,5.00000000e-03
1.16500000,6.2147089882e-03,5.00000000e-03
1.17000000,3.6085112094e-03,5.00000000e-03
1.17500000,7.2615031965e-03,5.00000000e-03
1.18000000,1.0071942236e-02,5.00000000e-03
1.18500000,1.1900415812e-02,5.00000000e-03
1.19000000,8.4002965222e-03,5.00000000e-03
1.19500000,6.0808838792e-03,5.00000000e-03
1.20000000,5.6301882593e-03,5.00000000e-03
1.20500000,3.6978751256e-03,5.00000000e-03
1.21000000,5.7237874723e-03,5.00000000e-03
1.21500000,-2.5216873202e-03,5.00000000e-03
1.22000000,-3.0896231557e-03,5.00000000e-03
1.22500000,6.2299769553e-03,5.00000000e-03
1.23000000,3.8044665821e-03,5.00000000e-03
1.23500000,7.5199007866e-03,5.00000000e-03
1.24000000,2.1056905450e-03,5.00000000e-03
1.24500000,-4.7876809786e-03,5.00000000e-03
1.25000000,7.0462039335e-03,5.00000000e-03
1.25500000,2.4654040146e-03,5.00000000e-03
1.26000000,-8.4534658018e-04,5.00000000e-03
1.26500000,1.7492679195e-03,5.00000000e-03
1.27000000,-5.4138641724e-03,5.00000000e-03
1.27500000,2.8915222261e-03,5.00000000e-03
1.28000000,5.4886377795e-03,5.00000000e-03
1.28500000,1.0808473970e-03,5.00000000e-03
1.29000000,6.3156851115e-03,5.00000000e-03
1.29500000,2.1861271812e-03,5.00000000e-03
1.30000000,7.0468656557e-03,5.00000000e-03
1.30500000,8.7951013537e-03,5.00000000e-03
1.31000000,-1.7098873898e-03,5.00000000e-03
1.31500000,2.5083838669e-03,5.00000000e-03
1.32000000,2.6367037802e-03,5.00000000e-03
1.32500000,4.5533550190e-03,5.00000000e-03
1.33000000,8.8505634920e-03,5.00000000e-03
1.33500000,2.0004075297e-03,5.00000000e-03
1.34000000,8.5766134617e-03,5.00000000e-03
1.34500000,9.4265667970e-03,5.00000000e-03
1.35000000,8.5115955870e-03,5.00000000e-03
1.35500000,1.3847186727e-02,5.00000000e-03
1.36000000,2.2688498846e-03,5.00000000e-03
1.36500000,1.4482890399e-03,5.00000000e-03
1.37000000,1.7412537821e-03,5.00000000e-03
1.37500000,-4.6802269278e-03,5.00000000e-03
1.38000000,-6.9420757478e-04,5.00000000e-03
1.38500000,-3.6821279905e-03,5.00000000e-03
1.39000000,5.1072483683e-03,5.00000000e-03
1.39500000,1.3485041876e-02,5.00000000e-03
1.40000000,6.5849571189e-03,5.00000000e-03
1.40500000,8.4834708721e-03,5.00000000e-03
1.41000000,6.4688858611e-04,5.00000000e-03
1.41500000,-1.4362736612e-03,5.00000000e-03
1.42000000,5.4626410053e-03,5.00000000e-03
1.42500000,-3.6008211768e-03,5.00000000e-03
1.43000000,6.6022900435e-04,5.00000000e-03
1.43500000,1.7860256001e-03,5.00000000e-03
1.44000000,-2.9530712948e-03,5.00000000e-03
1.44500000,1.0682757335e-02,5.00000000e-03
1.45000000,7.6966414281e-03,5.00000000e-03
1.45500000,7.9452243348e-03,5.00000000e-03
1.46000000,1.3419355067e-02,5.00000000e-03
1.46500000,1.5532079912e-03,5.00000000e-03
1.47000000,4.1010943937e-03,5.00000000e-03
1.47500000,9.0149949302e-04,5.00000000e-03
1.48000000,-6.2881228477e-03,5.00000000e-03
1.48500000,4.1014335245e-03,5.00000000e-03
1.49000000,3.2366755359e-03,5.00000000e-03
1.49500000,3.3207667111e-03,5.00000000e-03
1.50000000,5.3106679942e-03,5.00000000e-03
1.50500000,1.2992388692e-03,5.00000000e-03
1.51000000,8.3153572591e-03,5.00000000e-03
1.51500000,6.2201778047e-03,5.00000000e-03
1.52000000,1.6936854546e-03,5.00000000e-03
1.52500000,4.6231426512e-04,5.00000000e-03
1.53000000,-1.2034296063e-02,5.00000000e-03
1.53500000,-8.7232266423e-03,5.00000000e-03
1.54000000,-3.9147551482e-03,5.00000000e-03
1.54500000,-2.6393876956e-03,5.00000000e-03
1.55000000,8.3789182378e-03,5.00000000e-03
1.55500000,1.0598278713e-02,5.00000000e-03
1.56000000,1.1911867988e-02,5.00000000e-03
1.56500000,8.3983176876e-03,5.00000000e-03
1.57000000,1.8246868361e-03,5.00000000e-03
1.57500000,6.9099977451e-03,5.00000000e-03
1.58000000,4.6717084768e-03,5.00000000e-03
1.58500000,1.0369738420e-03,5.00000000e-03
1.59000000,3.7497220980e-03,5.00000000e-03
1.59500000,3.6226627221e-03,5.00000000e-03
1.60000000,8.4840331858e-03,5.00000000e-03
1.60500000,8.4103907447e-03,5.00000000e-03
1.61000000,1.0128237311e-02,5.00000000e-03
1.61500000,1.8269075513e-02,5.00000000e-03
1.62000000,1.3486196163e-02,5.00000000e-03
1.62500000,7.5319230081e-03,5.00000000e-03
1.63000000,3.0149543054e-04,5.00000000e-03
1.63500000,-3.3403431125e-03,5.00000000e-03
1.64000000,1.4308239777e-03,5.00000000e-03
1.64500000,4.5436680910e-04,5.00000000e-03
1.65000000,3.4000203440e-03,5.00000000e-03
1.65500000,7.7868570719e-03,5.00000000e-03
1.66000000,-6.5899109725e-04,5.00000000e-03
1.66500000,-1.5826692218e-03,5.00000000e-03
1.67000000,2.9283273091e-03,5.00000000e-03
1.67500000,6.1458315812e-03,5.00000000e-03
1.68000000,6.8353583525e-03,5.00000000e-03
1.68500000,-1.3948841815e-03,5.00000000e-03
1.69000000,-5.2978958670e-03,5.00000000e-03
1.69500000,-8.0964758234e-03,5.00000000e-03
1.70000000,-1.0697608089e-02,5.00000000e-03
1.70500000,-7.7490856686e-03,5.00000000e-03
1.71000000,-2.2654625381e-03,5.00000000e-03
1.71500000,6.6093508356e-03,5.00000000e-03
1.72000000,9.7972409581e-03,5.00000000e-03
1.72500000,4.7290311531e-03,5.00000000e-03
1.73000000,2.2903712416e-03,5.00000000e-03
1.73500000,7.8015559109e-04,5.00000000e-03
1.74000000,1.5470132543e-03,5.00000000e-03
1.74500000,6.6850203320e-03,5.00000000e-03
1.75000000,9.1580378382e-03,5.00000000e-03
1.75500000,7.4084683343e-03,5.00000000e-03
1.76000000,-1.3013901667e-03,5.00000000e-03
1.76500000,-2.8497611121e-03,5.00000000e-03
1.77000000,7.3047748713e-03,5.00000000e-03
1.77500000,1.4850774677e-02,5.00000000e-03
1.78000000,1.6654075160e-02,5.00000000e-03
1.78500000,1.1233618499e-02,5.00000000e-03
1.79000000,5.6637414698e-03,5.00000000e-03
1.79500000,3.1138875500e-03,5.00000000e-03
1.80000000,-1.1458480296e-03,5.00000000e-03
1.80500000,-2.0276484214e-04,5.00000000e-03
1.81000000,5.3471521233e-03,5.00000000e-03
1.81500000,8.2837594470e-03,5.00000000e-03
1.82000000,1.0110146116e-02,5.00000000e-03
1.82500000,3.2028854316e-03,5.00000000e-03
1.83000000,-4.6317114799e-03,5.00000000e-03
1.83500000,-4.5274902793e-03,5.00000000e-03
1.84000000,-1.4711558521e-03,5.00000000e-03
1.84500000,3.1385219700e-03,5.00000000e-03
1.85000000,3.7539518391e-03,5.00000000e-03
1.85500000,-2.3885462053e-03,5.00000000e-03
1.86000000,-8.7420423265e-03,5.00000000e-03
1.86500000,-1.0412203613e-02,5.00000000e-03
1.87000000,-4.4983237137e-03,5.00000000e-03
1.87500000,3.5008753006e-03,5.00000000e-03
1.88000000,8.3104298088e-03,5.00000000e-03
1.88500000,9.5724941093e-03,5.00000000e-03
1.89000000,6.3516915583e-03,5.00000000e-03
1.89500000,1.4403655067e-03,5.00000000e-03
1.90000000,-2.3186125078e-03,5.00000000e-03
1.90500000,-2.6197791193e-03,5.00000000e-03
1.91000000,4.7726162021e-03,5.00000000e-03
1.91500000,8.8545833345e-03,5.00000000e-03
1.92000000,7.3272781715e-03,5.00000000e-03
1.92500000,4.9018224536e-03,5.00000000e-03
1.93000000,4.3071484491e-03,5.00000000e-03
1.93500000,7.4024405225e-03,5.00000000e-03
1.94000000,1.0243803610e-02,5.00000000e-03
1.94500000,1.1343610628e-02,5.00000000e-03
1.95000000,1.0798048700e-02,5.00000000e-03
1.95500000,3.0213815975e-03,5.00000000e-03
