time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898833e-07,5.00000000e-03
0.01500000,2.5182455998e-07,5.00000000e-03
0.02000000,3.4405631900e-07,5.00000000e-03
0.02500000,4.5000645888e-07,5.00000000e-03
0.03000000,7.2903310081e-07,5.00000000e-03
0.03500000,2.5859475581e-06,5.00000000e-03
0.04000000,1.2370093222e-05,5.00000000e-03
0.04500000,4.2337162133e-05,5.00000000e-03
0.05000000,8.6471850577e-05,5.00000000e-03
0.05500000,9.0835308334e-05,5.00000000e-03
0.06000000,3.7645454674e-05,5.00000000e-03
0.06500000,4.0579895899e-05,5.00000000e-03
0.07000000,1.1901976350e-04,5.00000000e-03
0.07500000,8.1620217676e-05,5.00000000e-03
0.08000000,1.2071654588e-05,5.00000000e-03
0.08500000,1.2942105266e-04,5.00000000e-03
0.09000000,1.2260522878e-04,5.00000000e-03
0.09500000,-1.7388953192e-05,5.00000000e-03
0.10000000,1.5638051318e-04,5.00000000e-03
0.10500000,1.5288839559e-04,5.00000000e-03
0.11000000,-7.0942740663e-05,5.00000000e-03
0.11500000,2.2219217146e-04,5.00000000e-03
0.12000000,1.4828519380e-04,5.00000000e-03
0.12500000,-1.6540981180e-04,5.00000000e-03
0.13000000,3.1697776312e-04,5.00000000e-03
0.13500000,-1.4927115202e-05,5.00000000e-03
0.14000000,-3.0725647156e-04,5.00000000e-03
0.14500000,5.3813055593e-04,5.00000000e-03
0.15000000,-1.8666689557e-04,5.00000000e-03
0.15500000,-1.1819790757e-04,5.00000000e-03
0.16000000,6.8537014807e-04,5.00000000e-03
0.16500000,-8.9700731161e-04,5.00000000e-03
0.17000000,3.8759404491e-04,5.00000000e-03
0.17500000,9.2138956678e-04,5.00000000e-03
0.18000000,-1.4599741641e-03,5.00000000e-03
0.18500000,1.0375205038e-03,5.00000000e-03
0.19000000,2.6390426669e-04,5.00000000e-03
0.19500000,-8.6290986282e-04,5.00000000e-03
0.20000000,1.5503361092e-03,5.00000000e-03
0.20500000,-1.5827669447e-03,5.00000000e-03
0.21000000,8.6130124787e-04,5.00000000e-03
0.21500000,1.3437504415e-03,5.00000000e-03
0.22000000,-2.9442771515e-03,5.00000000e-03
0.22500000,4.1113121375e-03,5.00000000e-03
0.23000000,-1.1305776522e-03,5.00000000e-03
0.23500000,-2.8573323822e-03,5.00000000e-03
0.24000000,4.8272149735e-03,5.00000000e-03
0.24500000,-3.4001603955e-03,5.00000000e-03
0.25000000,9.8658437764e-06,5.00000000e-03
0.25500000,2.9953908957e-03,5.00000000e-03
0.26000000,-3.4254128637e-03,5.00000000e-03
0.26500000,1.8578599978e-03,5.00000000e-03
0.27000000,8.4925990153e-04,5.00000000e-03
0.27500000,-8.5162365982e-04,5.00000000e-03
0.28000000,9.4331158304e-04,5.00000000e-03
0.28500000,-1.0090289648e-03,5.00000000e-03
0.29000000,2.1988613703e-03,5.00000000e-03
0.29500000,-1.9062271170e-03,5.00000000e-03
0.30000000,-8.6664559544e-07,5.00000000e-03
0.30500000,2.5674189153e-03,5.00000000e-03
0.31000000,-4.7313153075e-03,5.00000000e-03
0.31500000,5.0192926456e-03,5.00000000e-03
0.32000000,-1.6852914772e-03,5.00000000e-03
0.32500000,-3.8387045526e-03,5.00000000e-03
0.33000000,7.6078945057e-03,5.00000000e-03
0.33500000,-7.4944988860e-03,5.00000000e-03
0.34000000,2.2150187714e-03,5.00000000e-03
0.34500000,6.8948793193e-03,5.00000000e-03
0.35000000,-9.6890207217e-03,5.00000000e-03
0.35500000,6.9753144358e-03,5.00000000e-03
0.36000000,4.8011492060e-04,5.00000000e-03
0.36500000,-6.9219806588e-03,5.00000000e-03
0.37000000,8.6124200918e-03,5.00000000e-03
0.37500000,-4.0356953347e-03,5.00000000e-03
0.38000000,-2.2196210980e-03,5.00000000e-03
0.38500000,5.5570251940e-03,5.00000000e-03
0.39000000,-5.1865593747e-03,5.00000000e-03
0.39500000,3.5038187604e-03,5.00000000e-03
0.40000000,5.8153914823e-04,5.00000000e-03
0.40500000,-3.6045604189e-03,5.00000000e-03
0.41000000,5.9027454601e-03,5.00000000e-03
0.41500000,-3.8423298670e-03,5.00000000e-03
0.42000000,-3.6019936480e-04,5.00000000e-03
0.42500000,4.4070157437e-03,5.00000000e-03
0.43000000,-5.5466163844e-03,5.00000000e-03
0.43500000,3.2337927941e-03,5.00000000e-03
0.44000000,2.1182692821e-03,5.00000000e-03
0.44500000,-3.7328537534e-03,5.00000000e-03
0.45000000,4.6523063170e-03,5.00000000e-03
0.45500000,-1.6773253874e-03,5.00000000e-03
0.46000000,-2.1402714868e-03,5.00000000e-03
0.46500000,4.5282997477e-03,5.00000000e-03
0.47000000,-3.5461488807e-03,5.00000000e-03
0.47500000,-1.8323611059e-04,5.00000000e-03
0.48000000,4.1760700989e-03,5.00000000e-03
0.48500000,-4.4606352132e-03,5.00000000e-03
0.49000000,1.1126931354e-03,5.00000000e-03
0.49500000,3.7824225742e-03,5.00000000e-03
0.50000000,-4.9746801404e-03,5.00000000e-03
0.50500000,2.5060123405e-03,5.00000000e-03
0.51000000,4.0961359152e-03,5.00000000e-03
0.51500000,-5.5703736004e-03,5.00000000e-03
0.52000000,3.5068477438e-03,5.00000000e-03
0.52500000,2.2009574615e-03,5.00000000e-03
0.53000000,-4.4670366583e-03,5.00000000e-03
0.53500000,4.7604274825e-03,5.00000000e-03
0.54000000,-6.7477884698e-04,5.00000000e-03
0.54500000,-2.2464255289e-03,5.00000000e-03
0.55000000,3.8107096458e-03,5.00000000e-03
0.55500000,-3.1933431397e-03,5.00000000e-03
0.56000000,1.6050570188e-03,5.00000000e-03
0.56500000,1.7095756483e-03,5.00000000e-03
0.57000000,-2.8114618557e-03,5.00000000e-03
0.57500000,3.6036983756e-03,5.00000000e-03
0.58000000,-1.7120829790e-03,5.00000000e-03
0.58500000,-2.0085289833e-05,5.00000000e-03
0.59000000,2.1858569469e-03,5.00000000e-03
0.59500000,-3.1299685224e-03,5.00000000e-03
0.60000000,4.0371427189e-03,5.00000000e-03
0.60500000,-2.4972551757e-03,5.00000000e-03
0.61000000,1.6582241837e-04,5.00000000e-03
0.61500000,3.1600799674e-03,5.00000000e-03
0.62000000,-5.5548266868e-03,5.00000000e-03
0.62500000,4.9864351085e-03,5.00000000e-03
0.63000000,-1.2572732327e-03,5.00000000e-03
0.63500000,-2.8501755269e-03,5.00000000e-03
0.64000000,5.5235410643e-03,5.00000000e-03
0.64500000,-5.4428078112e-03,5.00000000e-03
0.65000000,4.3117680443e-03,5.00000000e-03
0.65500000,2.1975683359e-04,5.00000000e-03
0.66000000,-3.5258406329e-03,5.00000000e-03
0.66500000,7.6400166741e-03,5.00000000e-03
0.67000000,-7.4970964291e-03,5.00000000e-03
0.67500000,4.2646333136e-03,5.00000000e-03
0.68000000,4.7391656015e-03,5.00000000e-03
0.68500000,-9.4354957068e-03,5.00000000e-03
0.69000000,1.1208276057e-02,5.00000000e-03
0.69500000,-4.8518957629e-03,5.00000000e-03
0.70000000,-4.1779972770e-03,5.00000000e-03
0.70500000,1.1167833232e-02,5.00000000e-03
0.71000000,-1.1491136313e-02,5.00000000e-03
0.71500000,5.5415750675e-03,5.00000000e-03
0.72000000,5.0307972521e-03,5.00000000e-03
0.72500000,-1.0552192524e-02,5.00000000e-03
0.73000000,1.2035150741e-02,5.00000000e-03
0.73500000,-5.1334778347e-03,5.00000000e-03
0.74000000,-5.0344840523e-03,5.00000000e-03
0.74500000,1.0931439602e-02,5.00000000e-03
0.75000000,-1.0679480741e-02,5.00000000e-03
0.75500000,4.1737875224e-03,5.00000000e-03
0.76000000,5.6189642754e-03,5.00000000e-03
0.76500000,-8.6001075953e-03,5.00000000e-03
0.77000000,8.8355689462e-03,5.00000000e-03
0.77500000,-3.0018382228e-03,5.00000000e-03
0.78000000,-3.0590718668e-03,5.00000000e-03
0.78500000,5.7365582027e-03,5.00000000e-03
0.79000000,-7.0703985955e-03,5.00000000e-03
0.79500000,4.9167950385e-03,5.00000000e-03
0.80000000,1.4418562227e-03,5.00000000e-03
0.80500000,-4.6866270622e-03,5.00000000e-03
0.81000000,7.1849400527e-03,5.00000000e-03
0.81500000,-3.6341123965e-03,5.00000000e-03
0.82000000,1.0348332053e-04,5.00000000e-03
