time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898839e-07,5.00000000e-03
0.01500000,2.5182457715e-07,5.00000000e-03
0.02000000,3.4405633143e-07,5.00000000e-03
0.02500000,4.5000605760e-07,5.00000000e-03
0.03000000,7.2902621343e-07,5.00000000e-03
0.03500000,2.5858970568e-06,5.00000000e-03
0.04000000,1.2369896282e-05,5.00000000e-03
0.04500000,4.2336788462e-05,5.00000000e-03
0.05000000,8.6471709870e-05,5.00000000e-03
0.05500000,9.0835788236e-05,5.00000000e-03
0.06000000,3.7645201811e-05,5.00000000e-03
0.06500000,4.0578035013e-05,5.00000000e-03
0.07000000,1.1902008733e-04,5.00000000e-03
0.07500000,8.1622239061e-05,5.00000000e-03
0.08000000,1.2068281596e-05,5.00000000e-03
0.08500000,1.2941964842e-04,5.00000000e-03
0.09000000,1.2261086886e-04,5.00000000e-03
0.09500000,-1.7394223243e-05,5.00000000e-03
0.10000000,1.5637673338e-04,5.00000000e-03
0.10500000,1.5290013292e-04,5.00000000e-03
0.11000000,-7.0952701098e-05,5.00000000e-03
0.11500000,2.2218696787e-04,5.00000000e-03
0.12000000,1.4830738920e-04,5.00000000e-03
0.12500000,-1.6542983626e-04,5.00000000e-03
0.13000000,3.1698007279e-04,5.00000000e-03
0.13500000,-1.4891476221e-05,5.00000000e-03
0.14000000,-3.0730408819e-04,5.00000000e-03
0.14500000,5.3814901859e-04,5.00000000e-03
0.15000000,-1.8662966322e-04,5.00000000e-03
0.15500000,-1.1827684240e-04,5.00000000e-03
0.16000000,6.8545351980e-04,5.00000000e-03
0.16500000,-8.9701362987e-04,5.00000000e-03
0.17000000,3.8746523839e-04,5.00000000e-03
0.17500000,9.2156829530e-04,5.00000000e-03
0.18000000,-1.4600731445e-03,5.00000000e-03
0.18500000,1.0374046076e-03,5.00000000e-03
0.19000000,2.6413889943e-04,5.00000000e-03
0.19500000,-8.6313597133e-04,5.00000000e-03
0.20000000,1.5504672342e-03,5.00000000e-03
0.20500000,-1.5826707105e-03,5.00000000e-03
0.21000000,8.6093146849e-04,5.00000000e-03
0.21500000,1.3442041071e-03,5.00000000e-03
0.22000000,-2.9446422772e-03,5.00000000e-03
0.22500000,4.1110807579e-03,5.00000000e-03
0.23000000,-1.1296587042e-03,5.00000000e-03
0.23500000,-2.8582121424e-03,5.00000000e-03
0.24000000,4.8274284413e-03,5.00000000e-03
0.24500000,-3.3993952762e-03,5.00000000e-03
0.25000000,8.5911806232e-06,5.00000000e-03
0.25500000,2.9962385043e-03,5.00000000e-03
0.26000000,-3.4253550434e-03,5.00000000e-03
0.26500000,1.8569980254e-03,5.00000000e-03
0.27000000,8.4991904063e-04,5.00000000e-03
0.27500000,-8.5192244857e-04,5.00000000e-03
0.28000000,9.4347738997e-04,5.00000000e-03
0.28500000,-1.0093052029e-03,5.00000000e-03
0.29000000,2.1989960301e-03,5.00000000e-03
0.29500000,-1.9055458864e-03,5.00000000e-03
0.30000000,-2.1636336906e-06,5.00000000e-03
0.30500000,2.5689961643e-03,5.00000000e-03
0.31000000,-4.7321722144e-03,5.00000000e-03
0.31500000,5.0184850507e-03,5.00000000e-03
0.32000000,-1.6826239286e-03,5.00000000e-03
0.32500000,-3.8418740191e-03,5.00000000e-03
0.33000000,7.6100448394e-03,5.00000000e-03
0.33500000,-7.4928527327e-03,5.00000000e-03
0.34000000,2.2104953257e-03,5.00000000e-03
0.34500000,6.8996372816e-03,5.00000000e-03
0.35000000,-9.6899805492e-03,5.00000000e-03
0.35500000,6.9707832392e-03,5.00000000e-03
0.36000000,4.8881331470e-04,5.00000000e-03
0.36500000,-6.9264053914e-03,5.00000000e-03
0.37000000,8.6125634990e-03,5.00000000e-03
0.37500000,-4.0331216437e-03,5.00000000e-03
0.38000000,-2.2250379409e-03,5.00000000e-03
0.38500000,5.5598603859e-03,5.00000000e-03
0.39000000,-5.1870572623e-03,5.00000000e-03
0.39500000,3.5017789196e-03,5.00000000e-03
0.40000000,5.8635032427e-04,5.00000000e-03
0.40500000,-3.6086833129e-03,5.00000000e-03
0.41000000,5.9041664485e-03,5.00000000e-03
0.41500000,-3.8400639488e-03,5.00000000e-03
0.42000000,-3.6545663454e-04,5.00000000e-03
0.42500000,4.4107414086e-03,5.00000000e-03
0.43000000,-5.5471132405e-03,5.00000000e-03
0.43500000,3.2306601013e-03,5.00000000e-03
0.44000000,2.1220586031e-03,5.00000000e-03
0.44500000,-3.7348963372e-03,5.00000000e-03
0.45000000,4.6523761708e-03,5.00000000e-03
0.45500000,-1.6748827485e-03,5.00000000e-03
0.46000000,-2.1439080622e-03,5.00000000e-03
0.46500000,4.5299632088e-03,5.00000000e-03
0.47000000,-3.5435247580e-03,5.00000000e-03
0.47500000,-1.8812896607e-04,5.00000000e-03
0.48000000,4.1785508007e-03,5.00000000e-03
0.48500000,-4.4585139548e-03,5.00000000e-03
0.49000000,1.1065554882e-03,5.00000000e-03
0.49500000,3.7864106149e-03,5.00000000e-03
0.50000000,-4.9486891058e-03,5.00000000e-03
0.50500000,2.4910975331e-03,5.00000000e-03
0.51000000,4.0092809282e-03,5.00000000e-03
0.51500000,-5.4750705715e-03,5.00000000e-03
0.52000000,3.5321019197e-03,5.00000000e-03
0.52500000,2.0849940551e-03,5.00000000e-03
0.53000000,-4.3595049899e-03,5.00000000e-03
0.53500000,4.7090801525e-03,5.00000000e-03
0.54000000,-6.9462467576e-04,5.00000000e-03
0.54500000,-2.1578984594e-03,5.00000000e-03
0.55000000,3.7168216634e-03,5.00000000e-03
0.55500000,-3.1294970712e-03,5.00000000e-03
0.56000000,1.6115122654e-03,5.00000000e-03
0.56500000,1.6443503149e-03,5.00000000e-03
0.57000000,-2.7479747659e-03,5.00000000e-03
0.57500000,3.5270130608e-03,5.00000000e-03
0.58000000,-1.6836065907e-03,5.00000000e-03
0.58500000,4.0064358645e-05,5.00000000e-03
0.59000000,2.1224872552e-03,5.00000000e-03
0.59500000,-3.0765710046e-03,5.00000000e-03
0.60000000,4.0102223366e-03,5.00000000e-03
0.60500000,-2.5176613704e-03,5.00000000e-03
0.61000000,1.9910086037e-04,5.00000000e-03
0.61500000,3.1222123843e-03,5.00000000e-03
0.62000000,-5.5005499750e-03,5.00000000e-03
0.62500000,4.9430622879e-03,5.00000000e-03
0.63000000,-1.2627736973e-03,5.00000000e-03
0.63500000,-2.7763780550e-03,5.00000000e-03
0.64000000,5.4518409371e-03,5.00000000e-03
0.64500000,-5.4134494192e-03,5.00000000e-03
0.65000000,4.3481465791e-03,5.00000000e-03
0.65500000,1.5694807641e-04,5.00000000e-03
0.66000000,-3.4686332462e-03,5.00000000e-03
0.66500000,7.5942170795e-03,5.00000000e-03
0.67000000,-7.5085445301e-03,5.00000000e-03
0.67500000,4.2772606205e-03,5.00000000e-03
0.68000000,4.7118639899e-03,5.00000000e-03
0.68500000,-9.4008566122e-03,5.00000000e-03
0.69000000,1.1193324729e-02,5.00000000e-03
0.69500000,-4.8544086538e-03,5.00000000e-03
0.70000000,-4.1601056296e-03,5.00000000e-03
0.70500000,1.1149108758e-02,5.00000000e-03
0.71000000,-1.1477730754e-02,5.00000000e-03
0.71500000,5.5425374032e-03,5.00000000e-03
0.72000000,5.0307913498e-03,5.00000000e-03
0.72500000,-1.0560762235e-02,5.00000000e-03
0.73000000,1.2028483656e-02,5.00000000e-03
0.73500000,-5.1153890057e-03,5.00000000e-03
0.74000000,-5.0600007894e-03,5.00000000e-03
0.74500000,1.0925191310e-02,5.00000000e-03
0.75000000,-1.0651870019e-02,5.00000000e-03
0.75500000,4.1883606507e-03,5.00000000e-03
0.76000000,5.5979522876e-03,5.00000000e-03
0.76500000,-8.6062367338e-03,5.00000000e-03
0.77000000,8.8610009307e-03,5.00000000e-03
0.77500000,-3.0351959370e-03,5.00000000e-03
0.78000000,-3.0605237954e-03,5.00000000e-03
0.78500000,5.7936123356e-03,5.00000000e-03
0.79000000,-7.1340152050e-03,5.00000000e-03
0.79500000,4.9141432878e-03,5.00000000e-03
0.80000000,1.4960688182e-03,5.00000000e-03
0.80500000,-4.7400071060e-03,5.00000000e-03
0.81000000,7.2015113639e-03,5.00000000e-03
0.81500000,-3.6112491753e-03,5.00000000e-03
0.82000000,9.0900825471e-05,5.00000000e-03
