time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898840e-07,5.00000000e-03
0.01500000,2.5182457009e-07,5.00000000e-03
0.02000000,3.4405636447e-07,5.00000000e-03
0.02500000,4.5000646486e-07,5.00000000e-03
0.03000000,7.2903165264e-07,5.00000000e-03
0.03500000,2.5859383887e-06,5.00000000e-03
0.04000000,1.2370063687e-05,5.00000000e-03
0.04500000,4.2337121593e-05,5.00000000e-03
0.05000000,8.6471880699e-05,5.00000000e-03
0.05500000,9.0835508542e-05,5.00000000e-03
0.06000000,3.7645461546e-05,5.00000000e-03
0.06500000,4.0579531587e-05,5.00000000e-03
0.07000000,1.1902013942e-04,5.00000000e-03
0.07500000,8.1620676151e-05,5.00000000e-03
0.08000000,1.2070705742e-05,5.00000000e-03
0.08500000,1.2942155999e-04,5.00000000e-03
0.09000000,1.2260618826e-04,5.00000000e-03
0.09500000,-1.7390975393e-05,5.00000000e-03
0.10000000,1.5638186091e-04,5.00000000e-03
0.10500000,1.5288986252e-04,5.00000000e-03
0.11000000,-7.0946978602e-05,5.00000000e-03
0.11500000,2.2219592805e-04,5.00000000e-03
0.12000000,1.4828656885e-04,5.00000000e-03
0.12500000,-1.6541749604e-04,5.00000000e-03
0.13000000,3.1698687795e-04,5.00000000e-03
0.13500000,-1.4928355696e-05,5.00000000e-03
0.14000000,-3.0726844934e-04,5.00000000e-03
0.14500000,5.3814752369e-04,5.00000000e-03
0.15000000,-1.8667595524e-04,5.00000000e-03
0.15500000,-1.1820886005e-04,5.00000000e-03
0.16000000,6.8539812847e-04,5.00000000e-03
0.16500000,-8.9703242863e-04,5.00000000e-03
0.17000000,3.8758406052e-04,5.00000000e-03
0.17500000,9.2143156101e-04,5.00000000e-03
0.18000000,-1.4600062843e-03,5.00000000e-03
0.18500000,1.0375033413e-03,5.00000000e-03
0.19000000,2.6396408564e-04,5.00000000e-03
0.19500000,-8.6298205752e-04,5.00000000e-03
0.20000000,1.5503705431e-03,5.00000000e-03
0.20500000,-1.5826934071e-03,5.00000000e-03
0.21000000,8.6112467246e-04,5.00000000e-03
0.21500000,1.3439168339e-03,5.00000000e-03
0.22000000,-2.9443303183e-03,5.00000000e-03
0.22500000,4.1110310635e-03,5.00000000e-03
0.23000000,-1.1300393419e-03,5.00000000e-03
0.23500000,-2.8577243002e-03,5.00000000e-03
0.24000000,4.8272039863e-03,5.00000000e-03
0.24500000,-3.3996089514e-03,5.00000000e-03
0.25000000,8.9962500288e-06,5.00000000e-03
0.25500000,2.9960894951e-03,5.00000000e-03
0.26000000,-3.4255400278e-03,5.00000000e-03
0.26500000,1.8572618047e-03,5.00000000e-03
0.27000000,8.5011936251e-04,5.00000000e-03
0.27500000,-8.5244708443e-04,5.00000000e-03
0.28000000,9.4369018196e-04,5.00000000e-03
0.28500000,-1.0086747267e-03,5.00000000e-03
0.29000000,2.1977908191e-03,5.00000000e-03
0.29500000,-1.9047850950e-03,5.00000000e-03
0.30000000,-1.8138232064e-06,5.00000000e-03
0.30500000,2.5677609628e-03,5.00000000e-03
0.31000000,-4.7307736176e-03,5.00000000e-03
0.31500000,5.0178839873e-03,5.00000000e-03
0.32000000,-1.6832716608e-03,5.00000000e-03
0.32500000,-3.8398483084e-03,5.00000000e-03
0.33000000,7.6079636460e-03,5.00000000e-03
0.33500000,-7.4926179842e-03,5.00000000e-03
0.34000000,2.2124155798e-03,5.00000000e-03
0.34500000,6.8967442686e-03,5.00000000e-03
0.35000000,-9.6885947934e-03,5.00000000e-03
0.35500000,6.9723151674e-03,5.00000000e-03
0.36000000,4.8508427801e-04,5.00000000e-03
0.36500000,-6.9246432941e-03,5.00000000e-03
0.37000000,8.6129430503e-03,5.00000000e-03
0.37500000,-4.0346535399e-03,5.00000000e-03
0.38000000,-2.2230768946e-03,5.00000000e-03
0.38500000,5.5599004083e-03,5.00000000e-03
0.39000000,-5.1882227830e-03,5.00000000e-03
0.39500000,3.5031113519e-03,5.00000000e-03
0.40000000,5.8504785634e-04,5.00000000e-03
0.40500000,-3.6082294923e-03,5.00000000e-03
0.41000000,5.9048614915e-03,5.00000000e-03
0.41500000,-3.8419881884e-03,5.00000000e-03
0.42000000,-3.6289202458e-04,5.00000000e-03
0.42500000,4.4100575962e-03,5.00000000e-03
0.43000000,-5.5488587459e-03,5.00000000e-03
0.43500000,3.2342350762e-03,5.00000000e-03
0.44000000,2.1198799168e-03,5.00000000e-03
0.44500000,-3.7352175907e-03,5.00000000e-03
0.45000000,4.6546428196e-03,5.00000000e-03
0.45500000,-1.6787877131e-03,5.00000000e-03
0.46000000,-2.1413842033e-03,5.00000000e-03
0.46500000,4.5299656989e-03,5.00000000e-03
0.47000000,-3.5475502863e-03,5.00000000e-03
0.47500000,-1.8214631986e-04,5.00000000e-03
0.48000000,4.1760004012e-03,5.00000000e-03
0.48500000,-4.4610310925e-03,5.00000000e-03
0.49000000,1.1136553121e-03,5.00000000e-03
0.49500000,3.7814861699e-03,5.00000000e-03
0.50000000,-4.9489112490e-03,5.00000000e-03
0.50500000,2.4956377897e-03,5.00000000e-03
0.51000000,4.0038758194e-03,5.00000000e-03
0.51500000,-5.4729825100e-03,5.00000000e-03
0.52000000,3.5339222240e-03,5.00000000e-03
0.52500000,2.0809929672e-03,5.00000000e-03
0.53000000,-4.3556888951e-03,5.00000000e-03
0.53500000,4.7072505455e-03,5.00000000e-03
0.54000000,-6.9513713002e-04,5.00000000e-03
0.54500000,-2.1559038698e-03,5.00000000e-03
0.55000000,3.7149423416e-03,5.00000000e-03
0.55500000,-3.1273914319e-03,5.00000000e-03
0.56000000,1.6095859649e-03,5.00000000e-03
0.56500000,1.6439609942e-03,5.00000000e-03
0.57000000,-2.7464525071e-03,5.00000000e-03
0.57500000,3.5249729842e-03,5.00000000e-03
0.58000000,-1.6808399697e-03,5.00000000e-03
0.58500000,3.7955480644e-05,5.00000000e-03
0.59000000,2.1220151742e-03,5.00000000e-03
0.59500000,-3.0737479879e-03,5.00000000e-03
0.60000000,4.0058399380e-03,5.00000000e-03
0.60500000,-2.5142979768e-03,5.00000000e-03
0.61000000,1.9919417786e-04,5.00000000e-03
0.61500000,3.1183638073e-03,5.00000000e-03
0.62000000,-5.4967325583e-03,5.00000000e-03
0.62500000,4.9414675522e-03,5.00000000e-03
0.63000000,-1.2620472857e-03,5.00000000e-03
0.63500000,-2.7754218394e-03,5.00000000e-03
0.64000000,5.4496509795e-03,5.00000000e-03
0.64500000,-5.4093776727e-03,5.00000000e-03
0.65000000,4.3447674907e-03,5.00000000e-03
0.65500000,1.5687008511e-04,5.00000000e-03
0.66000000,-3.4642495757e-03,5.00000000e-03
0.66500000,7.5877598349e-03,5.00000000e-03
0.67000000,-7.5040448250e-03,5.00000000e-03
0.67500000,4.2772991217e-03,5.00000000e-03
0.68000000,4.7049011003e-03,5.00000000e-03
0.68500000,-9.3928943481e-03,5.00000000e-03
0.69000000,1.1188297795e-02,5.00000000e-03
0.69500000,-4.8547038142e-03,5.00000000e-03
0.70000000,-4.1524125837e-03,5.00000000e-03
0.70500000,1.1141317419e-02,5.00000000e-03
0.71000000,-1.1473396397e-02,5.00000000e-03
0.71500000,5.5424719225e-03,5.00000000e-03
0.72000000,5.0244503689e-03,5.00000000e-03
0.72500000,-1.0553123824e-02,5.00000000e-03
0.73000000,1.2023230660e-02,5.00000000e-03
0.73500000,-5.1177324992e-03,5.00000000e-03
0.74000000,-5.0515905610e-03,5.00000000e-03
0.74500000,1.0918613167e-02,5.00000000e-03
0.75000000,-1.0649994002e-02,5.00000000e-03
0.75500000,4.1897336209e-03,5.00000000e-03
0.76000000,5.5939614507e-03,5.00000000e-03
0.76500000,-8.6017361106e-03,5.00000000e-03
0.77000000,8.8576858642e-03,5.00000000e-03
0.77500000,-3.0343943648e-03,5.00000000e-03
0.78000000,-3.0578437331e-03,5.00000000e-03
0.78500000,5.7889282853e-03,5.00000000e-03
0.79000000,-7.1292187262e-03,5.00000000e-03
0.79500000,4.9137554254e-03,5.00000000e-03
0.80000000,1.4920091986e-03,5.00000000e-03
0.80500000,-4.7347560051e-03,5.00000000e-03
0.81000000,7.1982312173e-03,5.00000000e-03
0.81500000,-3.6118589672e-03,5.00000000e-03
0.82000000,9.5182073118e-05,5.00000000e-03
