time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,8.0102568385e-08,5.00000000e-03
0.01000000,1.6399898839e-07,5.00000000e-03
0.01500000,2.5182457016e-07,5.00000000e-03
0.02000000,3.4405634941e-07,5.00000000e-03
0.02500000,4.5000632082e-07,5.00000000e-03
0.03000000,7.2902993242e-07,5.00000000e-03
0.03500000,2.5859249138e-06,5.00000000e-03
0.04000000,1.2370009374e-05,5.00000000e-03
0.04500000,4.2337016464e-05,5.00000000e-03
0.05000000,8.6471834651e-05,5.00000000e-03
0.05500000,9.0835621818e-05,5.00000000e-03
0.06000000,3.7645390191e-05,5.00000000e-03
0.06500000,4.0579033060e-05,5.00000000e-03
0.07000000,1.1902017046e-04,5.00000000e-03
0.07500000,8.1621235019e-05,5.00000000e-03
0.08000000,1.2069867579e-05,5.00000000e-03
0.08500000,1.2942102292e-04,5.00000000e-03
0.09000000,1.2260776535e-04,5.00000000e-03
0.09500000,-1.7392174543e-05,5.00000000e-03
0.10000000,1.5638044717e-04,5.00000000e-03
0.10500000,1.5289322275e-04,5.00000000e-03
0.11000000,-7.0949222364e-05,5.00000000e-03
0.11500000,2.2219359612e-04,5.00000000e-03
0.12000000,1.4829308557e-04,5.00000000e-03
0.12500000,-1.6542231167e-04,5.00000000e-03
0.13000000,3.1698586364e-04,5.00000000e-03
0.13500000,-1.4917187589e-05,5.00000000e-03
0.14000000,-3.0728092740e-04,5.00000000e-03
0.14500000,5.3815017881e-04,5.00000000e-03
0.15000000,-1.8666296447e-04,5.00000000e-03
0.15500000,-1.1823121060e-04,5.00000000e-03
0.16000000,6.8541899689e-04,5.00000000e-03
0.16500000,-8.9703028991e-04,5.00000000e-03
0.17000000,3.8754617322e-04,5.00000000e-03
0.17500000,9.2147976179e-04,5.00000000e-03
0.18000000,-1.4600319662e-03,5.00000000e-03
0.18500000,1.0374708155e-03,5.00000000e-03
0.19000000,2.6402677902e-04,5.00000000e-03
0.19500000,-8.6304053760e-04,5.00000000e-03
0.20000000,1.5504061648e-03,5.00000000e-03
0.20500000,-1.5826759315e-03,5.00000000e-03
0.21000000,8.6103951343e-04,5.00000000e-03
0.21500000,1.3440300454e-03,5.00000000e-03
0.22000000,-2.9444349896e-03,5.00000000e-03
0.22500000,4.1110077830e-03,5.00000000e-03
0.23000000,-1.1298473275e-03,5.00000000e-03
0.23500000,-2.8579297974e-03,5.00000000e-03
0.24000000,4.8272748300e-03,5.00000000e-03
0.24500000,-3.3994723146e-03,5.00000000e-03
0.25000000,8.7552464702e-06,5.00000000e-03
0.25500000,2.9962363281e-03,5.00000000e-03
0.26000000,-3.4255127118e-03,5.00000000e-03
0.26500000,1.8571134345e-03,5.00000000e-03
0.27000000,8.5017427759e-04,5.00000000e-03
0.27500000,-8.5241228265e-04,5.00000000e-03
0.28000000,9.4370350548e-04,5.00000000e-03
0.28500000,-1.0088362603e-03,5.00000000e-03
0.29000000,2.1979948869e-03,5.00000000e-03
0.29500000,-1.9047670234e-03,5.00000000e-03
0.30000000,-2.0961231661e-06,5.00000000e-03
0.30500000,2.5682024904e-03,5.00000000e-03
0.31000000,-4.7311096130e-03,5.00000000e-03
0.31500000,5.0178348138e-03,5.00000000e-03
0.32000000,-1.6827563456e-03,5.00000000e-03
0.32500000,-3.8406307512e-03,5.00000000e-03
0.33000000,7.6086000595e-03,5.00000000e-03
0.33500000,-7.4924156753e-03,5.00000000e-03
0.34000000,2.2114652544e-03,5.00000000e-03
0.34500000,6.8978795624e-03,5.00000000e-03
0.35000000,-9.6889572788e-03,5.00000000e-03
0.35500000,6.9714470819e-03,5.00000000e-03
0.36000000,4.8688945646e-04,5.00000000e-03
0.36500000,-6.9255549156e-03,5.00000000e-03
0.37000000,8.6129216845e-03,5.00000000e-03
0.37500000,-4.0340547879e-03,5.00000000e-03
0.38000000,-2.2241551750e-03,5.00000000e-03
0.38500000,5.5602957605e-03,5.00000000e-03
0.39000000,-5.1881025699e-03,5.00000000e-03
0.39500000,3.5026072016e-03,5.00000000e-03
0.40000000,5.8592736530e-04,5.00000000e-03
0.40500000,-3.6088633533e-03,5.00000000e-03
0.41000000,5.9049266343e-03,5.00000000e-03
0.41500000,-3.8413575626e-03,5.00000000e-03
0.42000000,-3.6401232502e-04,5.00000000e-03
0.42500000,4.4106536910e-03,5.00000000e-03
0.43000000,-5.5486218575e-03,5.00000000e-03
0.43500000,3.2332218517e-03,5.00000000e-03
0.44000000,2.1207218834e-03,5.00000000e-03
0.44500000,-3.7354037985e-03,5.00000000e-03
0.45000000,4.6542608493e-03,5.00000000e-03
0.45500000,-1.6778210409e-03,5.00000000e-03
0.46000000,-2.1422689318e-03,5.00000000e-03
0.46500000,4.5301509076e-03,5.00000000e-03
0.47000000,-3.5464906578e-03,5.00000000e-03
0.47500000,-1.8380182499e-04,5.00000000e-03
0.48000000,4.1767155405e-03,5.00000000e-03
0.48500000,-4.4602652393e-03,5.00000000e-03
0.49000000,1.1115919659e-03,5.00000000e-03
0.49500000,3.7828007044e-03,5.00000000e-03
0.50000000,-4.9485736715e-03,5.00000000e-03
0.50500000,2.4941043656e-03,5.00000000e-03
0.51000000,4.0053379936e-03,5.00000000e-03
0.51500000,-5.4732322599e-03,5.00000000e-03
0.52000000,3.5330196432e-03,5.00000000e-03
0.52500000,2.0823383046e-03,5.00000000e-03
0.53000000,-4.3568050047e-03,5.00000000e-03
0.53500000,4.7075597655e-03,5.00000000e-03
0.54000000,-6.9458932917e-04,5.00000000e-03
0.54500000,-2.1567226957e-03,5.00000000e-03
0.55000000,3.7155842826e-03,5.00000000e-03
0.55500000,-3.1278998602e-03,5.00000000e-03
0.56000000,1.6098184353e-03,5.00000000e-03
0.56500000,1.6443900423e-03,5.00000000e-03
0.57000000,-2.7470630816e-03,5.00000000e-03
0.57500000,3.5255408636e-03,5.00000000e-03
0.58000000,-1.6814468022e-03,5.00000000e-03
0.58500000,3.8312320417e-05,5.00000000e-03
0.59000000,2.1223867203e-03,5.00000000e-03
0.59500000,-3.0747580825e-03,5.00000000e-03
0.60000000,4.0071391025e-03,5.00000000e-03
0.60500000,-2.5150413843e-03,5.00000000e-03
0.61000000,1.9874230598e-04,5.00000000e-03
0.61500000,3.1198885018e-03,5.00000000e-03
0.62000000,-5.4979545147e-03,5.00000000e-03
0.62500000,4.9416586810e-03,5.00000000e-03
0.63000000,-1.2618359810e-03,5.00000000e-03
0.63500000,-2.7760958458e-03,5.00000000e-03
0.64000000,5.4505994447e-03,5.00000000e-03
0.64500000,-5.4106276853e-03,5.00000000e-03
0.65000000,4.3454087405e-03,5.00000000e-03
0.65500000,1.5770977032e-04,5.00000000e-03
0.66000000,-3.4661809474e-03,5.00000000e-03
0.66500000,7.5899673903e-03,5.00000000e-03
0.67000000,-7.5050854248e-03,5.00000000e-03
0.67500000,4.2767451545e-03,5.00000000e-03
0.68000000,4.7077917176e-03,5.00000000e-03
0.68500000,-9.3955622612e-03,5.00000000e-03
0.69000000,1.1189367783e-02,5.00000000e-03
0.69500000,-4.8539805597e-03,5.00000000e-03
0.70000000,-4.1557455678e-03,5.00000000e-03
0.70500000,1.1143949109e-02,5.00000000e-03
0.71000000,-1.1474106995e-02,5.00000000e-03
0.71500000,5.5418866697e-03,5.00000000e-03
0.72000000,5.0272786332e-03,5.00000000e-03
0.72500000,-1.0555809645e-02,5.00000000e-03
0.73000000,1.2024408415e-02,5.00000000e-03
0.73500000,-5.1160532786e-03,5.00000000e-03
0.74000000,-5.0553430688e-03,5.00000000e-03
0.74500000,1.0921101013e-02,5.00000000e-03
0.75000000,-1.0650178916e-02,5.00000000e-03
0.75500000,4.1885882887e-03,5.00000000e-03
0.76000000,5.5961883075e-03,5.00000000e-03
0.76500000,-8.6036888261e-03,5.00000000e-03
0.77000000,8.8586137297e-03,5.00000000e-03
0.77500000,-3.0341436867e-03,5.00000000e-03
0.78000000,-3.0594446658e-03,5.00000000e-03
0.78500000,5.7908385330e-03,5.00000000e-03
0.79000000,-7.1307746166e-03,5.00000000e-03
0.79500000,4.9134794900e-03,5.00000000e-03
0.80000000,1.4939781665e-03,5.00000000e-03
0.80500000,-4.7369350299e-03,5.00000000e-03
0.81000000,7.1994570496e-03,5.00000000e-03
0.81500000,-3.6114352178e-03,5.00000000e-03
0.82000000,9.3182320925e-05,5.00000000e-03
