time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,1.4571677198e-16,5.00000000e-03
0.01000000,6.2216551355e-13,5.00000000e-03
0.01500000,4.1025849905e-10,5.00000000e-03
0.02000000,6.0928998194e-08,5.00000000e-03
0.02500000,3.6065528645e-06,5.00000000e-03
0.03000000,1.0793292252e-04,5.00000000e-03
0.03500000,1.7039206335e-03,5.00000000e-03
0.04000000,8.3656128412e-03,5.00000000e-03
0.04500000,1.9651881148e-02,5.00000000e-03
0.05000000,2.9743353725e-02,5.00000000e-03
0.05500000,2.2410862902e-02,5.00000000e-03
0.06000000,-5.6573465511e-03,5.00000000e-03
0.06500000,-2.8167978433e-02,5.00000000e-03
0.07000000,-3.0565761404e-02,5.00000000e-03
0.07500000,-1.7580605977e-02,5.00000000e-03
0.08000000,3.2595687256e-03,5.00000000e-03
0.08500000,2.6890622799e-02,5.00000000e-03
0.09000000,3.2764388779e-02,5.00000000e-03
0.09500000,1.6701547604e-02,5.00000000e-03
0.10000000,-4.6017788010e-03,5.00000000e-03
0.10500000,-2.5515595255e-02,5.00000000e-03
0.11000000,-3.3674021259e-02,5.00000000e-03
0.11500000,-2.1249637868e-02,5.00000000e-03
0.12000000,-3.0381744779e-03,5.00000000e-03
0.12500000,9.9485436114e-03,5.00000000e-03
0.13000000,1.1341445949e-02,5.00000000e-03
0.13500000,-2.5830623673e-03,5.00000000e-03
0.14000000,-1.1118939514e-02,5.00000000e-03
0.14500000,-8.9199364571e-03,5.00000000e-03
0.15000000,-1.4137066196e-03,5.00000000e-03
0.15500000,6.6399186951e-03,5.00000000e-03
0.16000000,7.3362018398e-03,5.00000000e-03
0.16500000,4.4753655388e-03,5.00000000e-03
0.17000000,4.2111728718e-03,5.00000000e-03
0.17500000,-4.4533518777e-03,5.00000000e-03
0.18000000,-8.4778227686e-03,5.00000000e-03
0.18500000,-5.1857110241e-03,5.00000000e-03
0.19000000,-1.3433176978e-03,5.00000000e-03
0.19500000,9.0041686411e-03,5.00000000e-03
