time_s,acc_m_s2
0.000000000000000000e+00,-2.250880432479986310e-04
5.000000000000000104e-03,-2.228265200991889471e-04
1.000000000000000021e-02,-2.204322454179930360e-04
1.499999999999999944e-02,-2.178576791902452623e-04
2.000000000000000042e-02,-2.151776095527908818e-04
2.500000000000000139e-02,-2.126607315318342810e-04
2.999999999999999889e-02,-2.102181308535904945e-04
3.500000000000000333e-02,-2.076117733232865799e-04
4.000000000000000083e-02,-2.050257519943082503e-04
4.499999999999999833e-02,-2.020566140975014655e-04
5.000000000000000278e-02,-1.991020709410242060e-04
5.500000000000000028e-02,-1.972267154518945044e-04
5.999999999999999778e-02,-1.955507564472396009e-04
6.500000000000000222e-02,-1.930783802669489349e-04
7.000000000000000666e-02,-1.902741893744707097e-04
7.499999999999999722e-02,-1.871524648641651736e-04
8.000000000000000167e-02,-1.823204689139011733e-04
8.500000000000000611e-02,-1.783136154244601302e-04
8.999999999999999667e-02,-1.779539666750328897e-04
9.500000000000000111e-02,-1.779764011557192572e-04
1.000000000000000056e-01,-1.754951185775325173e-04
1.049999999999999961e-01,-1.720839908043944339e-04
1.100000000000000006e-01,-1.692962957341370895e-04
1.150000000000000050e-01,-1.669795425625042982e-04
1.199999999999999956e-01,-1.643534187511486145e-04
1.250000000000000000e-01,-1.617236001816353035e-04
1.300000000000000044e-01,-1.573585292634368355e-04
1.350000000000000089e-01,-1.500092336514395521e-04
1.400000000000000133e-01,-1.486585092769389784e-04
1.449999999999999900e-01,-1.490316400016399175e-04
1.499999999999999944e-01,-1.421432853586592393e-04
1.549999999999999989e-01,-1.396036389440228785e-04
1.600000000000000033e-01,-1.424353408131680526e-04
1.650000000000000078e-01,-1.423288267474432886e-04
1.700000000000000122e-01,-1.353946838816055321e-04
1.750000000000000167e-01,-1.237873377443232442e-04
1.799999999999999933e-01,-1.236761915776761131e-04
1.849999999999999978e-01,-1.266612638456533866e-04
1.900000000000000022e-01,-1.172259851726536643e-04
1.950000000000000067e-01,-1.144453711259876952e-04
2.000000000000000111e-01,-1.204762008248774964e-04
2.050000000000000155e-01,-1.219525032354528484e-04
2.099999999999999922e-01,-1.127948444057550397e-04
