time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-5.6920614055e-18,5.00000000e-03
0.01000000,-1.5387078547e-14,5.00000000e-03
0.01500000,-1.1299996664e-11,5.00000000e-03
0.02000000,-1.3381728123e-09,5.00000000e-03
0.02500000,-6.0076215541e-08,5.00000000e-03
0.03000000,-1.2693415917e-06,5.00000000e-03
0.03500000,-1.4443265064e-05,5.00000000e-03
0.04000000,-9.5656477394e-05,5.00000000e-03
0.04500000,-3.6908506780e-04,5.00000000e-03
0.05000000,-7.2347228372e-04,5.00000000e-03
0.05500000,-5.6464774872e-04,5.00000000e-03
0.06000000,-1.2392377974e-04,5.00000000e-03
0.06500000,-4.0099144013e-04,5.00000000e-03
0.07000000,-6.7421256722e-04,5.00000000e-03
0.07500000,-2.0598571441e-04,5.00000000e-03
0.08000000,-3.4670608532e-04,5.00000000e-03
0.08500000,-6.7214043044e-04,5.00000000e-03
0.09000000,-1.5706354434e-04,5.00000000e-03
0.09500000,-3.8024798250e-04,5.00000000e-03
0.10000000,-6.5433355959e-04,5.00000000e-03
0.10500000,-5.5148164524e-05,5.00000000e-03
0.11000000,-4.9844629239e-04,5.00000000e-03
0.11500000,-5.3962037838e-04,5.00000000e-03
0.12000000,1.5942568843e-04,5.00000000e-03
0.12500000,-4.5721726786e-04,5.00000000e-03
0.13000000,1.6127350101e-04,5.00000000e-03
0.13500000,7.4654597818e-04,5.00000000e-03
0.14000000,-2.4400903706e-04,5.00000000e-03
0.14500000,3.5551171537e-04,5.00000000e-03
0.15000000,-3.6954764338e-04,5.00000000e-03
0.15500000,-6.9311833047e-04,5.00000000e-03
0.16000000,1.7201336103e-03,5.00000000e-03
0.16500000,-2.3021965196e-04,5.00000000e-03
0.17000000,-9.7866563274e-04,5.00000000e-03
0.17500000,6.0528472515e-04,5.00000000e-03
0.18000000,3.3248256145e-04,5.00000000e-03
0.18500000,8.7445316561e-04,5.00000000e-03
0.19000000,-1.9455747040e-03,5.00000000e-03
0.19500000,4.7449174717e-04,5.00000000e-03
0.20000000,2.4953751425e-03,5.00000000e-03
0.20500000,-4.2023185703e-03,5.00000000e-03
0.21000000,7.7367869011e-04,5.00000000e-03
0.21500000,2.5908073325e-03,5.00000000e-03
0.22000000,-4.7010232991e-03,5.00000000e-03
0.22500000,8.4830723568e-04,5.00000000e-03
0.23000000,2.3033345509e-03,5.00000000e-03
0.23500000,-2.6351927505e-03,5.00000000e-03
0.24000000,-3.9779052097e-04,5.00000000e-03
0.24500000,1.7505008983e-03,5.00000000e-03
0.25000000,-2.7827545429e-03,5.00000000e-03
0.25500000,-2.0431775069e-03,5.00000000e-03
0.26000000,5.1985306273e-03,5.00000000e-03
0.26500000,-3.5773684419e-03,5.00000000e-03
0.27000000,-3.8828635669e-03,5.00000000e-03
0.27500000,6.4947627560e-03,5.00000000e-03
0.28000000,-4.6896172579e-03,5.00000000e-03
0.28500000,-8.9287268164e-04,5.00000000e-03
0.29000000,4.9540826957e-03,5.00000000e-03
0.29500000,-6.6179525921e-03,5.00000000e-03
0.30000000,5.6193458479e-03,5.00000000e-03
0.30500000,1.9313720469e-03,5.00000000e-03
0.31000000,-7.7995444536e-03,5.00000000e-03
0.31500000,9.6671360405e-03,5.00000000e-03
0.32000000,-2.8052559276e-03,5.00000000e-03
0.32500000,-7.9853456992e-03,5.00000000e-03
0.33000000,1.1217501678e-02,5.00000000e-03
0.33500000,-4.2390354327e-03,5.00000000e-03
0.34000000,-4.9835116809e-03,5.00000000e-03
0.34500000,7.5385831105e-03,5.00000000e-03
0.35000000,-4.8775915932e-03,5.00000000e-03
0.35500000,-4.2926749316e-05,5.00000000e-03
0.36000000,4.0884224577e-03,5.00000000e-03
0.36500000,-4.6394617763e-03,5.00000000e-03
0.37000000,2.1314508674e-03,5.00000000e-03
0.37500000,-8.6938512368e-05,5.00000000e-03
0.38000000,-2.3089940464e-03,5.00000000e-03
0.38500000,4.0256746035e-03,5.00000000e-03
0.39000000,-7.0185617656e-03,5.00000000e-03
0.39500000,3.2853724652e-03,5.00000000e-03
0.40000000,5.8617173116e-03,5.00000000e-03
0.40500000,-1.1058795398e-02,5.00000000e-03
0.41000000,7.3731974776e-03,5.00000000e-03
0.41500000,2.2867217800e-03,5.00000000e-03
0.42000000,-1.1215578681e-02,5.00000000e-03
0.42500000,1.0666453543e-02,5.00000000e-03
0.43000000,-2.7123491227e-03,5.00000000e-03
0.43500000,-7.2598870758e-03,5.00000000e-03
0.44000000,1.0739809831e-02,5.00000000e-03
0.44500000,-9.7984244895e-03,5.00000000e-03
0.45000000,2.9644948134e-03,5.00000000e-03
0.45500000,8.9154121268e-03,5.00000000e-03
0.46000000,-1.3695325858e-02,5.00000000e-03
0.46500000,9.3578780473e-03,5.00000000e-03
0.47000000,4.5236842012e-03,5.00000000e-03
0.47500000,-1.2696931610e-02,5.00000000e-03
0.48000000,1.2852097120e-02,5.00000000e-03
0.48500000,-2.0552859010e-03,5.00000000e-03
0.49000000,-8.4934039768e-03,5.00000000e-03
0.49500000,1.1922784729e-02,5.00000000e-03
0.50000000,-3.4712544860e-03,5.00000000e-03
0.50500000,-4.1395753233e-03,5.00000000e-03
0.51000000,5.7865289168e-03,5.00000000e-03
0.51500000,-1.7942000148e-03,5.00000000e-03
0.52000000,-1.0461993840e-03,5.00000000e-03
0.52500000,1.9116235046e-05,5.00000000e-03
0.53000000,2.8115022059e-03,5.00000000e-03
0.53500000,-5.3749394684e-04,5.00000000e-03
0.54000000,-4.4317737287e-03,5.00000000e-03
0.54500000,5.3853712039e-03,5.00000000e-03
0.55000000,-2.5223893500e-03,5.00000000e-03
0.55500000,-1.4245990232e-03,5.00000000e-03
0.56000000,2.5340310138e-03,5.00000000e-03
0.56500000,-4.8026157074e-03,5.00000000e-03
0.57000000,5.6733336334e-03,5.00000000e-03
0.57500000,-3.2622304222e-03,5.00000000e-03
0.58000000,-3.1542707065e-03,5.00000000e-03
0.58500000,6.1968601369e-03,5.00000000e-03
0.59000000,-8.9086248599e-03,5.00000000e-03
0.59500000,5.6123467501e-03,5.00000000e-03
