time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-4.9830164084e-11,5.00000000e-03
0.01000000,-1.2760234078e-09,5.00000000e-03
0.01500000,-1.5812115321e-08,5.00000000e-03
0.02000000,-1.2615996392e-07,5.00000000e-03
0.02500000,-7.2734140749e-07,5.00000000e-03
0.03000000,-3.2225574312e-06,5.00000000e-03
0.03500000,-1.1389982135e-05,5.00000000e-03
0.04000000,-3.2894618761e-05,5.00000000e-03
0.04500000,-7.8846819796e-05,5.00000000e-03
0.05000000,-1.5839765123e-04,5.00000000e-03
0.05500000,-2.6816939986e-04,5.00000000e-03
0.06000000,-3.8363414496e-04,5.00000000e-03
0.06500000,-4.6482673050e-04,5.00000000e-03
0.07000000,-4.8113160096e-04,5.00000000e-03
0.07500000,-4.3906666370e-04,5.00000000e-03
0.08000000,-3.8381207918e-04,5.00000000e-03
0.08500000,-3.6365822258e-04,5.00000000e-03
0.09000000,-3.8719326060e-04,5.00000000e-03
0.09500000,-4.1915940961e-04,5.00000000e-03
0.10000000,-4.2246561375e-04,5.00000000e-03
0.10500000,-3.9897660632e-04,5.00000000e-03
0.11000000,-3.8108937467e-04,5.00000000e-03
0.11500000,-3.8739580302e-04,5.00000000e-03
0.12000000,-4.0092340131e-04,5.00000000e-03
0.12500000,-3.9550547867e-04,5.00000000e-03
0.13000000,-3.6984441104e-04,5.00000000e-03
0.13500000,-3.4228737409e-04,5.00000000e-03
0.14000000,-3.1865835324e-04,5.00000000e-03
0.14500000,-2.8217889615e-04,5.00000000e-03
0.15000000,-2.1776406892e-04,5.00000000e-03
0.15500000,-1.3275527533e-04,5.00000000e-03
0.16000000,-4.6772233669e-05,5.00000000e-03
0.16500000,2.8489787811e-05,5.00000000e-03
0.17000000,8.9401431886e-05,5.00000000e-03
0.17500000,1.2794537775e-04,5.00000000e-03
0.18000000,1.3380383103e-04,5.00000000e-03
0.18500000,1.1084615420e-04,5.00000000e-03
0.19000000,8.1618654560e-05,5.00000000e-03
0.19500000,6.9913908024e-05,5.00000000e-03
0.20000000,8.2267181050e-05,5.00000000e-03
0.20500000,1.0800980648e-04,5.00000000e-03
0.21000000,1.3197114932e-04,5.00000000e-03
0.21500000,1.4393862872e-04,5.00000000e-03
0.22000000,1.4129317211e-04,5.00000000e-03
0.22500000,1.2914063509e-04,5.00000000e-03
0.23000000,1.1670121465e-04,5.00000000e-03
0.23500000,1.0800773161e-04,5.00000000e-03
0.24000000,9.5132718090e-05,5.00000000e-03
0.24500000,6.4278690985e-05,5.00000000e-03
0.25000000,1.0269090812e-05,5.00000000e-03
0.25500000,-5.6859595257e-05,5.00000000e-03
0.26000000,-1.2033788442e-04,5.00000000e-03
0.26500000,-1.6962383912e-04,5.00000000e-03
0.27000000,-2.0445507965e-04,5.00000000e-03
0.27500000,-2.2954160263e-04,5.00000000e-03
0.28000000,-2.4870653002e-04,5.00000000e-03
0.28500000,-2.6328909107e-04,5.00000000e-03
0.29000000,-2.7267550898e-04,5.00000000e-03
0.29500000,-2.7520972084e-04,5.00000000e-03
0.30000000,-2.7089717292e-04,5.00000000e-03
0.30500000,-2.6483571240e-04,5.00000000e-03
0.31000000,-2.6568697041e-04,5.00000000e-03
0.31500000,-2.7695437131e-04,5.00000000e-03
0.32000000,-2.8937841901e-04,5.00000000e-03
0.32500000,-2.8584707569e-04,5.00000000e-03
0.33000000,-2.5742263087e-04,5.00000000e-03
0.33500000,-2.1357441519e-04,5.00000000e-03
0.34000000,-1.7287919225e-04,5.00000000e-03
0.34500000,-1.4282040440e-04,5.00000000e-03
0.35000000,-1.1259776065e-04,5.00000000e-03
0.35500000,-6.9037922432e-05,5.00000000e-03
0.36000000,-1.6519963976e-05,5.00000000e-03
0.36500000,2.5772267376e-05,5.00000000e-03
0.37000000,4.8716681625e-05,5.00000000e-03
0.37500000,6.9535972294e-05,5.00000000e-03
0.38000000,1.1570753634e-04,5.00000000e-03
0.38500000,1.9190435443e-04,5.00000000e-03
0.39000000,2.6884873632e-04,5.00000000e-03
0.39500000,3.0913634712e-04,5.00000000e-03
0.40000000,3.0166472170e-04,5.00000000e-03
0.40500000,2.6719870942e-04,5.00000000e-03
0.41000000,2.3329145270e-04,5.00000000e-03
0.41500000,2.1057123672e-04,5.00000000e-03
0.42000000,1.9341125889e-04,5.00000000e-03
0.42500000,1.7468644630e-04,5.00000000e-03
0.43000000,1.5358614114e-04,5.00000000e-03
0.43500000,1.3419328440e-04,5.00000000e-03
0.44000000,1.2443956488e-04,5.00000000e-03
0.44500000,1.3371030620e-04,5.00000000e-03
0.45000000,1.6132969664e-04,5.00000000e-03
0.45500000,1.8616707713e-04,5.00000000e-03
0.46000000,1.7888650489e-04,5.00000000e-03
0.46500000,1.3265237280e-04,5.00000000e-03
0.47000000,7.5956178418e-05,5.00000000e-03
0.47500000,4.5430857587e-05,5.00000000e-03
0.48000000,4.6401698822e-05,5.00000000e-03
0.48500000,4.7425071142e-05,5.00000000e-03
0.49000000,1.5461081684e-05,5.00000000e-03
0.49500000,-4.7599499109e-05,5.00000000e-03
0.50000000,-1.0392889993e-04,5.00000000e-03
0.50500000,-1.1217049056e-04,5.00000000e-03
0.51000000,-6.2679702397e-05,5.00000000e-03
0.51500000,1.3304291984e-05,5.00000000e-03
0.52000000,6.8363442064e-05,5.00000000e-03
0.52500000,7.8226589895e-05,5.00000000e-03
0.53000000,6.0336201047e-05,5.00000000e-03
0.53500000,5.2424927205e-05,5.00000000e-03
0.54000000,7.3146193502e-05,5.00000000e-03
0.54500000,1.0715708084e-04,5.00000000e-03
0.55000000,1.2793056646e-04,5.00000000e-03
0.55500000,1.2814230410e-04,5.00000000e-03
0.56000000,1.2366627474e-04,5.00000000e-03
0.56500000,1.3251491936e-04,5.00000000e-03
0.57000000,1.5698155082e-04,5.00000000e-03
0.57500000,1.8790377091e-04,5.00000000e-03
