time_s,acc_m_s2,delta_t_s
0.00000000,0.0000000000e+00,5.00000000e-03
0.00500000,-4.6823382628e-10,5.00000000e-03
0.01000000,-1.1409427604e-08,5.00000000e-03
0.01500000,-1.3270648468e-07,5.00000000e-03
0.02000000,-9.7834964908e-07,5.00000000e-03
0.02500000,-5.1173589062e-06,5.00000000e-03
0.03000000,-2.0132433230e-05,5.00000000e-03
0.03500000,-6.1577868202e-05,5.00000000e-03
0.04000000,-1.4914896908e-04,5.00000000e-03
0.04500000,-2.8841097864e-04,5.00000000e-03
0.05000000,-4.4523352636e-04,5.00000000e-03
0.05500000,-5.4554804576e-04,5.00000000e-03
0.06000000,-5.2941497378e-04,5.00000000e-03
0.06500000,-4.2473088417e-04,5.00000000e-03
0.07000000,-3.4396747209e-04,5.00000000e-03
0.07500000,-3.6838328739e-04,5.00000000e-03
0.08000000,-4.4616445198e-04,5.00000000e-03
0.08500000,-4.5914987441e-04,5.00000000e-03
0.09000000,-3.8962450262e-04,5.00000000e-03
0.09500000,-3.4217525974e-04,5.00000000e-03
0.10000000,-3.7453514005e-04,5.00000000e-03
0.10500000,-4.0450432359e-04,5.00000000e-03
0.11000000,-3.4909566606e-04,5.00000000e-03
0.11500000,-2.5647133206e-04,5.00000000e-03
0.12000000,-2.0165309346e-04,5.00000000e-03
0.12500000,-1.4463598845e-04,5.00000000e-03
0.13000000,-1.7456768513e-05,5.00000000e-03
0.13500000,1.2671586490e-04,5.00000000e-03
0.14000000,1.8715199631e-04,5.00000000e-03
0.14500000,1.6977541041e-04,5.00000000e-03
0.15000000,1.3929019838e-04,5.00000000e-03
0.15500000,9.5169052201e-05,5.00000000e-03
0.16000000,2.5379166829e-05,5.00000000e-03
0.16500000,-2.9336309846e-06,5.00000000e-03
0.17000000,5.9080194723e-05,5.00000000e-03
0.17500000,1.3488347564e-04,5.00000000e-03
0.18000000,1.3021619683e-04,5.00000000e-03
0.18500000,6.4958072111e-05,5.00000000e-03
0.19000000,6.5783628356e-06,5.00000000e-03
0.19500000,-3.4289212611e-05,5.00000000e-03
0.20000000,-7.3625636793e-05,5.00000000e-03
0.20500000,-1.1757852586e-04,5.00000000e-03
0.21000000,-1.9437585714e-04,5.00000000e-03
0.21500000,-3.2027973120e-04,5.00000000e-03
0.22000000,-4.2846923659e-04,5.00000000e-03
0.22500000,-4.4099386024e-04,5.00000000e-03
0.23000000,-3.9022335979e-04,5.00000000e-03
0.23500000,-3.5825249943e-04,5.00000000e-03
0.24000000,-3.4132769436e-04,5.00000000e-03
0.24500000,-2.8880439018e-04,5.00000000e-03
0.25000000,-2.2233076184e-04,5.00000000e-03
0.25500000,-2.0468284362e-04,5.00000000e-03
0.26000000,-2.3279127108e-04,5.00000000e-03
0.26500000,-2.4644343465e-04,5.00000000e-03
0.27000000,-2.1060063680e-04,5.00000000e-03
0.27500000,-1.4079024712e-04,5.00000000e-03
0.28000000,-7.3616172778e-05,5.00000000e-03
0.28500000,-2.7820862280e-05,5.00000000e-03
0.29000000,1.9484253431e-05,5.00000000e-03
0.29500000,9.8552895361e-05,5.00000000e-03
0.30000000,1.8752081151e-04,5.00000000e-03
0.30500000,2.3925636860e-04,5.00000000e-03
0.31000000,2.6007071257e-04,5.00000000e-03
0.31500000,2.8528325303e-04,5.00000000e-03
0.32000000,2.9193251324e-04,5.00000000e-03
0.32500000,2.3129521031e-04,5.00000000e-03
0.33000000,1.3513829745e-04,5.00000000e-03
0.33500000,9.1590988028e-05,5.00000000e-03
0.34000000,1.2119825951e-04,5.00000000e-03
0.34500000,1.5635933155e-04,5.00000000e-03
0.35000000,1.3438895549e-04,5.00000000e-03
0.35500000,5.2460682455e-05,5.00000000e-03
0.36000000,-5.2375855193e-05,5.00000000e-03
0.36500000,-1.3287717355e-04,5.00000000e-03
0.37000000,-1.5782163869e-04,5.00000000e-03
0.37500000,-1.3930578100e-04,5.00000000e-03
0.38000000,-1.2496076727e-04,5.00000000e-03
