strain,stress
0.0,0.0
-1.0096556014339174e-12,-0.0005146052965774576
-4.435924237346073e-12,-0.0022609194969541767
-3.4084101210225635e-12,-0.0017372119768980605
2.1566437398800098e-11,0.01099206577065275
1.341447969402254e-10,0.06837137022417068
4.634957153667954e-10,0.2362353226543138
1.137220676449726e-09,0.5796170042756678
2.082988434935294e-09,1.061645154797084
2.8642875153532095e-09,1.4598423392046282
2.831088471609802e-09,1.4429183790997469
1.64663131748565e-09,0.8392260239603992
-2.274047689449028e-10,-0.1159186733802416
-1.6704649071802674e-09,-0.8513974033751386
-1.7536898416862274e-09,-0.8938112745881354
-5.952741430664003e-10,-0.30339161589945823
6.661685010564386e-10,0.3395326942461551
8.828823419767981e-10,0.4499847864078609
-4.353809424181569e-11,-0.022192609023996116
-1.1264901432885009e-09,-0.5741466807192425
-1.3362847273321976e-09,-0.6810729784428767
-6.383394277457223e-10,-0.3253442713171888
4.8142931789887556e-11,0.02454014508761562
-1.16798908522431e-10,-0.05952780468180305
-1.0148067065429167e-09,-0.5172233952466381
-1.767518480562498e-09,-0.9008609231296831
-1.71888909210961e-09,-0.876074558348638
-1.076011821747104e-09,-0.5484130938206976
-5.522683852513963e-10,-0.2814729164883474
-5.197692485813099e-10,-0.2649090834770762
-6.814163410247338e-10,-0.3472975286211905
-5.774490601239008e-10,-0.29430735732398755
-2.3534181738882694e-10,-0.11994313836955871
-1.460394821623773e-10,-0.07442810319247471
-6.124637135942995e-10,-0.3121554123190786
-1.2910837851249947e-09,-0.6580332703068921
-1.514076664561848e-09,-0.7716874866422483
-1.0357243171953114e-09,-0.5278806258554675
-3.3433680018642306e-10,-0.17039870928047104
-1.1156302849582048e-10,-0.05685620122626567
-5.518042452688663e-10,-0.2812385949815292
-1.1593946274373103e-09,-0.5909143603287079
-1.3221781375872615e-09,-0.6738813730182165
-9.516847023741717e-10,-0.4850480176553343
-5.201353441089024e-10,-0.2650963138819034
-5.181498622772536e-10,-0.26408456873428854
-9.623078269447875e-10,-0.4904631323596469
-1.4448735075202382e-09,-0.7364163137137721
-1.5880568803924055e-09,-0.8093934325175666
-1.3807843225003847e-09,-0.7037505428018929
-1.1017979703123826e-09,-0.5615567584655692
-1.008243974834191e-09,-0.5138742194471361
-1.1451015866247482e-09,-0.5836279661374919
-1.3971164881049393e-09,-0.712075022286801
-1.6294847112316386e-09,-0.8305081857798323
-1.7537787020174845e-09,-0.8938577559587754
-1.7283501804204527e-09,-0.8808972702660557
-1.5736529118932706e-09,-0.8020510113813315
-1.391085580311331e-09,-0.7090000313504047
-1.3074730231717989e-09,-0.666384398182174
-1.3614784212636521e-09,-0.6939099410278001
-1.463958110335887e-09,-0.7461418933279884
-1.5057587515629466e-09,-0.7674468749164081
-1.4947390717429303e-09,-0.7618303489796788
-1.5422115099257979e-09,-0.7860261380464919
-1.7004316034079516e-09,-0.8666677872246172
-1.8622721735379673e-09,-0.9491540979244446
-1.87726248191763e-09,-0.9567940421093605
-1.7563260734919375e-09,-0.8951550364919322
-1.6875095649312718e-09,-0.8600805860287841
-1.8005228608559332e-09,-0.9176813393616254
-1.9585593239123734e-09,-0.9982283645266015
-1.8773084520161575e-09,-0.9568162633065354
-1.4875029385473264e-09,-0.7581400572972412
-1.1164278083031155e-09,-0.569010912019134
-1.213707699534861e-09,-0.618592731085091
-1.8669269211866276e-09,-0.9515252814814822
-2.639745142370678e-09,-1.3454020351859521
-2.951339606120892e-09,-1.504208895790336
-2.6239920126549187e-09,-1.3373661158328007
-2.027520389041944e-09,-1.033357066265013
-1.6781637132129177e-09,-0.8552979583702003
-1.7317956272973568e-09,-0.8826332051627888
-1.8994987121980763e-09,-0.9681082546230148
-1.8320482839461183e-09,-0.9337300284801224
-1.521494829195806e-09,-0.7754475663784959
-1.295959602667698e-09,-0.6604978115195308
-1.4583382428578662e-09,-0.7432591375239281
-1.9840659555341594e-09,-1.0112119149569765
-2.5701727813391277e-09,-1.309937429059174
-2.9248994777108185e-09,-1.490733023297684
-2.9776072623538365e-09,-1.5175962681759336
-2.8527297517402075e-09,-1.453948553645286
-2.7198487227935874e-09,-1.3862216636478402
-2.6914995327913646e-09,-1.3717726420910303
-2.8017916022562912e-09,-1.4279864367928512
-3.0057373424288642e-09,-1.5319330884270916
-3.190673121569686e-09,-1.6261864247201154
-3.2492515622149048e-09,-1.6560411175142362
-3.1916324322894138e-09,-1.6266737365130333
-3.1677180790166084e-09,-1.614485047928945
