depth_m,effective_stress_kpa,pga_g,max_displacement_m,max_strain_pct,max_stress_ratio
0.0,nan,0.3400812081464493,0.004811063057044755,nan,nan
2.0,20.38,nan,nan,0.0030822637312546497,0.6619246412363053
4.0,nan,0.3257667466971793,0.0047536983703235745,nan,nan
6.0,61.14,nan,nan,0.009900920708557623,0.6398175870370223
8.0,nan,0.2833390483258036,0.004579607237645952,nan,nan
10.0,101.9,nan,nan,0.016788497205395415,0.6009680287328579
12.0,nan,0.2190894601375389,0.004295318199876616,nan,nan
14.0,142.66,nan,nan,0.02249881917001638,0.5487649596101993
16.0,nan,0.13608147926351813,0.003959361895444101,nan,nan
18.0,183.42,nan,nan,0.025922240614380213,0.4847514474821262
