depth_m,effective_stress_kpa,pga_g,max_displacement_m,max_strain_pct,max_stress_ratio
0.0,nan,0.3074536789233513,0.004715434738700916,nan,nan
2.0,20.38,nan,nan,0.0029259805780019977,0.5950748983354827
4.0,nan,0.30177225242213074,0.004660948359449364,nan,nan
6.0,61.14,nan,nan,0.010238136840577661,0.5897631528359648
8.0,nan,0.2720211695419406,0.004487606942373282,nan,nan
10.0,101.9,nan,nan,0.01855473392878404,0.5651134723940591
12.0,nan,0.21807773157533167,0.004218624815143988,nan,nan
14.0,142.66,nan,nan,0.025997497148417786,0.5237881108053706
16.0,nan,0.14265107561942297,0.003911043416148974,nan,nan
18.0,183.42,nan,nan,0.0301760267240939,0.4628214418020889
